"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
24039	41760	"Culazón"	43.23278	-4.48917	100	"AWI"	100	386	492	450	0	24	2	1	3	0	15	3	0	0	11	0	4	0	0	0	5	0	50	50	0	165	16	37	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	49	7	4	0	0	5	6	0	0	0	0	1	1
24039	41760	"Culazón"	43.23278	-4.48917	102	"AWI"	102	410	502	463	0	20	0	0	1	0	13	4	0	0	17	0	2	0	0	0	8	0	38	36	0	144	16	31	0	2	0	1	3	1	1	0	3	0	0	0	0	0	0	51	11	1	18	0	13	5	0	0	0	0	7	0
24039	41760	"Culazón"	43.23278	-4.48917	104	"AWI"	104	427	519	477	0	30	1	0	2	0	11	4	0	0	8	0	1	1	0	0	9	0	43	52	0	196	22	28	1	1	0	0	3	0	0	0	1	0	0	0	0	0	0	40	6	2	22	0	5	3	0	0	0	0	4	0
24039	41760	"Culazón"	43.23278	-4.48917	106	"AWI"	106	454	536	495	0	31	4	0	4	1	11	2	0	0	10	0	0	1	0	0	9	0	39	63	0	188	22	19	1	3	0	0	2	0	0	0	1	0	19	0	0	0	0	41	4	2	18	0	9	3	0	0	0	1	5	0
24039	41760	"Culazón"	43.23278	-4.48917	108	"AWI"	108	480	567	521	0	13	1	0	4	0	14	1	0	0	30	0	0	0	0	0	3	0	49	7	0	293	18	46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	7	1	0	0	0	3	0	0	1	0	1	0
24039	41760	"Culazón"	43.23278	-4.48917	110	"AWI"	110	494	623	544	0	23	1	0	9	0	17	1	0	0	35	1	0	0	0	1	10	0	76	30	0	185	22	20	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	38	5	4	0	0	0	8	0	0	0	0	2	2
24039	41760	"Culazón"	43.23278	-4.48917	112	"AWI"	112	549	659	619	0	44	0	0	8	0	5	1	0	0	20	0	0	1	0	0	6	0	49	37	0	197	0	39	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	39	6	0	0	0	0	4	0	1	0	0	0	1
24039	41760	"Culazón"	43.23278	-4.48917	114	"AWI"	114	581	749	689	0	51	0	0	1	0	6	1	0	0	38	0	1	0	0	0	2	0	90	27	0	229	0	36	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	35	3	5	0	0	0	2	0	0	0	0	1	0
24039	41760	"Culazón"	43.23278	-4.48917	116	"AWI"	116	699	905	813	0	49	0	1	3	0	7	1	0	0	43	0	0	0	0	0	3	0	92	29	0	155	0	33	3	0	0	0	3	0	0	0	1	0	0	0	0	0	0	44	3	19	0	0	0	5	0	0	0	1	0	0
24039	41760	"Culazón"	43.23278	-4.48917	118	"AWI"	118	866	1181	1005	1	42	1	0	1	0	13	1	0	0	59	0	1	0	0	0	2	0	82	21	0	233	0	36	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	25	2	0	0	0	0	3	0	0	0	0	1	0
24039	41760	"Culazón"	43.23278	-4.48917	120	"AWI"	120	987	1491	1199	0	53	0	0	1	0	6	0	0	0	51	0	0	0	0	1	0	0	134	7	0	184	4	39	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	31	1	4	0	0	0	3	0	0	2	0	0	0
24039	41760	"Culazón"	43.23278	-4.48917	122	"AWI"	122	1429	1778	1609	0	59	0	0	1	0	8	0	0	0	66	0	0	0	0	0	0	0	145	13	0	253	2	23	2	2	0	0	0	0	0	0	0	0	3	0	0	0	0	23	3	4	0	0	0	5	0	0	1	0	1	1
24039	41760	"Culazón"	43.23278	-4.48917	124	"AWI"	124	1839	2133	2037	0	60	0	0	1	0	6	0	0	0	35	0	0	0	0	0	0	0	131	10	0	225	0	22	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41	2	1	0	0	0	3	0	0	2	0	0	1
24039	41760	"Culazón"	43.23278	-4.48917	126	"AWI"	126	2122	2553	2360	0	67	0	0	2	0	5	0	0	0	12	0	0	0	0	0	0	0	106	17	0	258	6	7	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	28	1	3	0	0	0	1	0	0	1	0	0	0
24039	41760	"Culazón"	43.23278	-4.48917	128	"AWI"	128	2217	3060	2624	1	77	0	3	0	0	4	0	0	0	19	0	1	0	0	1	0	0	112	8	0	203	0	14	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	32	3	2	0	0	0	4	0	0	2	1	0	1
24039	41760	"Culazón"	43.23278	-4.48917	130	"AWI"	130	2291	3587	2885	0	74	0	0	1	0	7	0	0	0	35	0	0	0	0	1	0	0	98	28	0	309	4	14	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	37	2	3	0	0	0	4	0	0	0	1	0	1
24039	41760	"Culazón"	43.23278	-4.48917	132	"AWI"	132	2681	3669	3161	0	56	0	0	1	0	5	0	0	0	33	0	0	1	0	0	0	0	108	22	0	272	4	18	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	29	5	2	0	0	0	4	0	0	1	0	2	0
24039	41760	"Culazón"	43.23278	-4.48917	134	"AWI"	134	2908	3798	3453	0	68	0	0	4	0	11	1	0	0	22	0	0	0	0	1	1	0	92	20	0	240	4	16	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35	3	5	0	0	0	3	0	0	0	0	0	2
24039	41760	"Culazón"	43.23278	-4.48917	136	"AWI"	136	3251	3958	3670	0	64	0	1	0	0	6	0	0	0	20	0	0	1	0	0	0	0	116	22	0	0	7	14	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	45	5	2	0	0	0	4	0	0	0	0	1	0
24039	41760	"Culazón"	43.23278	-4.48917	138	"AWI"	138	3585	4076	3854	0	46	0	0	1	0	3	1	0	0	41	0	1	0	0	0	0	0	126	38	0	212	0	6	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	42	6	2	0	0	0	2	0	0	0	1	1	0
24039	41760	"Culazón"	43.23278	-4.48917	140	"AWI"	140	3697	4449	4015	0	57	1	0	3	0	4	0	0	0	16	0	1	0	0	0	0	0	151	38	0	220	0	12	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	54	5	1	0	0	0	1	0	0	0	2	0	1
