"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Malus"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3432	4445	"Lake Solsø"	56.12833	8.613126	340	"AWI"	340	2759	3015	2856	0	119	3	0	0	0	3	0	0	143	0	0	0	0	0	0	0	83	0	0	35	0	0	0	0	6	0	6	1	0	0	0	0	0	0	0	0	97	0	0	0	5	0	39	0	0	0	0	1	0	0	106	0	0	0	0	0	3	1	0	0	0	0	0	0	0	6	7	2	0
3432	4445	"Lake Solsø"	56.12833	8.613126	348	"AWI"	348	2791	3041	2894	0	84	1	0	0	0	2	0	0	119	0	0	0	0	0	0	0	109	0	0	25	0	0	0	0	2	1	3	4	0	0	0	0	0	0	0	0	50	0	0	0	3	1	37	0	0	0	0	0	0	0	70	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	7	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	356	"AWI"	356	2813	3075	2928	0	201	3	0	0	0	5	0	0	260	1	0	1	0	0	0	0	201	0	0	59	0	0	1	0	9	1	9	2	0	2	0	0	0	0	0	0	93	0	0	0	5	2	83	0	0	0	0	1	0	0	176	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	27	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	372	"AWI"	372	2890	3155	3009	1	75	1	0	0	0	2	0	0	120	1	0	0	0	0	0	0	91	0	0	30	0	0	0	0	7	0	11	2	0	0	0	0	0	0	0	0	18	0	0	0	1	0	25	0	0	0	0	2	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	382	"AWI"	382	2941	3204	3085	0	114	1	0	0	0	5	0	0	149	0	0	0	0	0	0	0	106	0	0	26	0	0	0	0	8	1	6	4	0	0	0	0	0	0	0	0	22	0	0	0	1	0	31	0	0	0	0	4	0	0	78	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	8	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	384	"AWI"	384	2946	3217	3101	0	127	4	0	0	0	2	0	0	166	0	0	3	2	0	0	0	112	0	0	34	0	0	0	0	7	1	7	2	0	0	0	0	0	0	0	0	27	0	0	0	0	2	34	0	0	0	0	2	0	0	108	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	5	4	0
3432	4445	"Lake Solsø"	56.12833	8.613126	392	"AWI"	392	2988	3279	3152	0	212	5	0	0	0	5	0	0	362	2	0	1	2	0	0	0	217	0	0	68	0	0	1	0	15	0	12	2	3	2	0	1	0	0	0	0	62	0	0	0	3	0	77	0	0	0	0	1	0	0	152	0	0	0	0	0	7	0	0	0	0	0	0	0	1	12	23	5	0
3432	4445	"Lake Solsø"	56.12833	8.613126	400	"AWI"	400	3062	3303	3193	0	108	2	0	0	0	4	0	0	136	0	0	0	0	0	0	0	104	0	0	33	0	0	0	0	3	0	9	7	0	0	0	0	0	0	0	0	25	0	0	0	0	0	33	0	0	0	0	2	0	0	78	0	0	0	1	0	3	0	0	0	0	0	0	0	0	2	4	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	408	"AWI"	408	3103	3345	3239	0	102	3	0	0	0	3	0	0	115	0	0	0	1	0	0	0	122	0	0	27	0	0	1	0	4	0	4	2	0	0	0	0	0	0	0	0	27	0	0	0	1	2	37	0	0	0	0	0	0	0	81	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	7	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	416	"AWI"	416	3141	3404	3282	0	195	8	0	0	0	4	0	0	280	0	0	0	1	0	0	0	210	0	0	70	0	0	0	0	19	0	11	3	1	0	0	0	0	0	0	0	44	0	0	0	4	1	69	0	0	0	0	4	0	0	161	0	0	0	1	0	10	0	0	0	0	0	1	0	0	7	18	3	0
3432	4445	"Lake Solsø"	56.12833	8.613126	432	"AWI"	432	3244	3494	3367	0	118	1	0	0	0	3	0	0	164	0	0	0	1	0	0	0	122	0	0	28	0	0	0	0	3	0	9	2	0	0	0	0	0	0	0	0	14	0	0	0	0	1	27	0	0	0	0	2	0	0	113	0	0	0	0	0	2	0	0	0	0	0	1	0	0	6	8	1	1
3432	4445	"Lake Solsø"	56.12833	8.613126	448	"AWI"	448	3373	3648	3498	0	248	5	0	0	0	3	0	0	287	1	0	0	0	0	0	0	223	0	0	61	0	0	0	0	18	0	14	1	0	1	0	0	0	0	0	0	14	0	0	0	3	0	69	0	0	0	0	4	0	0	216	0	0	0	0	0	4	0	0	0	0	0	0	0	0	9	14	2	0
3432	4445	"Lake Solsø"	56.12833	8.613126	456	"AWI"	456	3414	3779	3580	0	290	5	0	0	0	11	0	0	319	2	0	0	1	0	0	0	269	0	0	82	0	588	0	0	15	0	23	4	0	2	0	0	0	0	0	0	13	0	0	0	5	0	74	0	0	0	0	0	0	0	203	0	0	0	1	0	3	0	0	0	0	0	1	3	0	12	25	7	0
3432	4445	"Lake Solsø"	56.12833	8.613126	464	"AWI"	464	3558	4044	3769	1	230	8	0	0	0	4	0	0	278	1	0	0	1	0	0	0	235	1	0	55	1	0	0	0	9	1	20	0	0	1	0	0	0	0	0	0	2	0	0	0	3	2	64	0	0	0	0	2	0	1	204	0	0	0	2	0	0	0	0	0	0	0	1	0	1	9	24	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	468	"AWI"	468	4196	4633	4401	2	268	1	0	0	0	5	0	0	270	0	0	0	0	0	2	0	245	0	0	49	0	0	1	0	16	0	38	0	0	0	0	1	0	0	0	0	1	0	0	3	5	0	69	0	0	0	0	1	0	0	228	0	0	0	0	0	4	0	0	0	0	0	1	1	1	7	29	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	470	"AWI"	470	4506	4926	4717	0	295	3	0	1	0	3	0	0	337	0	0	0	0	0	0	0	209	0	1	55	1	0	0	0	11	0	22	0	0	0	0	0	0	0	1	0	1	0	0	0	7	0	69	0	0	0	0	1	0	0	245	0	0	0	0	0	4	0	0	0	0	0	0	0	1	13	43	2	0
3432	4445	"Lake Solsø"	56.12833	8.613126	472	"AWI"	472	4815	5232	5037	0	317	1	0	1	0	0	0	0	427	0	0	0	0	0	0	0	285	0	0	46	0	0	0	0	1	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	109	0	0	0	0	1	0	0	292	0	0	0	1	0	3	0	0	0	0	0	0	0	0	25	36	3	0
3432	4445	"Lake Solsø"	56.12833	8.613126	476	"AWI"	476	5433	5844	5683	0	322	0	0	0	0	2	0	0	463	0	0	0	0	0	0	0	349	0	0	41	0	0	0	0	2	1	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	88	0	0	0	0	0	0	0	262	0	0	0	0	0	4	0	0	0	0	1	0	0	0	29	56	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	478	"AWI"	478	5744	6148	6004	0	390	1	0	0	0	1	0	0	490	0	0	1	0	0	0	0	321	0	0	29	0	0	1	0	0	1	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	292	0	0	0	0	0	3	0	0	0	0	0	2	0	0	41	88	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	480	"AWI"	480	6050	6463	6316	0	300	0	0	2	0	3	0	0	408	0	0	0	1	0	0	0	270	0	0	12	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	89	0	0	0	0	2	0	0	210	0	0	0	0	0	1	0	0	0	0	0	0	0	0	40	60	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	484	"AWI"	484	6653	7123	6939	0	179	2	0	0	0	2	0	0	216	0	0	0	0	0	0	0	227	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	71	0	0	0	0	0	0	0	127	0	0	0	0	0	4	0	0	0	0	0	0	0	0	22	43	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	488	"AWI"	488	7228	7760	7535	0	402	0	0	3	0	2	0	0	471	0	0	1	2	0	0	0	405	0	0	28	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	194	0	0	0	0	1	0	0	252	0	0	0	0	0	3	0	2	0	0	0	2	0	1	45	79	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	492	"AWI"	492	7397	7820	7635	0	171	1	0	0	0	3	1	0	282	0	0	0	0	0	0	0	207	0	0	11	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	86	0	0	0	0	1	0	0	112	0	0	0	0	0	4	0	0	0	0	0	0	0	0	25	42	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	496	"AWI"	496	7555	7888	7731	0	322	2	0	2	0	4	0	0	428	0	0	0	0	0	0	0	511	0	0	34	0	0	0	0	0	2	7	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	173	0	0	0	0	7	0	0	192	0	0	0	0	0	6	0	0	0	0	0	1	0	0	64	72	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	500	"AWI"	500	7697	7966	7830	0	163	0	0	0	0	0	0	0	263	0	0	0	1	0	0	0	268	0	0	11	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	1	0	0	112	0	0	0	0	0	1	0	0	0	0	0	2	0	0	19	42	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	504	"AWI"	504	7802	8075	7930	0	346	1	0	2	0	0	0	0	522	0	0	1	1	0	0	0	520	0	0	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	219	0	0	0	0	4	0	0	150	0	0	0	0	0	4	0	0	0	0	0	2	0	0	26	55	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	508	"AWI"	508	7888	8203	8032	0	148	1	0	0	0	0	0	0	338	0	0	0	1	0	0	0	244	0	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	102	0	0	0	0	1	0	0	61	0	0	0	0	0	4	0	0	0	0	0	1	0	0	21	33	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	512	"AWI"	512	7953	8339	8132	0	247	2	0	3	0	1	0	0	434	0	0	0	0	0	0	0	541	0	0	10	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	206	0	0	0	0	7	0	0	126	0	0	0	0	0	8	0	0	0	0	0	0	0	0	21	60	2	0
3432	4445	"Lake Solsø"	56.12833	8.613126	516	"AWI"	516	8115	8447	8266	0	119	0	0	0	0	0	0	0	272	0	0	0	1	0	0	0	292	0	0	11	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	109	0	0	0	0	1	0	0	56	0	0	0	0	0	1	0	3	0	0	0	0	0	0	9	43	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	520	"AWI"	520	8264	8579	8403	0	223	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	608	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	228	0	0	0	0	1	0	0	130	0	0	0	0	0	4	0	0	0	0	0	3	0	0	13	71	1	1
3432	4445	"Lake Solsø"	56.12833	8.613126	524	"AWI"	524	8388	8737	8548	0	104	0	0	2	0	3	0	0	247	0	0	0	0	0	0	0	316	0	0	6	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	141	0	0	0	0	2	0	0	58	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	35	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	528	"AWI"	528	8490	8911	8698	0	298	0	0	0	0	0	0	0	534	1	0	5	0	0	0	0	770	0	0	17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	314	0	0	0	0	7	0	0	79	0	0	0	0	0	6	0	0	0	0	0	1	0	0	2	79	0	1
3432	4445	"Lake Solsø"	56.12833	8.613126	532	"AWI"	532	8572	9088	8847	0	91	0	0	0	0	2	0	0	273	0	0	0	0	0	0	0	375	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	191	0	0	0	0	1	0	0	29	0	0	0	0	0	5	0	0	0	0	0	1	0	0	1	37	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	536	"AWI"	536	8651	9274	8998	0	37	2	0	0	0	2	0	0	385	1	0	1	1	0	0	0	822	0	0	42	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	315	0	0	0	0	5	0	0	34	0	0	0	0	0	16	0	0	0	0	0	1	0	1	0	55	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	540	"AWI"	540	8860	9396	9160	1	9	1	0	0	0	1	0	0	262	0	0	0	0	0	0	0	550	0	0	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	251	0	0	0	0	4	0	0	20	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	34	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	544	"AWI"	544	9098	9521	9326	0	9	2	0	1	0	0	0	0	540	0	3	5	0	0	0	0	892	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	387	0	0	0	0	17	0	0	35	0	0	0	0	0	23	0	0	0	0	0	1	0	0	0	48	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	548	"AWI"	548	9324	9667	9495	0	3	0	0	0	0	0	0	0	253	0	0	2	0	0	0	0	499	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	294	0	0	0	0	5	0	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	15	0	2
3432	4445	"Lake Solsø"	56.12833	8.613126	552	"AWI"	552	9498	9855	9666	0	2	0	0	0	0	2	0	0	470	0	0	7	0	0	0	0	1092	0	0	24	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	553	0	0	0	0	35	0	0	24	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	25	2	1
3432	4445	"Lake Solsø"	56.12833	8.613126	556	"AWI"	556	9640	10075	9843	0	5	0	0	0	0	1	0	0	372	0	0	1	0	0	0	0	640	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	0	0	27	0	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	16	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	560	"AWI"	560	9744	10317	10022	0	3	0	0	0	0	5	0	0	623	0	0	3	0	0	0	0	770	0	0	32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	49	0	0	7	0	1	0	0	0	27	0	0	0	0	0	2	0	1	0	23	3	0
3432	4445	"Lake Solsø"	56.12833	8.613126	564	"AWI"	564	9998	10540	10260	0	4	0	0	0	0	0	0	0	481	0	0	3	0	0	0	0	168	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	23	0	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	5	4	0
3432	4445	"Lake Solsø"	56.12833	8.613126	568	"AWI"	568	10264	10850	10536	0	7	1	0	0	0	2	0	0	1523	1	0	1	0	0	0	0	46	0	0	46	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	641	0	0	0	0	74	0	0	8	0	0	0	1	10	49	0	0	0	0	0	0	0	0	0	4	12	2
3432	4445	"Lake Solsø"	56.12833	8.613126	572	"AWI"	572	10437	11201	10811	0	0	0	0	0	0	4	0	0	455	17	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	32	0	0	0	0	0	0	2	10	49	0	0	0	0	0	0	0	2	0	0	8	0
