"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16136	24933	"Grozon"	46.89056	5.70028	400	"AWI"	400	1997	2402	2225	1	0	6	34	2	0	0	0	3	1	0	0	0	0	0	1	2	40	40	0	1	0	29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	26	5	0	0	0	0	0	0	0	0	0	12	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	430	"AWI"	430	2046	2502	2277	0	0	2	31	3	0	0	0	0	0	0	0	0	6	0	0	0	12	29	0	0	0	19	0	2	0	2	0	0	0	3	0	0	0	1	0	0	3	0	0	0	0	0	0	1	19	13	0	0	0	1	0	1	0	0	0	0	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	460	"AWI"	460	2102	2550	2330	1	0	7	102	0	0	1	0	2	2	0	0	0	10	0	0	0	10	53	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	30	8	0	0	0	0	0	1	0	0	0	8	0	0	1
16136	24933	"Grozon"	46.89056	5.70028	490	"AWI"	490	2153	2612	2384	2	0	7	164	3	1	0	0	1	0	0	0	0	0	0	2	0	7	19	0	0	0	4	0	0	0	0	0	0	2	5	0	0	0	0	0	0	4	4	0	0	0	0	0	0	41	0	0	0	0	1	1	0	0	0	0	1	0	0	1
16136	24933	"Grozon"	46.89056	5.70028	505	"AWI"	505	2186	2626	2411	1	0	4	10	1	0	0	0	1	0	0	0	0	13	0	1	0	14	43	0	0	0	15	0	0	0	0	0	0	0	4	0	0	0	0	0	1	2	0	0	0	0	0	0	0	23	7	0	0	0	0	0	0	0	0	0	5	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	520	"AWI"	520	2213	2642	2438	3	0	5	66	2	0	0	0	2	0	0	0	0	8	0	0	1	44	38	0	0	0	20	0	0	0	0	0	0	0	3	0	0	2	1	0	1	11	0	0	0	0	0	0	1	37	13	0	0	0	0	0	0	0	0	0	2	0	0	4
16136	24933	"Grozon"	46.89056	5.70028	540	"AWI"	540	2242	2680	2470	0	0	13	17	5	0	3	0	1	2	1	0	0	6	3	1	0	75	55	0	0	0	30	0	1	0	1	0	0	1	3	0	0	0	1	0	0	6	34	1	0	0	0	0	2	34	23	0	0	1	4	1	0	0	0	0	34	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	555	"AWI"	555	2315	2707	2515	13	0	1	32	1	0	0	0	0	1	0	0	0	0	0	0	0	6	61	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	0	4	22	0	0	0	0	0	0	1	33	4	0	0	0	0	0	0	0	0	1	3	0	0	1
16136	24933	"Grozon"	46.89056	5.70028	580	"AWI"	580	2359	2823	2610	3	0	2	98	1	0	1	0	1	0	0	0	0	0	0	0	0	7	50	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	4	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	4	0	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	605	"AWI"	605	2412	2962	2693	0	0	29	30	0	0	0	0	1	1	0	0	0	0	0	0	0	39	137	0	0	0	22	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	12	0	0	0	0	0	0	22	2	0	0	0	0	0	0	0	1	2	2	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	625	"AWI"	625	2502	3004	2768	0	0	36	41	0	0	0	0	0	0	0	0	0	0	0	0	0	52	46	0	0	0	31	0	1	0	0	0	1	0	1	0	0	0	1	0	0	3	3	0	0	0	0	0	0	45	3	0	0	0	1	0	0	0	0	10	1	0	0	2
16136	24933	"Grozon"	46.89056	5.70028	640	"AWI"	640	2544	3048	2828	0	1	22	6	0	0	0	0	0	3	0	0	0	0	0	0	0	32	74	0	0	0	33	0	0	0	0	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	1	45	2	0	0	0	1	0	0	1	0	12	1	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	655	"AWI"	655	2580	3109	2888	1	1	24	5	0	2	2	0	1	0	0	0	0	3	0	0	0	55	11	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	22	4	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	670	"AWI"	670	2668	3146	2938	0	0	72	13	2	1	0	0	1	2	0	0	0	0	0	0	0	80	2	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	53	2	0	0	0	0	0	1	0	0	18	6	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	685	"AWI"	685	2778	3167	2986	3	0	88	4	0	0	0	0	3	0	0	0	0	0	1	0	0	37	37	1	0	0	61	0	1	0	0	0	0	1	3	0	0	1	1	0	0	6	0	0	0	0	0	0	0	93	12	0	0	0	1	0	0	0	0	5	2	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	700	"AWI"	700	2851	3196	3037	6	0	62	13	0	0	0	0	1	0	0	0	0	0	0	0	0	18	172	0	0	0	57	0	0	0	0	0	0	0	1	0	1	0	0	0	1	5	0	0	0	0	0	0	1	27	4	0	0	2	0	0	1	0	0	2	1	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	715	"AWI"	715	2895	3245	3091	7	1	18	71	0	0	0	0	0	0	0	0	0	0	0	0	0	32	93	0	1	0	80	0	0	0	0	0	0	0	1	0	0	0	1	0	1	3	0	0	0	0	0	0	1	22	5	0	0	0	0	0	0	0	0	1	5	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	730	"AWI"	730	2939	3281	3126	2	1	33	18	1	2	0	0	11	0	0	0	0	0	0	0	0	81	9	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	100	2	0	0	0	2	0	0	0	0	1	2	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	795	"AWI"	795	3097	3407	3255	0	0	99	4	0	1	1	0	3	1	0	1	0	0	0	0	0	124	9	0	0	0	127	0	0	0	1	0	0	0	4	0	1	0	0	0	0	3	0	0	0	0	0	0	2	82	1	0	0	0	0	0	0	0	0	1	1	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	810	"AWI"	810	3145	3427	3289	1	0	42	10	1	0	0	0	1	0	0	0	0	4	0	0	0	40	43	0	0	0	65	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	44	3	0	0	0	0	0	0	0	0	2	1	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	825	"AWI"	825	3176	3455	3327	0	0	40	54	2	0	0	0	2	0	0	0	0	0	0	0	0	45	19	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	44	3	1	0	0	0	0	0	0	0	3	4	0	0	2
16136	24933	"Grozon"	46.89056	5.70028	835	"AWI"	835	3188	3495	3348	0	0	60	109	0	0	0	0	2	0	0	0	0	0	0	0	0	55	6	0	0	0	100	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	45	7	0	0	0	0	0	0	0	0	2	0	0	0	3
16136	24933	"Grozon"	46.89056	5.70028	900	"AWI"	900	3282	3939	3512	0	0	34	14	2	0	0	0	1	1	0	0	0	2	0	0	0	47	11	1	0	0	120	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	7	0	0	0	0	0	1	44	4	0	0	0	0	0	0	0	0	1	2	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	915	"AWI"	915	3316	3989	3557	0	0	55	32	3	0	0	0	0	1	0	0	0	0	0	0	0	88	11	0	0	0	88	0	1	0	0	1	0	0	1	0	0	0	1	1	0	2	12	0	0	0	0	0	2	42	7	0	0	0	1	1	0	0	0	1	1	0	0	1
16136	24933	"Grozon"	46.89056	5.70028	930	"AWI"	930	3341	4046	3602	0	0	68	24	0	0	0	0	2	0	0	0	0	0	0	0	0	94	1	0	0	0	80	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	30	6	0	0	0	2	0	1	0	0	1	2	1	0	0
16136	24933	"Grozon"	46.89056	5.70028	960	"AWI"	960	3380	4225	3683	0	0	64	61	3	0	0	0	6	1	1	0	0	2	0	0	0	71	13	0	0	0	91	0	6	0	0	1	0	0	0	0	1	0	0	0	0	1	8	0	0	0	0	0	2	40	8	0	0	0	0	1	1	0	0	4	5	0	1	0
16136	24933	"Grozon"	46.89056	5.70028	990	"AWI"	990	3444	4342	3775	0	0	80	23	0	1	0	0	2	0	0	0	0	0	0	0	0	100	2	0	0	0	82	0	3	1	0	0	0	0	3	0	0	0	1	0	0	0	8	0	0	0	1	0	0	25	5	0	0	0	3	2	0	0	0	0	2	0	0	1
16136	24933	"Grozon"	46.89056	5.70028	1020	"AWI"	1020	3478	4515	3861	0	1	79	8	1	0	0	0	5	2	0	0	0	0	0	0	0	106	2	0	0	0	104	0	5	0	0	0	0	0	1	1	0	0	2	0	0	1	4	0	0	0	0	0	1	37	1	0	0	0	1	0	0	0	0	2	6	0	0	0
