"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Iridaceae"	"Juglans"	"Ostrya.Carpinus"	"Pinus"	"Poaceae"	"Quercus"	"Tilia"	"Ulmus"
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	130	"AWI"	130	1777	3113	2437	14	10	21	15	42	10	0	0	0	2	48	4	31	3	4
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	140	"AWI"	140	1970	3283	2621	11	7	15	9	48	7	0	0	0	1	51	3	30	3	3
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	150	"AWI"	150	2179	3452	2805	9	5	13	5	50	3	0	5	0	3	50	5	31	3	3
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	160	"AWI"	160	2402	3632	2983	7	7	14	0	27	1	0	0	0	3	82	7	27	3	5
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	170	"AWI"	170	2640	3805	3164	5	5	15	0	15	1	0	0	0	3	105	5	26	2	5
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	180	"AWI"	180	2821	4083	3393	11	9	22	0	15	2	2	0	0	4	108	4	34	2	4
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	190	"AWI"	190	3003	4378	3609	10	10	27	1	11	1	1	0	0	3	81	0	30	1	1
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	200	"AWI"	200	3181	4621	3839	8	15	35	4	13	0	2	4	0	4	97	0	33	0	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	210	"AWI"	210	3367	4853	4067	2	21	38	9	13	0	2	0	0	4	114	4	30	0	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	220	"AWI"	220	3561	5111	4299	6	33	26	6	11	0	2	0	0	0	91	2	44	0	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	230	"AWI"	230	3771	5340	4529	6	29	41	4	9	0	2	0	0	0	92	2	41	0	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	240	"AWI"	240	3973	5556	4758	6	21	54	4	6	0	2	0	0	0	87	2	34	0	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	250	"AWI"	250	4183	5770	4986	6	15	26	2	4	0	2	4	0	0	130	4	19	0	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	260	"AWI"	260	4394	5972	5218	4	28	48	4	3	0	2	0	0	0	72	2	34	0	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	270	"AWI"	270	4642	6178	5452	7	17	19	7	1	0	1	0	0	0	103	3	21	0	1
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	280	"AWI"	280	4892	6363	5681	4	23	58	2	1	0	3	13	0	0	65	6	48	0	4
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	290	"AWI"	290	5123	6552	5909	1	21	29	3	0	0	3	0	0	3	101	3	25	0	3
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	300	"AWI"	300	5406	6730	6141	2	33	31	8	0	0	3	4	0	2	83	6	33	2	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	310	"AWI"	310	5673	6909	6367	5	23	30	1	0	0	1	0	0	1	71	10	37	1	0
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	320	"AWI"	320	5964	7061	6589	3	17	34	1	0	0	0	0	0	1	61	24	33	3	0
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	330	"AWI"	330	6335	7216	6803	0	14	42	7	0	0	0	0	0	3	58	38	30	0	0
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	340	"AWI"	340	6461	7542	6975	4	11	88	13	0	0	0	4	0	2	77	13	8	0	0
