"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3387	4391	"Rugozero"	64.08333	32.63333	650	"AWI"	650	8261	9489	8917	0	0	0	0	6	1	235	0	0	1	17	0	0	3	0	0	0	2	75	22	0	1	0	2	0	0	1	5	1	0	0	1
3387	4391	"Rugozero"	64.08333	32.63333	675	"AWI"	675	8481	9668	9131	0	0	0	1	3	0	244	0	0	0	32	0	0	1	0	0	0	1	59	47	0	0	1	1	0	1	0	5	0	1	0	1
3387	4391	"Rugozero"	64.08333	32.63333	700	"AWI"	700	8722	9854	9346	0	0	0	0	3	0	192	0	0	0	27	0	0	1	0	0	0	2	51	24	0	0	0	0	0	0	0	3	0	0	0	1
3387	4391	"Rugozero"	64.08333	32.63333	725	"AWI"	725	8998	10032	9566	0	15	0	1	2	0	246	0	0	1	10	0	0	1	0	0	0	3	303	20	0	0	0	2	0	0	0	4	0	0	1	3
3387	4391	"Rugozero"	64.08333	32.63333	750	"AWI"	750	9276	10210	9787	0	0	0	1	7	0	278	0	0	2	28	1	0	2	0	0	0	4	110	26	0	0	0	0	0	0	0	4	0	1	1	2
3387	4391	"Rugozero"	64.08333	32.63333	775	"AWI"	775	9541	10374	10004	0	12	0	0	6	0	270	0	0	1	13	1	0	1	0	0	0	0	111	26	0	0	0	1	0	0	0	4	0	1	0	3
3387	4391	"Rugozero"	64.08333	32.63333	800	"AWI"	800	9838	10529	10214	0	3	0	1	5	1	330	0	0	0	20	1	0	2	0	1	0	1	110	32	0	1	0	0	0	0	1	5	0	1	0	1
3387	4391	"Rugozero"	64.08333	32.63333	820	"AWI"	820	10136	10656	10375	0	2	0	0	3	0	270	0	0	0	15	0	0	1	0	0	0	4	158	26	0	2	0	0	0	0	0	2	0	1	0	2
3387	4391	"Rugozero"	64.08333	32.63333	830	"AWI"	830	10204	10761	10460	0	0	0	2	6	0	264	0	0	1	15	0	0	2	0	0	0	1	12	60	0	0	0	1	0	0	0	7	0	0	0	1
3387	4391	"Rugozero"	64.08333	32.63333	840	"AWI"	840	10272	10884	10544	0	0	0	0	7	0	307	0	0	1	7	1	0	2	0	0	0	1	2	65	0	0	0	1	0	0	3	9	0	1	0	0
3387	4391	"Rugozero"	64.08333	32.63333	850	"AWI"	850	10325	11016	10624	0	0	0	0	25	0	182	1	0	0	14	0	0	0	0	0	0	1	12	7	0	1	0	6	0	0	0	12	0	1	0	0
3387	4391	"Rugozero"	64.08333	32.63333	860	"AWI"	860	10366	11171	10702	0	0	0	0	24	0	128	0	0	0	6	0	0	3	0	0	0	3	7	8	0	0	0	6	0	0	0	8	0	2	0	0
