"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26167	45636	"Litlvatnet"	68.526744	14.930456	808	"AWI"	808	4554	5383	5005	11.7647058823529	0	0	0	0	0	0	0	0	0	0	0	2.94117647058824	2.94117647058824	0	0	0	0	0	0	0	23.5294117647059	0	0	0	0	0	0	55.8823529411765	0	0	0	0	2.94117647058824	0	0	0	0	0	0	0	0	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	816	"AWI"	816	4805	5529	5202	17.8571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	14.2857142857143	0	17.8571428571429	0	0	0	0	14.2857142857143	0	0	0	0	0	0	32.1428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57142857142857	0
26167	45636	"Litlvatnet"	68.526744	14.930456	824	"AWI"	824	5072	5684	5396	12.5	0	5	2.5	0	0	0	0	0	0	0	2.5	0	0	27.5	0	0	0	0	0	0	10	0	0	0	0	0	0	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0
26167	45636	"Litlvatnet"	68.526744	14.930456	832	"AWI"	832	5271	5931	5592	0.8	0	0	0	0	90.8	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	1.6	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0.8	0	0	0	0	0	0.4	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	840	"AWI"	840	5448	6205	5793	26.6666666666667	0	0	0	0	0	0	0	0	0	0	0	3.33333333333333	0	0	0	0	0	0	0	3.33333333333333	26.6666666666667	0	0	0	0	0	0	36.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	3.33333333333333	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	848	"AWI"	848	5598	6461	6003	27.2727272727273	0	0	0	0	0	0	0	0	0	0	0	4.54545454545455	4.54545454545455	0	0	0	0	0	0	4.54545454545455	13.6363636363636	0	0	0	0	0	0	36.3636363636364	0	0	0	0	0	0	4.54545454545455	0	0	0	0	0	0	0	0	4.54545454545455	0
26167	45636	"Litlvatnet"	68.526744	14.930456	856	"AWI"	856	5762	6694	6209	1.8450184501845	0	0	0	0	87.4538745387454	0	0	0	0	0	0	0.3690036900369	0	1.4760147601476	0	0	0	0	0	0	4.7970479704797	0	0	0	0.3690036900369	0	0	2.9520295202952	0	0	0	0	0	0	0	0	0	0	0	0	0.3690036900369	0	0	0.3690036900369	0
26167	45636	"Litlvatnet"	68.526744	14.930456	864	"AWI"	864	5937	6932	6419	3.33333333333333	0	0.833333333333333	0	0	82.9166666666667	0	0	0	0	0	0	0.416666666666667	0	2.5	0	0	0	0	0	0	4.16666666666667	0	0	0	0	0	0	4.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0.833333333333333	0.416666666666667	0	0.416666666666667	0
26167	45636	"Litlvatnet"	68.526744	14.930456	872	"AWI"	872	6137	7126	6637	1.85185185185185	0	0	0	0	89.6296296296296	0	0	0	0	0	0	0	0	3.33333333333333	0	0	0	0	0	0	1.85185185185185	0	0	0	0	0	0	2.96296296296296	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37037037037037	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	880	"AWI"	880	6338	7309	6857	0.348432055749129	0	0	0	0	87.1080139372822	0	0	0	0	0	0	1.04529616724739	0	2.09059233449477	0	0	0	0	0	0	2.4390243902439	0	0	0	0.348432055749129	0	0	5.57491289198606	0	0	0	0	0	0	0	0	0	0	0	0	0.696864111498258	0	0	0.348432055749129	0
