"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	485	"AWI"	485	11612	13455	12478	0	0	2	0	5	64	0	33	0	0	0	2	0	0	0	11	0	0	0	0	0	0	0	6	0	0	0	365	0	70	1	1	0	0	2	5	3	1	4	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	490	"AWI"	490	11758	13725	12730	0	1	3	0	0	47	0	14	0	0	0	3	0	0	0	15	2	0	0	0	0	0	0	15	2	0	0	356	0	40	0	1	0	0	0	4	4	1	6	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	495	"AWI"	495	12059	13892	12986	0	0	2	0	4	71	0	26	0	0	0	1	0	0	0	5	2	0	0	0	0	0	0	7	1	0	0	379	0	67	1	1	0	0	2	2	0	1	6	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	500	"AWI"	500	12244	14159	13251	0	1	2	0	0	59	0	21	0	1	0	1	0	1	0	12	2	0	0	1	0	0	0	24	0	0	0	343	0	77	0	4	0	0	0	2	2	0	4	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	510	"AWI"	510	12804	14531	13760	0	0	2	0	1	36	0	2	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	3	0	0	1	215	0	35	0	0	0	0	0	0	0	2	2	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	515	"AWI"	515	13340	14654	13977	0	0	1	0	0	24	0	10	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	5	0	0	0	284	0	50	0	0	0	0	0	4	3	0	2	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	518	"AWI"	518	13554	14764	14112	0	0	1	0	1	15	0	13	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	3	0	0	0	514	0	34	0	0	0	0	1	0	0	0	0	0	1
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	520	"AWI"	520	13648	14866	14203	0	0	0	1	0	14	0	62	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	13	0	0	0	570	0	31	0	2	0	0	0	0	1	0	0	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	522	"AWI"	522	13714	14935	14275	0	0	1	0	1	14	8	35	0	0	0	1	0	1	0	0	5	0	0	0	0	0	0	11	0	0	0	439	0	23	0	0	0	0	0	1	2	1	3	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	527	"AWI"	527	13853	15186	14451	0	0	0	0	2	30	7	68	0	0	0	0	0	0	0	2	6	0	0	0	0	1	0	28	2	0	0	450	0	32	2	0	0	0	0	6	1	1	0	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	530	"AWI"	530	13911	15412	14546	0	0	0	0	0	46	0	153	1	0	0	1	0	0	0	4	13	0	0	0	0	0	0	26	0	0	1	244	0	36	0	1	0	0	1	2	4	1	0	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	535	"AWI"	535	14047	15619	14720	0	0	1	0	2	40	0	116	0	0	0	0	0	0	0	5	50	0	1	0	0	0	0	21	0	0	0	226	0	27	0	1	0	0	1	2	2	0	1	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	540	"AWI"	540	14144	15922	14890	0	0	1	0	2	45	0	41	0	0	0	1	0	0	0	5	16	0	0	0	0	0	0	28	0	0	0	0	0	87	0	1	0	0	1	5	1	0	0	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	545	"AWI"	545	14276	16108	15061	0	0	0	0	0	17	0	31	0	0	0	0	0	0	0	5	46	0	0	0	0	0	0	33	0	0	0	0	0	61	0	0	0	0	1	0	4	1	1	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	550	"AWI"	550	14377	16374	15225	0	0	3	0	5	21	0	177	3	0	0	0	0	0	0	4	65	0	0	0	0	0	0	46	0	0	0	0	0	48	0	0	0	0	0	3	8	0	4	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	555	"AWI"	555	14540	16544	15396	0	0	3	0	3	23	0	102	1	0	0	1	0	0	0	5	85	0	0	0	0	0	0	38	0	0	0	0	0	37	0	1	0	0	1	2	7	2	1	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	560	"AWI"	560	14651	16777	15560	0	0	0	0	1	35	0	66	0	0	0	1	0	0	0	6	76	0	0	0	0	0	0	43	0	0	0	77	0	47	0	0	0	0	0	1	13	2	1	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	570	"AWI"	570	14921	17153	15905	0	0	0	0	1	17	0	12	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	37	0	0	1	46	0	83	0	0	0	0	1	1	7	3	2	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	580	"AWI"	580	15179	17526	16257	0	0	0	0	1	18	0	26	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	40	0	0	0	57	0	57	0	0	0	0	1	0	2	1	1	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	590	"AWI"	590	15523	17884	16599	0	0	8	0	2	58	0	30	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	58	0	0	0	29	0	46	0	0	0	0	1	1	2	0	2	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	600	"AWI"	600	15833	18204	16933	0	0	1	0	2	35	0	20	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	57	0	0	0	0	0	41	0	0	0	0	1	1	2	1	0	0	0
