"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	125	"AWI"	125	2605	2910	2739	0	165	8	6	0	27	0	161	0	0	1	0	0	191	8	5	0	0	11	0	7	0	0	0	0	5	1	45	0	0	0	0	0	65	0	0	0	0	0	1	0	0	0	10	11	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	130	"AWI"	130	2636	2957	2775	0	136	4	0	0	26	0	152	0	0	0	0	0	173	10	7	0	0	15	0	5	0	0	1	0	8	1	55	0	0	0	0	0	77	1	0	10	0	0	3	0	0	1	7	5	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	135	"AWI"	135	2708	2996	2807	0	186	2	0	1	11	0	99	0	0	0	0	0	287	12	2	0	0	10	0	14	0	1	0	0	5	1	56	0	0	0	0	0	108	0	0	7	0	0	2	0	0	0	14	11	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	140	"AWI"	140	2751	3049	2840	1	196	9	1	0	18	0	162	0	0	2	0	0	326	8	4	0	0	17	1	23	0	0	0	0	2	0	28	0	49	0	0	0	159	0	0	0	0	0	0	0	0	0	17	13	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	145	"AWI"	145	2787	3118	2909	1	198	0	0	1	12	0	170	2	0	0	0	0	326	1	2	0	0	27	0	21	0	0	0	0	7	0	24	0	55	0	0	0	177	0	0	0	1	0	2	0	1	0	13	19	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	150	"AWI"	150	2806	3249	2971	2	131	2	1	0	8	0	113	0	0	0	0	0	303	2	2	0	0	21	1	21	0	0	0	0	7	0	17	0	0	0	0	0	143	0	0	0	0	0	8	0	0	0	8	11	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	155	"AWI"	155	2857	3309	3043	0	141	1	0	1	9	0	94	0	0	0	0	0	312	1	0	0	0	6	1	16	0	0	0	0	5	0	17	0	0	0	0	0	151	0	0	0	1	0	0	0	0	0	23	15	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	160	"AWI"	160	2883	3417	3110	1	169	5	0	0	9	0	97	0	0	1	0	0	426	6	4	0	0	14	0	12	0	0	0	0	9	0	26	0	0	0	0	0	199	0	0	0	0	0	1	0	0	0	19	17	0	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	165	"AWI"	165	2944	3472	3182	0	229	3	0	0	10	0	97	0	0	1	0	0	496	18	0	0	0	15	0	22	0	0	0	0	13	1	78	0	0	0	0	0	183	0	0	0	0	0	3	0	0	1	23	32	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	170	"AWI"	170	2970	3558	3253	0	319	2	0	1	7	0	88	0	0	1	0	0	443	10	2	0	0	7	1	22	0	0	0	0	10	3	43	0	0	0	0	0	86	0	0	0	1	0	0	0	0	0	17	13	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	175	"AWI"	175	3050	3604	3321	1	196	0	0	0	12	0	82	0	0	0	0	0	451	4	4	0	0	9	1	24	0	0	0	0	12	0	46	0	0	0	0	0	95	0	0	0	0	0	1	0	0	0	18	17	0	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	180	"AWI"	180	3095	3671	3392	1	267	1	0	0	10	0	103	2	0	0	0	0	619	12	1	0	0	10	2	16	0	0	0	0	11	3	20	0	0	0	0	0	123	0	0	0	1	0	4	0	4	0	26	9	0	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	185	"AWI"	185	3188	3710	3462	2	291	2	0	0	7	0	97	0	0	1	0	0	421	4	2	1	0	4	0	26	0	0	0	0	4	0	25	0	0	0	0	0	168	0	0	0	0	0	3	0	0	1	14	24	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	190	"AWI"	190	3243	3779	3530	3	325	3	1	1	10	0	74	0	0	1	0	0	518	4	0	0	0	2	0	20	0	0	0	0	4	0	38	0	0	0	0	0	164	0	0	0	3	0	2	0	2	0	11	14	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	195	"AWI"	195	3333	3814	3599	2	319	1	0	0	15	0	114	1	0	0	0	0	521	7	0	1	0	1	1	31	0	0	0	0	3	0	32	0	0	0	0	0	121	2	0	0	1	0	2	0	2	0	7	11	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	200	"AWI"	200	3392	3872	3669	1	309	1	3	0	9	0	103	0	0	1	0	0	751	7	1	1	0	0	1	22	0	0	0	0	3	1	38	0	0	0	0	0	192	1	0	0	1	0	0	0	4	0	13	13	0	3	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	205	"AWI"	205	3522	3899	3722	2	306	3	0	1	9	0	68	0	0	0	0	0	482	4	0	0	0	0	0	17	0	0	0	0	3	0	26	0	0	0	0	0	120	0	0	0	1	0	1	0	1	0	10	2	0	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	210	"AWI"	210	3606	3948	3783	1	276	0	2	0	16	0	78	0	0	1	0	0	681	2	0	1	0	4	1	27	0	0	0	0	10	0	41	0	0	0	0	0	155	0	0	0	0	0	1	1	0	0	19	10	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	215	"AWI"	215	3671	3987	3836	1	349	3	0	0	17	0	60	0	0	0	0	0	450	3	0	1	0	5	1	27	0	0	0	0	4	2	57	0	0	0	0	0	188	0	0	0	1	0	4	0	0	0	17	24	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	220	"AWI"	220	3706	4060	3882	3	387	3	0	0	14	0	50	0	0	0	0	0	409	3	0	2	0	2	1	45	0	0	0	0	2	2	40	0	0	0	0	0	263	1	0	0	0	0	2	0	3	0	15	24	0	0	0
