"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	310	"AWI"	310	2863	4571	3579	235	3	0	1	0	0	2	0	2	0	0	3	0	0	0	15	0	72	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	7	0	4	0	0	7	1	0	0	0	0	5	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	320	"AWI"	320	3107	5157	4085	199	2	0	0	0	0	0	0	1	0	1	1	0	0	0	10	0	43	0	1	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	4	0	5	0	0	5	0	0	3	0	0	7	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	330	"AWI"	330	3513	5667	4590	189	0	15	1	0	0	0	0	0	0	1	0	0	0	0	28	0	22	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	80	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	21	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	340	"AWI"	340	4016	6002	5063	172	0	27	0	0	0	0	0	2	0	1	0	0	0	0	17	0	15	0	0	0	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	4	0	5	0	1	0	0	0	0	0	0	12	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	350	"AWI"	350	4566	6331	5527	104	0	14	0	0	0	1	0	3	0	0	0	0	0	0	7	3	11	0	1	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	11	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	360	"AWI"	360	5197	6625	6079	254	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	3	9	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	4	0	0	0	0	0	2	0	1	6	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	370	"AWI"	370	6061	6878	6496	124	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	380	"AWI"	380	6724	10709	8529	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	217	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	3	0	0	6	0	0	2	11	3	1	2	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	390	"AWI"	390	10515	11417	11132	1	0	0	18	0	0	46	0	5	0	6	0	3	0	0	4	0	12	8	0	0	0	0	2	0	0	2	0	0	9	0	0	0	0	0	0	0	0	911	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	392	"AWI"	392	11053	11974	11494	0	0	0	9	0	0	57	0	0	0	4	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	51	0	0	0	0	0	0	6	0	0	0	0	0	3	0	1	1	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	398	"AWI"	398	11400	14639	12693	0	0	0	6	0	0	28	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	402	"AWI"	402	12085	15951	13706	1	0	0	3	0	0	88	0	0	0	3	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	54	0	0	0	0	1	0	9	0	0	0	1	0	0	0	0	0	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	406	"AWI"	406	12733	16956	15047	0	0	0	7	0	0	107	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	73	0	0	0	0	3	0	3	0	0	0	0	0	2	0	1	0	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	410	"AWI"	410	13037	18493	16223	0	0	0	13	0	0	71	0	4	0	9	0	6	0	0	4	0	9	0	0	0	0	0	1	0	0	4	0	1	8	0	0	0	0	0	0	0	0	207	0	0	0	0	2	0	4	0	0	3	0	0	3	1	3	0	1	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	418	"AWI"	418	16797	19019	18221	0	0	0	7	0	0	41	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	107	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	420	"AWI"	420	17276	19407	18763	0	0	0	7	0	0	50	0	2	0	0	0	0	0	1	1	0	8	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	12	0	3	0	0	0	0	0	2	0	0	0	0
