"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cercis"	"Cistaceae"	"Cornus"	"Corylus"	"Cotinus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Paliurus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"	"Vitex"
15829	24358	"Litochoro"	40.13889	22.54611	225	"AWI"	225	760	1270	997	1.66666666666667	0	31.6666666666667	4.44444444444444	0	0	0	0	2.22222222222222	0	0	0	0	0.555555555555556	0	0	0	0	0	0	0	0	0	0	0	16.6666666666667	0	0	0	0.555555555555556	2.77777777777778	0.555555555555556	0	0.555555555555556	1.11111111111111	0	0.555555555555556	0	0	0	0	0	0	12.2222222222222	0.555555555555556	1.11111111111111	0	5	0	6.11111111111111	1.11111111111111	0	0	0	0.555555555555556	0	5.55555555555556	0	0.555555555555556	0	0	0	0	3.88888888888889	0
15829	24358	"Litochoro"	40.13889	22.54611	230	"AWI"	230	798	1301	1033	0.895522388059702	0	50.7462686567164	0.895522388059702	0.597014925373134	0	0.298507462686567	0	0.895522388059702	0	0	0	0	0.895522388059702	0.298507462686567	0	0	0	0	0	0	0	0	1.7910447761194	0	6.56716417910448	0	0	0	1.19402985074627	2.38805970149254	0	0	0	0.597014925373134	0	0	0	0	0	0	0.895522388059702	0	18.8059701492537	1.19402985074627	1.19402985074627	0	0	0	0	2.38805970149254	0.597014925373134	1.19402985074627	0	0.298507462686567	0	2.98507462686567	0	0	0	0.597014925373134	0	0	1.7910447761194	0
15829	24358	"Litochoro"	40.13889	22.54611	240	"AWI"	240	843	1409	1096	0.68259385665529	0	52.901023890785	0.341296928327645	1.02389078498294	0.341296928327645	0.341296928327645	0	1.70648464163823	0	0	0	0	0.68259385665529	0	0	0	0	0	0	0	0	0	3.7542662116041	0	4.09556313993174	0	0	0	1.36518771331058	0.68259385665529	0	0	0	0.68259385665529	0	0.341296928327645	0	0	1.70648464163823	0	0	0	11.2627986348123	0.341296928327645	0.341296928327645	0	0	0	6.48464163822526	2.38907849829352	0	1.02389078498294	0	0.68259385665529	0	4.09556313993174	0	0	0	0	0	0	2.73037542662116	0
15829	24358	"Litochoro"	40.13889	22.54611	255	"AWI"	255	916	1569	1201	0	0	68.3116883116883	0.519480519480519	0	0	0.25974025974026	0	1.2987012987013	0	0	0	0	0.519480519480519	0	0	0.519480519480519	0	0	0	0	0	0	1.55844155844156	0	5.19480519480519	0	0	0	1.03896103896104	1.2987012987013	0	0	0.25974025974026	0	0	0.25974025974026	0	0	0	0.25974025974026	0	0	7.27272727272727	0	0.519480519480519	0	0	0	4.15584415584416	1.81818181818182	0	0.25974025974026	0	0.25974025974026	0	2.5974025974026	0	0	0.25974025974026	0.519480519480519	0	0	1.03896103896104	0
15829	24358	"Litochoro"	40.13889	22.54611	268	"AWI"	268	965	1714	1289	0.50761421319797	0	70.3045685279188	0.50761421319797	0	0	0	0	0.50761421319797	0	0	0	0	1.01522842639594	0	0	0	0	0	0	0	0	0	1.52284263959391	0	3.2994923857868	0	0	0	0.253807106598985	0	0	0	0.253807106598985	0	0	0.253807106598985	0	0	3.2994923857868	0	0	0	8.12182741116751	0	0.761421319796954	0	0	0	0	2.28426395939086	0	0	0	0	0.50761421319797	4.56852791878173	0	0	0	0.761421319796954	0.253807106598985	0	1.01522842639594	0
15829	24358	"Litochoro"	40.13889	22.54611	280	"AWI"	280	1041	1810	1377	0.657894736842105	0	53.0701754385965	1.31578947368421	0	0	0	0	0.657894736842105	0	0	0	0	0.657894736842105	0	0	0	0	0	0	0	0	0	3.50877192982456	0.219298245614035	4.16666666666667	0	0	0	2.19298245614035	1.97368421052632	0	0	0.219298245614035	0.43859649122807	0	0.219298245614035	0	0	0	0	0	0	9.86842105263158	0	0.43859649122807	0	5.92105263157895	0	8.33333333333333	1.53508771929825	0.219298245614035	0.219298245614035	0	0.219298245614035	0	1.97368421052632	0	0	0	0.43859649122807	0	0	1.53508771929825	0
15829	24358	"Litochoro"	40.13889	22.54611	295	"AWI"	295	1110	1949	1483	0	0	52.49343832021	1.5748031496063	0	0	1.0498687664042	0	1.31233595800525	0	0	0	0	1.5748031496063	0	0	0.5249343832021	0	0	0	0	0	0	5.51181102362205	0	3.6745406824147	0	0	0	1.5748031496063	1.0498687664042	0	0	0	0.26246719160105	0	0.78740157480315	0	0	0	0	0.26246719160105	0	9.18635170603675	0	0.78740157480315	0	0	0	9.44881889763779	2.88713910761155	0.26246719160105	1.31233595800525	0	0.26246719160105	0	1.5748031496063	0	0	0	0.78740157480315	0	0	1.83727034120735	0
15829	24358	"Litochoro"	40.13889	22.54611	305	"AWI"	305	1169	2017	1555	0.37593984962406	0.37593984962406	62.781954887218	0	0.37593984962406	0	0.37593984962406	0	1.12781954887218	0	0	0	0	0.75187969924812	0	0	0	0	0	0	0	0	0	3.00751879699248	0	5.6390977443609	0	0	0	1.8796992481203	0	0	0	0	0.75187969924812	0	0.37593984962406	0	0	4.51127819548872	0	0.37593984962406	0	7.89473684210526	0	1.12781954887218	0	0	0	0	4.13533834586466	0	0.37593984962406	0	0.75187969924812	0	1.50375939849624	0	0	0	0.75187969924812	0	0	0.75187969924812	0
15829	24358	"Litochoro"	40.13889	22.54611	317	"AWI"	317	1233	2122	1638	0.578034682080925	0	35.8381502890173	0.578034682080925	0	0	0	0	5.20231213872832	0	0	0	0	1.15606936416185	0	0	0	0	0	0	0	0	0	3.46820809248555	0	5.78034682080925	0	0	0	0.578034682080925	4.04624277456647	0	0	0.578034682080925	0.578034682080925	0	0.578034682080925	0	0	3.46820809248555	0	0	0	14.4508670520231	0	1.15606936416185	0	8.67052023121387	0	0	2.89017341040462	0.578034682080925	0	0	0	0	2.3121387283237	0	0	0	2.3121387283237	0	0	5.20231213872832	0
15829	24358	"Litochoro"	40.13889	22.54611	330	"AWI"	330	1320	2214	1734	1.19760479041916	0	19.1616766467066	2.9940119760479	0	0	0	0	4.79041916167665	0	0	0	0	0.598802395209581	0	0	0	0	0	0	0	0	0	4.79041916167665	0	4.19161676646707	0	0	0	4.79041916167665	2.39520958083832	0	0	0.598802395209581	0	0	0	0	0	0	0	0	0	20.3592814371257	0	0.598802395209581	0	0	1.79640718562874	19.1616766467066	4.19161676646707	0	0	0	1.19760479041916	0	5.38922155688623	0	0.598802395209581	0	0	0	0	1.19760479041916	0
