"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	90	"AWI"	90	1314	2569	2054	0.446428571428571	3.57142857142857	0	0.446428571428571	0.446428571428571	0.446428571428571	0	0	2.23214285714286	0.446428571428571	0	0	0.446428571428571	0	0	3.125	41.9642857142857	0	0	0	1.33928571428571	0	0	0	0	0	0.446428571428571	0	0	0	0.446428571428571	0.446428571428571	0	0	0	0.892857142857143	4.46428571428571	0	23.2142857142857	0	0	0	10.7142857142857	0.446428571428571	2.23214285714286	0	0	0	0	0	0	0	0	0	0.892857142857143	0.892857142857143	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	100	"AWI"	100	1624	2693	2289	0	5.26315789473684	1.05263157894737	1.05263157894737	0.526315789473684	0.526315789473684	0	0	0.526315789473684	1.05263157894737	0	0	0	0	0	2.63157894736842	36.8421052631579	0	0	0	0.526315789473684	0	0	0	0	0	0	0	0	0	0	0.526315789473684	0	0.526315789473684	0	0.526315789473684	4.73684210526316	0	20	0	0	0	20.5263157894737	0	2.63157894736842	0	0	0	0	0.526315789473684	0	0	0	0	0	0	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	110	"AWI"	110	1986	2810	2529	0.434782608695652	6.08695652173913	1.73913043478261	1.30434782608696	0	0	0	0	2.17391304347826	0	0	0	0.869565217391304	0	0	1.73913043478261	32.6086956521739	0	0	0	1.73913043478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30434782608696	6.52173913043478	0	24.3478260869565	0	0	0	13.4782608695652	0	3.91304347826087	0	0	0	0	0.434782608695652	0	0	0	0	0.434782608695652	0.869565217391304	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	120	"AWI"	120	2382	2913	2734	0.366300366300366	2.56410256410256	13.9194139194139	0.732600732600733	0.366300366300366	0.366300366300366	0	0	1.0989010989011	0	0	0	0.366300366300366	0	0	4.76190476190476	27.4725274725275	0.732600732600733	0.366300366300366	0	1.46520146520147	0	0	0	0	0	0	0	0	0.366300366300366	0	0	0	0	0	0.732600732600733	1.0989010989011	0	17.2161172161172	0	0	0	23.8095238095238	0	0.366300366300366	0	0	0	0	0.366300366300366	0	0	0.732600732600733	0	0	0.732600732600733	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	130	"AWI"	130	2551	3050	2876	0.66006600660066	2.64026402640264	1.98019801980198	0.33003300330033	0.33003300330033	0.33003300330033	0	0	0.99009900990099	0	0	0	0	0	0	2.64026402640264	31.3531353135314	0	0	0	0.66006600660066	0	0	0	0	0	0	0	0	0.33003300330033	0	0	0	0	0.99009900990099	0	0.66006600660066	0	21.7821782178218	0	0	0	32.3432343234323	0	0.33003300330033	0	0	0	0	0	0	0	0	0	0.99009900990099	0.66006600660066	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	140	"AWI"	140	2661	3203	2977	0.4149377593361	4.9792531120332	3.3195020746888	2.0746887966805	0	0.829875518672199	0	0	2.0746887966805	0.4149377593361	0	0	0.4149377593361	0	0	4.9792531120332	7.05394190871369	0	0	0.4149377593361	1.6597510373444	0	0	0	0	0	0	0	0	0	0.4149377593361	0.4149377593361	0	0	0	1.6597510373444	1.6597510373444	0	36.0995850622407	0	0	0	29.8755186721992	0	0	0	0	0	0	0.4149377593361	0	0	0	0	0.4149377593361	0	0	0	0	0.4149377593361
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	150	"AWI"	150	2785	3334	3079	0.593471810089021	21.0682492581602	8.30860534124629	0.29673590504451	0	0	0	0	0.29673590504451	0.29673590504451	0	0	0	0	0	7.12166172106825	3.56083086053412	0	0	0	2.07715133531157	0	0	0	0	0	0	0	0	0	0	0	0	0.29673590504451	0	2.9673590504451	15.4302670623145	0	11.2759643916914	0	0	0	22.2551928783383	0	0.29673590504451	0	0	0	0	0.29673590504451	0	0	0	0	2.37388724035608	1.18694362017804	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	160	"AWI"	160	2897	3447	3182	0.647249190938511	20.7119741100324	6.79611650485437	0	0.647249190938511	0.647249190938511	0	0	3.88349514563107	0	0	0	0	0	0	12.2977346278317	2.9126213592233	0	0	0.647249190938511	4.20711974110032	0.323624595469256	0	0.323624595469256	0	0	0	0	0	0	0	0.323624595469256	0	0	0	4.85436893203883	1.29449838187702	0	0	0	0	0	34.6278317152104	0	0	0	0	0	0	0	0	0	0	0	4.20711974110032	0.647249190938511	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	170	"AWI"	170	3009	3554	3288	0	18.3844011142061	4.73537604456824	0.835654596100279	0.278551532033426	0.835654596100279	0	0	4.17827298050139	0.278551532033426	0	0	0.557103064066852	0	0	9.74930362116992	1.39275766016713	0	0	0	3.06406685236769	0.278551532033426	0	0.278551532033426	0	0	0	0	0	0.278551532033426	0	0.278551532033426	0	0	0	3.62116991643454	1.94986072423398	0	10.3064066852368	0	0	0	33.1476323119777	0	0.278551532033426	0	0	0	0	0.835654596100279	0	0	0.278551532033426	0	3.62116991643454	0.278551532033426	0	0	0	0.278551532033426
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	180	"AWI"	180	3108	3646	3392	0.529100529100529	8.46560846560847	2.64550264550265	1.05820105820106	0.529100529100529	0.529100529100529	0.529100529100529	0	1.58730158730159	0	0	0	0.529100529100529	0	0	8.46560846560847	13.7566137566138	0	0	0	1.58730158730159	0.529100529100529	0	0	0	0	0.529100529100529	0	0	1.05820105820106	0	1.05820105820106	0	0	0	1.58730158730159	2.64550264550265	0	0	0	0	0.529100529100529	48.6772486772487	0.529100529100529	1.05820105820106	0	0	0	0	0.529100529100529	0	0	0	0	0	1.05820105820106	0	0	0	0
