"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Indeterminable"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"
15715	24118	"Kugelstattmoos"	48.953182	12.857416	25	"AWI"	25	1778	2701	2270	30.3085299455535	0.181488203266788	7.25952813067151	0	0	0	0.181488203266788	0	2.17785843920145	0	0.181488203266788	0	0	4.71869328493648	0.181488203266788	0	0	33.0308529945554	0	0	9.25589836660617	0	0	0	0	0.725952813067151	9.61887477313975	1.27041742286751	0	0	0	0	0.544464609800363	0	0	0	0.181488203266788	0	0	0	0	0.181488203266788	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	26	"AWI"	26	1801	2886	2380	25.1327433628319	0	11.3274336283186	0	0	0	0.176991150442478	0	2.65486725663717	0	0	0	0	6.54867256637168	0.176991150442478	0	0	35.3982300884956	0	0	8.84955752212389	0	0	0	0	0.353982300884956	6.72566371681416	1.76991150442478	0	0	0	0	0.176991150442478	0.176991150442478	0	0	0.353982300884956	0	0	0	0	0.176991150442478	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	28	"AWI"	28	1915	3017	2496	30.8908045977011	0	5.31609195402299	0	0	0	0.28735632183908	0	5.74712643678161	0	0	0	0	4.45402298850575	0	0	0	33.764367816092	0	0	11.2068965517241	0	0	0	0	0.574712643678161	7.04022988505747	0.574712643678161	0	0	0	0	0	0.14367816091954	0	0	0	0	0	0	0	0	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	30	"AWI"	30	1988	3134	2607	35.5223880597015	0.149253731343284	6.11940298507463	0	0	0	0	0	4.62686567164179	0	0	0	0	3.88059701492537	0.149253731343284	0	0	33.134328358209	0.149253731343284	0	6.41791044776119	0	0	0	0	0.746268656716418	7.91044776119403	0.447761194029851	0	0	0	0	0	0	0	0	0.298507462686567	0	0	0	0	0.447761194029851	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	32	"AWI"	32	2040	3241	2726	39.5953757225434	0	10.1156069364162	0	0.144508670520231	0	0	0	3.32369942196532	0	0	0	0	2.16763005780347	0.289017341040462	0	0	39.0173410404624	0	0	0	0	0	0	0	0.144508670520231	4.04624277456647	0.578034682080925	0	0	0	0	0.144508670520231	0	0	0	0.289017341040462	0	0	0	0	0.144508670520231	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	34	"AWI"	34	2085	3379	2844	22.6495726495727	0.142450142450142	4.27350427350427	0	0	0	0.142450142450142	0	1.85185185185185	0	0	0	0	3.7037037037037	0	0	0	54.2735042735043	0.142450142450142	0	3.84615384615385	0	0	0	0	0.142450142450142	7.12250712250712	0.284900284900285	0	0	0	0	0.284900284900285	0.142450142450142	0	0.142450142450142	0.427350427350427	0	0	0	0	0.427350427350427	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	36	"AWI"	36	2127	3531	2956	21.2765957446809	0	6.09929078014184	0	0	0	0.283687943262411	0	1.56028368794326	0	0.283687943262411	0	0	5.81560283687943	0	0	0	49.645390070922	0	0	6.09929078014184	0	0	0	0	0.425531914893617	6.95035460992908	1.13475177304965	0	0	0	0	0	0	0	0	0.141843971631206	0	0	0	0	0.283687943262411	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	38	"AWI"	38	2166	3703	3063	16.5634674922601	0	7.73993808049536	0.154798761609907	0.309597523219814	0	0.464396284829721	0	2.63157894736842	0	0.154798761609907	0	0	5.10835913312694	0	0	0	54.1795665634675	0	0	6.19195046439629	0	0.154798761609907	0	0	0.773993808049536	4.17956656346749	0.309597523219814	0	0	0	0	0.309597523219814	0	0	0	0.309597523219814	0	0	0	0	0.464396284829721	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	40	"AWI"	40	2254	3847	3161	6.70103092783505	0	7.21649484536082	0	0.257731958762887	0	0.257731958762887	0	6.95876288659794	0	0.257731958762887	0	0	7.7319587628866	0	0	0	65.979381443299	0	0	0	0	0	0	0	0.257731958762887	2.31958762886598	1.03092783505155	0	0	0	0	0.515463917525773	0	0	0	0.257731958762887	0	0	0	0	0.257731958762887	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	44	"AWI"	44	2735	3900	3383	11.7647058823529	0.286944045911047	6.45624103299857	0	0	0	0.286944045911047	0	2.29555236728838	0	0	0	0	4.44763271162123	0	0	0	63.7015781922525	0	0	3.15638450502152	0	0	0	0	0.286944045911047	5.30846484935438	0.430416068866571	0	0	0	0	0.430416068866571	0.143472022955524	0	0	0	0.143472022955524	0	0	0	0.860832137733142	0
