"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Indeterminable"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
14621	22926	"Seelohe"	50.022954	11.85535	100	"AWI"	100	870	1978	1391	114	1	68	0	1	0	0	0	39	0	0	0	0	0	35	5	0	0	117	2	0	1	0	0	22	76	90	0	0	0	2	26	0	0	0	0	2	0	0	0	0	3	3
14621	22926	"Seelohe"	50.022954	11.85535	110	"AWI"	110	1008	2116	1538	116	0	53	0	0	0	0	0	74	1	0	0	0	0	42	1	0	0	138	1	0	2	0	0	23	64	75	0	0	0	0	47	0	0	0	0	0	2	0	0	0	2	1
14621	22926	"Seelohe"	50.022954	11.85535	120	"AWI"	120	1143	2268	1686	103	0	52	1	0	0	1	0	81	0	0	0	0	0	20	4	0	0	87	3	0	1	0	0	8	61	105	0	0	0	1	35	0	0	0	0	0	0	0	0	0	0	0
14621	22926	"Seelohe"	50.022954	11.85535	130	"AWI"	130	1272	2419	1832	100	1	45	0	1	0	0	0	61	1	0	0	0	0	25	8	0	0	154	1	0	1	0	0	19	77	63	0	0	0	1	49	0	0	0	0	0	2	0	0	0	1	1
14621	22926	"Seelohe"	50.022954	11.85535	140	"AWI"	140	1409	2570	1977	107	2	53	1	4	0	5	0	42	0	0	0	0	0	22	7	0	0	121	0	0	3	0	0	14	80	72	0	0	0	3	43	0	0	0	0	2	2	0	0	0	4	1
14621	22926	"Seelohe"	50.022954	11.85535	150	"AWI"	150	1541	2709	2123	113	0	51	0	0	0	2	0	62	0	0	0	0	0	33	5	0	1	99	1	0	0	0	0	15	98	99	0	0	0	1	24	0	0	0	0	1	2	0	0	3	3	1
14621	22926	"Seelohe"	50.022954	11.85535	160	"AWI"	160	1679	2841	2264	88	0	56	0	1	0	1	0	109	0	0	0	0	0	34	5	0	0	69	2	1	0	0	0	3	50	117	0	0	0	0	30	0	0	0	0	0	1	0	0	0	3	1
14621	22926	"Seelohe"	50.022954	11.85535	170	"AWI"	170	1825	2985	2411	150	0	83	0	1	0	3	0	56	0	0	1	0	0	30	7	0	0	77	4	0	2	0	1	8	68	64	0	0	0	2	41	0	0	0	0	4	1	0	0	2	0	1
14621	22926	"Seelohe"	50.022954	11.85535	180	"AWI"	180	1971	3125	2558	110	1	40	1	2	0	4	0	71	1	0	0	0	0	45	6	0	0	67	3	0	2	0	0	6	71	100	0	0	0	2	50	0	0	0	0	4	0	0	0	0	1	1
14621	22926	"Seelohe"	50.022954	11.85535	190	"AWI"	190	2122	3266	2706	117	1	53	0	1	0	10	0	75	0	1	0	0	0	30	8	0	0	80	2	0	2	0	1	9	106	71	0	0	0	0	28	0	0	0	1	1	1	0	0	2	4	1
14621	22926	"Seelohe"	50.022954	11.85535	200	"AWI"	200	2257	3398	2848	116	0	34	2	0	0	8	0	50	0	0	1	0	0	28	5	0	0	125	2	0	0	0	0	14	88	59	8	0	0	0	53	0	0	0	2	10	0	1	0	0	5	1
14621	22926	"Seelohe"	50.022954	11.85535	210	"AWI"	210	2436	3518	2997	120	2	42	0	0	0	2	0	51	0	0	0	0	0	28	6	0	0	125	0	0	1	0	0	5	78	88	2	0	0	0	31	0	0	0	0	1	0	0	0	0	4	0
14621	22926	"Seelohe"	50.022954	11.85535	220	"AWI"	220	2595	3642	3138	116	1	67	2	0	0	6	0	90	0	0	1	0	0	31	8	0	0	82	2	0	0	0	0	3	78	92	0	0	0	0	33	0	0	0	0	1	1	0	0	2	3	0
14621	22926	"Seelohe"	50.022954	11.85535	230	"AWI"	230	2744	3759	3285	165	0	18	1	0	0	0	0	29	0	0	0	0	0	25	7	0	0	77	0	0	1	0	0	18	129	67	0	0	0	1	26	0	0	0	0	0	1	0	0	5	3	0
14621	22926	"Seelohe"	50.022954	11.85535	240	"AWI"	240	2893	3887	3430	58	2	61	0	0	0	1	0	98	0	0	0	0	0	39	6	0	0	124	7	0	1	0	0	16	70	100	0	0	0	0	46	0	0	0	0	0	2	0	0	0	4	0
14621	22926	"Seelohe"	50.022954	11.85535	250	"AWI"	250	3060	4014	3576	58	5	42	0	1	0	3	0	45	0	0	0	0	0	23	23	0	0	140	3	0	0	0	0	15	97	61	0	0	0	0	38	0	0	0	0	2	0	0	0	3	5	0
14621	22926	"Seelohe"	50.022954	11.85535	260	"AWI"	260	3235	4118	3721	58	1	57	0	1	0	4	0	62	0	0	0	0	0	61	8	0	0	150	4	0	0	0	0	15	75	96	0	0	0	0	33	2	0	0	1	1	6	0	0	0	6	0
14621	22926	"Seelohe"	50.022954	11.85535	270	"AWI"	270	3419	4225	3863	53	1	67	0	0	0	7	0	51	0	0	0	0	0	59	21	0	0	120	2	0	4	0	2	9	140	46	0	0	0	0	36	0	0	0	0	0	0	0	0	0	3	1
14621	22926	"Seelohe"	50.022954	11.85535	280	"AWI"	280	3604	4327	4005	41	0	81	1	1	0	6	0	38	0	0	0	0	0	95	10	0	0	102	6	0	1	0	2	10	140	52	0	0	0	0	50	0	0	0	0	0	3	0	0	0	9	0
14621	22926	"Seelohe"	50.022954	11.85535	290	"AWI"	290	3805	4439	4146	56	0	57	0	0	0	1	0	31	0	0	0	0	0	92	5	0	1	132	5	0	2	0	1	5	150	46	0	0	0	1	44	0	0	0	0	0	2	0	1	4	14	1
14621	22926	"Seelohe"	50.022954	11.85535	300	"AWI"	300	4008	4552	4288	68	1	63	2	0	0	1	0	10	0	0	0	0	0	153	5	0	0	121	5	0	3	1	0	1	180	37	0	0	0	0	34	0	0	0	0	0	4	0	0	8	2	1
14621	22926	"Seelohe"	50.022954	11.85535	310	"AWI"	310	4136	4772	4435	59	1	43	1	0	0	4	0	8	0	0	0	1	0	106	5	0	0	130	7	0	4	0	0	1	200	55	0	0	0	1	35	0	0	0	1	0	0	0	0	8	7	0
14621	22926	"Seelohe"	50.022954	11.85535	320	"AWI"	320	4256	4977	4584	28	2	60	0	0	0	1	0	41	0	0	0	0	0	114	3	0	0	78	9	0	2	0	2	1	204	55	0	0	0	1	39	0	0	0	0	0	2	0	0	8	5	1
14621	22926	"Seelohe"	50.022954	11.85535	330	"AWI"	330	4381	5138	4737	15	0	71	0	0	0	2	0	38	0	0	0	0	0	112	9	121	0	71	9	0	1	0	1	0	200	34	0	0	0	0	46	0	0	0	0	0	1	0	0	4	10	0
14621	22926	"Seelohe"	50.022954	11.85535	340	"AWI"	340	4503	5309	4893	13	3	64	0	0	0	0	0	46	0	0	0	1	0	198	4	0	0	80	2	0	1	0	0	0	200	67	0	0	0	0	51	0	0	0	0	0	4	0	0	7	1	0
14621	22926	"Seelohe"	50.022954	11.85535	350	"AWI"	350	4624	5483	5042	8	0	64	0	1	1	0	0	39	0	0	0	0	0	135	11	0	0	33	18	0	1	0	0	0	275	42	0	0	0	0	38	0	0	0	0	0	1	0	0	9	22	1
14621	22926	"Seelohe"	50.022954	11.85535	360	"AWI"	360	4774	5632	5193	9	2	14	0	0	0	0	0	17	0	0	0	0	0	63	12	0	0	41	9	0	0	0	0	0	376	15	0	0	0	0	26	0	0	0	0	0	0	0	0	13	10	0
14621	22926	"Seelohe"	50.022954	11.85535	370	"AWI"	370	4921	5768	5347	8	2	69	1	0	0	1	0	27	0	0	0	0	0	220	14	41	0	102	34	0	0	0	0	0	129	30	0	0	0	1	95	0	0	0	0	1	0	0	0	21	32	0
14621	22926	"Seelohe"	50.022954	11.85535	380	"AWI"	380	5072	5902	5501	3	2	90	0	0	0	1	0	15	0	0	0	0	0	324	3	0	0	56	21	0	2	0	0	0	220	29	0	0	0	0	45	0	0	0	0	0	2	0	0	12	39	0
14621	22926	"Seelohe"	50.022954	11.85535	390	"AWI"	390	5224	6038	5654	3	1	26	1	1	0	2	0	11	0	0	0	0	0	140	7	0	0	27	13	0	0	0	0	0	340	22	0	0	0	1	48	0	0	0	0	0	0	0	0	12	11	0
14621	22926	"Seelohe"	50.022954	11.85535	400	"AWI"	400	5383	6172	5807	2	3	33	0	0	0	0	0	24	0	0	0	0	0	161	16	0	0	27	14	0	1	0	0	0	350	16	0	0	0	1	43	0	0	0	0	1	0	0	0	19	11	0
14621	22926	"Seelohe"	50.022954	11.85535	410	"AWI"	410	5564	6290	5961	4	3	73	0	0	0	0	0	28	0	0	0	0	0	195	11	0	0	14	18	0	0	0	1	0	285	23	0	0	0	0	65	0	0	0	0	0	0	0	0	18	10	0
14621	22926	"Seelohe"	50.022954	11.85535	420	"AWI"	420	5770	6410	6110	2	4	62	1	3	0	0	0	39	0	0	0	1	0	230	16	0	0	13	9	0	2	0	0	0	270	28	0	0	0	0	68	0	0	0	0	1	0	0	0	15	15	2
14621	22926	"Seelohe"	50.022954	11.85535	430	"AWI"	430	5987	6535	6253	0	1	54	0	1	2	1	0	39	0	0	0	0	0	237	39	0	0	8	23	0	0	0	12	0	200	53	0	0	0	0	87	0	0	0	0	0	0	0	0	31	53	0
14621	22926	"Seelohe"	50.022954	11.85535	440	"AWI"	440	6150	6727	6422	3	1	50	0	0	1	2	0	61	0	0	0	0	0	153	53	0	0	3	14	0	3	0	2	0	239	59	0	0	0	0	54	0	0	0	0	0	2	0	0	22	41	0
14621	22926	"Seelohe"	50.022954	11.85535	450	"AWI"	450	6296	7018	6614	1	0	64	0	0	0	2	0	77	0	0	0	0	0	200	88	0	0	5	17	0	6	0	54	0	154	94	0	0	0	1	55	0	0	0	0	0	2	0	0	33	55	0
14621	22926	"Seelohe"	50.022954	11.85535	460	"AWI"	460	6448	7222	6812	1	0	39	0	1	0	2	0	94	0	0	0	0	0	178	10	0	0	6	20	0	2	0	21	1	187	100	0	0	0	1	56	0	0	0	0	0	0	2	0	25	41	0
14621	22926	"Seelohe"	50.022954	11.85535	470	"AWI"	470	6613	7400	7011	1	1	47	0	0	1	0	0	100	1	0	0	0	0	184	18	0	0	5	7	0	5	0	12	0	223	62	0	0	0	0	48	0	0	0	0	0	0	0	0	33	47	0
14621	22926	"Seelohe"	50.022954	11.85535	480	"AWI"	480	6783	7584	7221	0	0	57	0	1	0	4	0	89	0	0	0	0	0	219	30	0	0	3	16	0	2	0	24	0	150	100	0	0	0	0	38	0	0	0	0	0	4	0	0	25	53	1
14621	22926	"Seelohe"	50.022954	11.85535	490	"AWI"	490	6912	7848	7396	0	1	52	0	1	0	0	0	55	0	0	0	0	0	150	36	0	0	0	12	0	0	0	13	0	225	80	0	0	0	1	35	0	6	0	0	0	1	0	0	28	36	0
14621	22926	"Seelohe"	50.022954	11.85535	500	"AWI"	500	7037	8116	7554	1	0	46	1	1	1	0	0	81	0	0	0	1	0	427	33	0	0	0	18	0	5	0	2	0	180	57	0	0	0	1	58	0	3	0	0	0	1	0	0	29	33	0
