"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14533	22773	"Gamperfin"	47.17139	9.38111	89	"AWI"	89	1873	2668	2155	13.2100396301189	0.132100396301189	13.8705416116248	0	0.396301188903567	0	0.528401585204756	0	3.30250990752972	0	0	0	0	0	7.00132100396301	6.20871862615588	0	0	0	0	0	13.8705416116248	0.528401585204756	0	0	0	0	0	0.264200792602378	15.3236459709379	19.4187582562748	0	0	3.5667107001321	0.660501981505945	0	0	0	0.528401585204756	0	0	0.132100396301189	0.396301188903567	0.396301188903567	0.264200792602378	0
14533	22773	"Gamperfin"	47.17139	9.38111	94	"AWI"	94	2010	2851	2366	11.7136659436009	0	16.2689804772234	0	0.433839479392625	0	0.433839479392625	0	2.16919739696312	0	0	0	0	0	4.77223427331887	8.67678958785249	0	0	0	0	0	16.7028199566161	0.867678958785249	0	0	0	0	0	0.867678958785249	13.4490238611714	17.1366594360087	0	0	1.30151843817787	4.55531453362256	0	0	0	0.433839479392625	0	0	0	0	0	0.216919739696312	0
14533	22773	"Gamperfin"	47.17139	9.38111	99	"AWI"	99	2086	3279	2580	10.9461966604824	0.185528756957328	17.9962894248609	0	5.56586270871985	0	0	0	4.08163265306122	0	0	0.185528756957328	0	0	3.71057513914657	19.2949907235622	0	0	0	0	0	10.9461966604824	0.742115027829314	0	0	0	0	0	0	14.8423005565863	7.97773654916512	0	0	1.2987012987013	1.11317254174397	0	0	0.185528756957328	0.185528756957328	0	0	0	0	0.185528756957328	0.556586270871985	0
14533	22773	"Gamperfin"	47.17139	9.38111	104	"AWI"	104	2284	3495	2826	10.2970297029703	0	17.029702970297	0.198019801980198	0	0	0	0	1.78217821782178	0	0	0	0	0	5.54455445544555	10.4950495049505	0	0	0	0	0	17.2277227722772	0.396039603960396	0	0	0	0	0	2.97029702970297	21.1881188118812	4.35643564356436	0	0	1.18811881188119	4.15841584158416	0	0.396039603960396	0	0	0	0	0.198019801980198	0.198019801980198	0.594059405940594	1.78217821782178	0
14533	22773	"Gamperfin"	47.17139	9.38111	109	"AWI"	109	2407	3744	3072	14.8496240601504	0	16.9172932330827	0	0.18796992481203	0	0.75187969924812	0	3.94736842105263	0	0	0	0	0	4.51127819548872	8.64661654135338	0	0	0	0	0	9.96240601503759	0.56390977443609	0	0	0	0	0	0	20.3007518796992	14.8496240601504	0	0	1.8796992481203	0.37593984962406	0	0	0.37593984962406	0.37593984962406	0	0	0	0.18796992481203	1.12781954887218	0.18796992481203	0
14533	22773	"Gamperfin"	47.17139	9.38111	114	"AWI"	114	2665	3892	3310	11.7252931323283	0	17.9229480737018	0	0	0.16750418760469	0.50251256281407	0	2.51256281407035	0	0	0	0	0	3.51758793969849	3.3500837520938	0	0	0	0	0	25.6281407035176	0.50251256281407	0	0	0	0	0	0.50251256281407	20.9380234505863	4.02010050251256	0	0	0.16750418760469	5.69514237855946	0	0.16750418760469	0	0	0	0	0	0.33500837520938	2.34505862646566	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	119	"AWI"	119	2837	4054	3564	15.296803652968	0	21.689497716895	0	0.228310502283105	0	0.45662100456621	0	1.36986301369863	0	0	0	0	0	5.02283105022831	5.02283105022831	0	0	0	0	0	12.3287671232877	0.228310502283105	0	0	0	0	0	0	24.8858447488584	5.70776255707763	0	0	2.05479452054794	2.96803652968037	0	0	0.228310502283105	0	0	0	0	0.45662100456621	1.14155251141552	0.91324200913242	0
14533	22773	"Gamperfin"	47.17139	9.38111	124	"AWI"	124	3257	4164	3772	10.3614457831325	0	18.1927710843374	0.240963855421687	0.120481927710843	0	0.120481927710843	0	1.68674698795181	0	0	0	0	0	9.03614457831325	5.06024096385542	0	0	0	0	0	30.6024096385542	0.481927710843374	0	0	0	0	0	0.120481927710843	16.9879518072289	1.56626506024096	0	0	0.602409638554217	3.6144578313253	0	0.120481927710843	0	0.240963855421687	0	0	0	0.602409638554217	0.240963855421687	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	129	"AWI"	129	3586	4315	3984	19.84375	0.3125	12.8125	0	0.15625	0	0.15625	0	1.40625	0.15625	0	0.15625	0	0	4.6875	6.875	0	0	0.625	0	0	16.09375	0.9375	0	0	0	0	0	0.3125	25.78125	2.8125	0	0	2.34375	2.03125	0	0.15625	0	0	0	0	0	0.9375	1.09375	0.3125	0
14533	22773	"Gamperfin"	47.17139	9.38111	134	"AWI"	134	3723	4443	4121	15.8792650918635	0.393700787401575	13.7795275590551	0	0.26246719160105	0	0	0	2.6246719160105	0	0	0	0	0.131233595800525	2.75590551181102	3.01837270341207	0	0	0	0	0	14.6981627296588	0.78740157480315	0	0	0	0	0	0.393700787401575	36.4829396325459	2.49343832020997	0	0	1.5748031496063	3.28083989501312	0	0.131233595800525	0	0	0	0	0	0.78740157480315	0.5249343832021	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	139	"AWI"	139	3788	4645	4229	14.1666666666667	0	19.7916666666667	0	0.208333333333333	0	0.208333333333333	0	2.29166666666667	0	0	0	0	0	6.45833333333333	6.875	0	0	0	0	0	15.8333333333333	1.04166666666667	0	0	0	0	0	1.04166666666667	21.6666666666667	0.625	0	0	2.08333333333333	4.79166666666667	0	0	0	0	0.208333333333333	0.208333333333333	0	0.416666666666667	1.66666666666667	0.416666666666667	0
14533	22773	"Gamperfin"	47.17139	9.38111	154	"AWI"	154	4141	4996	4578	16.5467625899281	0.143884892086331	21.1510791366906	0	0.287769784172662	0	0.143884892086331	0	3.02158273381295	0	0	0	0	0	6.76258992805755	2.87769784172662	0	0	0	0	0	12.6618705035971	3.02158273381295	0	0	0	0	0	0	24.6043165467626	2.30215827338129	0	0	2.15827338129496	1.58273381294964	0	0	0	0.431654676258993	0	0	0	1.00719424460432	1.29496402877698	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	164	"AWI"	164	4361	5183	4795	12.9166666666667	0.555555555555556	16.3888888888889	0	0	0.138888888888889	0	0	5.13888888888889	0	0	0	0	0	5.27777777777778	3.05555555555556	0	0	0	0	0	15.9722222222222	1.66666666666667	0	0	0	0	0	0	30.1388888888889	3.05555555555556	0	0	1.80555555555556	0.833333333333333	0	0.138888888888889	0	0.416666666666667	0	0	0	1.11111111111111	1.38888888888889	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	174	"AWI"	174	4665	5359	5012	16.7091836734694	0.38265306122449	14.5408163265306	0	0	0	0	0	2.4234693877551	0	0	0	0	0	5.73979591836735	10.2040816326531	0	0	0	0.127551020408163	0	12.2448979591837	1.78571428571429	0	0	0	0	0	0	25.8928571428571	2.55102040816327	0	0	3.18877551020408	1.4030612244898	0	0	0	0.637755102040816	0	0	0	0.637755102040816	1.53061224489796	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	184	"AWI"	184	4935	5554	5232	18.6721991701245	0.20746887966805	13.0705394190871	0	0.20746887966805	0	0.20746887966805	0	1.03734439834025	0	0	0	0	0	3.11203319502075	13.9004149377593	0	0	0	0	0	3.11203319502075	1.2448132780083	0	0	0	0	0	0	32.9875518672199	4.35684647302905	0	0	1.86721991701245	1.45228215767635	0	0	0.20746887966805	0.4149377593361	0	0	0	0.20746887966805	3.11203319502075	0	0.622406639004149
