"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"
14520	22745	"Loch Einich"	57.08333	-3.8	160	"AWI"	160	7241	8535	7803	1.74129353233831	0	0	0	0	11.1940298507463	0	0	0	18.9054726368159	3.98009950248756	26.865671641791	0	0	0	0	0	0	34.8258706467662	0	0	0.995024875621891	0	0	0	0.248756218905473	0.248756218905473	0	0	0.995024875621891
14520	22745	"Loch Einich"	57.08333	-3.8	165	"AWI"	165	7343	8717	7946	1.06951871657754	0	0	0	0	16.0427807486631	0.267379679144385	0	0	9.89304812834225	1.60427807486631	32.8877005347594	0	0	0	0	0.267379679144385	0	31.5508021390374	0	1.33689839572193	1.06951871657754	0	0	0	0.267379679144385	0	0	0	3.74331550802139
14520	22745	"Loch Einich"	57.08333	-3.8	170	"AWI"	170	7460	8879	8086	0.760456273764259	0	0	0	0	30.7984790874525	0	0	0	20.532319391635	1.90114068441065	0	0	0	0	0	0	0	38.7832699619772	0	0.760456273764259	2.28136882129278	0	0	0	0.380228136882129	0	0	0	3.80228136882129
14520	22745	"Loch Einich"	57.08333	-3.8	180	"AWI"	180	7703	9228	8379	0.5	0	0	0	0	34	0	0	0	22.5	1	0	0	0	0	0	0.5	0	35.5	0	0	1.5	0	0	0	1	0	0	0	3.5
14520	22745	"Loch Einich"	57.08333	-3.8	190	"AWI"	190	7960	9557	8673	0.303030303030303	0	0	0	0	37.5757575757576	0	0	0	39.3939393939394	0.909090909090909	0	0	0	0	0	0	0	12.4242424242424	0	2.12121212121212	2.72727272727273	0	0	0	0.909090909090909	0	0	0	3.63636363636364
14520	22745	"Loch Einich"	57.08333	-3.8	200	"AWI"	200	8203	9885	8961	0.256410256410256	0	0	0	0	10.1282051282051	0	0	0	12.0512820512821	5.51282051282051	68.5897435897436	0	0	0	0	0	0	1.53846153846154	0.128205128205128	0.384615384615385	0.256410256410256	0	0	0	0.512820512820513	0	0	0	0.641025641025641
14520	22745	"Loch Einich"	57.08333	-3.8	210	"AWI"	210	8467	10223	9247	0.72992700729927	0	0	0	0	43.7956204379562	0	0.364963503649635	0	39.051094890511	4.01459854014599	0	0.364963503649635	0	0	0	0	0	7.66423357664234	0	0.72992700729927	1.09489051094891	0	0	0	0.72992700729927	0	0	0	1.45985401459854
14520	22745	"Loch Einich"	57.08333	-3.8	220	"AWI"	220	8710	10518	9531	0	0.328947368421053	0	0	0	41.7763157894737	0	0	0	39.1447368421053	8.55263157894737	0	0	0	0	0	0	0	3.61842105263158	0	1.97368421052632	1.31578947368421	0	0	0	0.657894736842105	0	0	0	2.63157894736842
14520	22745	"Loch Einich"	57.08333	-3.8	230	"AWI"	230	8964	10849	9810	0	0	0	0	0	33.5012594458438	0	0	0	17.632241813602	2.01511335012594	38.2871536523929	0	0	0	0	0.251889168765743	0	2.26700251889169	0	1.7632241813602	1.00755667506297	0	0	0.251889168765743	2.01511335012594	0	0	0	1.00755667506297
14520	22745	"Loch Einich"	57.08333	-3.8	240	"AWI"	240	9246	11138	10092	0	0	0	0	0	18.5692541856925	0.76103500761035	0	0.15220700152207	11.4155251141553	40.1826484018265	14.6118721461187	0	0	0.91324200913242	0	3.19634703196347	0	2.28310502283105	0	4.5662100456621	0.60882800608828	0	0	0.15220700152207	1.21765601217656	0	0	0	1.36986301369863
14520	22745	"Loch Einich"	57.08333	-3.8	245	"AWI"	245	9387	11280	10229	0	0	0	0	0	12.3050259965338	0	0	0	17.157712305026	49.2201039861352	8.31889081455806	0	0	1.73310225303293	0	0	0	2.4263431542461	0	5.19930675909879	0.693240901213172	0	0	0	1.03986135181976	0	0	0	1.90641247833622
