"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Myrica"	"Olea"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
14486	22685	"Foula"	60.133532	-2.085412	58.5	"AWI"	58.5	423	605.5	544	0	7	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	2	48	0	0	0	0	0	0	1	0	0	0	2	2	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	2
14486	22685	"Foula"	60.133532	-2.085412	60.5	"AWI"	60.5	435	616.5	555.5	0	5	1	0	0	1	0	0	9	1	1	0	0	0	0	0	0	4	10	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1
14486	22685	"Foula"	60.133532	-2.085412	62.5	"AWI"	62.5	448.5	624.5	568.5	0	7	0	0	1	1	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	2	1	0	4	0	0	0	0	0	0	0	31	0	0	0	0	1	0
14486	22685	"Foula"	60.133532	-2.085412	64.5	"AWI"	64.5	461	635.5	581	0	3	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	66.5	"AWI"	66.5	480.5	645	594.5	0	8	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	3	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0
14486	22685	"Foula"	60.133532	-2.085412	68.5	"AWI"	68.5	498	656	608	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	2	0	0	1
14486	22685	"Foula"	60.133532	-2.085412	70.5	"AWI"	70.5	511.5	671.5	620.5	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	34	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	72.5	"AWI"	72.5	528.5	691	633.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	74.5	"AWI"	74.5	541	718.5	646.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	76.5	"AWI"	76.5	562.5	735.5	661	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	78.5	"AWI"	78.5	580.5	755.5	675.5	0	2	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	2	25	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	80.5	"AWI"	80.5	599.5	777.5	690.5	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	2	7	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	82.5	"AWI"	82.5	635	794.5	706	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	84.5	"AWI"	84.5	659.5	818	722	0	6	0	0	0	0	0	0	24	0	0	0	0	1	0	0	0	4	43	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1
