"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Ailanthus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Ficus"	"Fraxinus"	"Genista"	"Geraniaceae"	"Heliotropium"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Myrtus"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
27014	47580	"Gorgo Lungo"	37.90101	13.40842	590	"AWI"	590	1530	2002	1652	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	1	0	0	0	0	0	0	0	394	12	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	600	"AWI"	600	1583	2064	1682	0	0	0	0	1	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	7	0	0	0	0	1	1	1	0	0	28	0	0	0	1	485	8	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	610	"AWI"	610	1611	2137	1713	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	1	2	0	0	0	0	0	0	0	452	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	620	"AWI"	620	1688	2290	1879	0	0	0	1	1	0	0	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	12	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	5	305	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	630	"AWI"	630	1725	2612	2051	0	0	0	0	5	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	3	0	0	0	177	0	0	0	8	469	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	650	"AWI"	650	1902	3024	2402	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	0	0	0	1	2	3	0	0	150	0	0	0	1	368	6	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	660	"AWI"	660	1958	3224	2569	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	98	0	0	0	0	263	5	0	0	0	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	670	"AWI"	670	2187	3322	2755	0	0	0	0	3	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	56	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	194	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	685	"AWI"	685	2341	3545	3039	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	60	0	0	0	0	130	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	694	"AWI"	694	2623	3586	3179	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	118	5	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	734	"AWI"	734	3584	3940	3743	0	3	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	4	0	0	0	0	0	1	0	0	0	66	0	0	0	0	120	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
