"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26053	45190	"Xan de Llamas"	42.30417	-6.32139	88	"AWI"	88	974	2055	1458	0	7	1	41	0	2	1	0	53	3	0	0	0	0	0	0	12	1	1	1	91	0	0	0	0	0	0	0	0	0	6	0	1	0	10	0	0	1	0	0	0	17	2	14	0	0	14	2	1	4	0	0	0	2	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	92	"AWI"	92	1155	2280	1674	0	5	0	19	1	2	0	0	22	4	0	1	0	0	0	0	13	1	0	4	0	0	1	0	0	0	0	0	0	0	5	0	1	0	17	0	0	0	0	0	0	19	4	11	0	3	6	0	0	4	0	0	0	0	1	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	96	"AWI"	96	1358	2376	1901	0	6	0	25	0	1	0	0	27	1	0	0	0	0	0	0	0	4	0	4	140	0	0	0	0	1	0	0	0	0	13	0	1	0	26	0	0	1	0	0	0	16	1	14	0	6	3	0	0	4	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	100	"AWI"	100	1466	2563	2112	0	3	0	14	0	3	0	0	20	4	0	1	0	0	0	0	0	3	0	2	192	0	0	0	0	0	0	0	0	0	7	0	0	0	14	0	0	0	0	0	0	23	5	8	0	2	1	3	0	0	0	0	0	1	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	104	"AWI"	104	2076	2635	2381	0	5	0	43	0	2	0	0	22	2	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	7	0	1	0	31	0	0	2	0	0	0	17	6	43	0	1	0	2	0	1	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	108	"AWI"	108	2446	2882	2668	0	1	0	40	0	2	0	0	46	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	25	0	0	2	0	0	0	15	2	23	0	3	5	5	1	1	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	110	"AWI"	110	2496	3170	2795	1	1	1	35	0	1	0	0	29	3	0	1	0	0	0	0	0	2	1	9	0	0	0	0	1	1	0	0	0	0	11	0	2	1	40	0	0	1	0	0	2	11	2	19	0	1	5	1	0	5	1	0	0	1	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	112	"AWI"	112	2720	3241	2950	0	1	0	17	0	0	0	0	51	0	0	0	0	0	0	0	0	4	0	14	0	0	0	0	1	0	0	0	0	0	3	0	0	0	52	0	0	0	0	1	0	23	3	4	0	2	2	1	0	3	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	114	"AWI"	114	2931	3323	3104	0	1	0	7	0	1	0	0	76	1	0	2	0	0	0	0	7	4	0	44	0	0	0	0	0	0	0	0	0	1	2	0	0	1	101	0	0	0	0	0	0	26	6	8	0	0	6	0	0	3	0	0	1	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	116	"AWI"	116	3124	3425	3257	0	5	0	6	0	4	0	0	92	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	398	0	0	0	0	0	0	20	4	4	0	0	4	2	0	1	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	118	"AWI"	118	3296	3561	3412	0	1	0	9	0	3	0	0	126	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	310	0	0	0	0	0	0	31	4	1	0	2	1	4	1	1	0	1	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	122	"AWI"	122	3536	3852	3687	0	0	0	1	0	0	0	0	231	1	0	0	1	0	0	0	0	2	0	9	123	0	0	0	2	0	0	0	0	0	0	0	0	1	332	0	0	0	0	0	0	34	5	0	0	1	2	3	0	2	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	124	"AWI"	124	3602	4004	3815	0	2	0	1	0	2	0	0	203	2	0	0	0	0	0	0	4	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	174	0	0	0	0	0	0	20	3	0	0	2	2	3	0	2	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	128	"AWI"	128	3683	4365	4066	0	3	0	4	0	2	0	0	172	4	0	1	0	0	0	0	8	3	0	3	0	3	0	1	0	0	0	0	0	0	1	0	0	0	132	0	0	0	0	0	0	33	10	0	0	1	2	3	0	0	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	132	"AWI"	132	3952	4606	4294	0	2	1	3	0	0	0	0	119	6	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	9	1	0	0	81	0	0	0	0	0	1	34	1	1	0	2	0	6	0	3	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	134	"AWI"	134	4094	4676	4409	0	13	2	5	0	2	0	0	157	1	0	0	0	0	0	0	7	8	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	135	0	0	0	0	0	0	17	1	0	0	1	0	3	0	0	0	0	0	0	0	0
