"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	27.5	"AWI"	27.5	470.5	1388	1047	76	1	24	0	0	3	0	95	0	0	0	2	0	0	35	5	61	0	0	65	0	3	0	0	0	0	0	0	5	29	144	0	0	0	16	0	0	0	0	0	3	0	0	0	0	5	2	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	30	"AWI"	30	531	1480	1161	28	0	61	5	0	6	0	205	0	7	0	0	4	0	40	11	95	0	0	131	0	3	3	0	0	0	0	0	41	0	64	0	0	0	57	0	0	0	0	1	0	0	0	1	0	15	3	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	32.5	"AWI"	32.5	887	1520.5	1279.5	164	0	19	0	0	2	0	75	0	0	0	0	0	0	24	5	41	0	0	50	0	1	0	0	0	0	0	0	6	32	125	0	0	0	14	0	0	0	0	0	1	0	0	0	0	10	5	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	35	"AWI"	35	1156	1589	1401	38	1	34	2	0	5	0	170	0	0	0	0	1	0	35	23	27	0	0	81	0	2	2	0	0	0	0	2	14	19	126	0	0	0	44	0	0	0	0	0	0	0	0	0	0	4	7	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	37.5	"AWI"	37.5	1276.5	1770	1536.5	50	0	44	1	0	1	0	68	0	0	0	1	0	0	44	1	47	0	0	44	0	2	0	0	0	0	0	0	9	29	182	0	0	0	25	0	0	0	0	0	1	0	0	0	0	3	4	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	40	"AWI"	40	1343	2097	1647	15	1	57	2	0	4	0	284	0	4	3	0	1	0	38	7	71	0	0	182	0	2	0	0	0	0	0	1	25	1	34	0	0	0	73	0	0	0	0	0	1	0	0	0	0	17	7	2	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	42.5	"AWI"	42.5	1692	2913	2255	13	0	40	0	0	0	0	68	0	0	0	0	0	0	35	3	36	0	0	102	0	0	0	0	0	0	0	0	2	77	140	0	0	0	29	0	0	0	0	0	1	0	0	0	0	11	10	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	45	"AWI"	45	1806	4045	2835	0	0	3	2	0	1	0	11	0	0	0	0	0	0	3	1	0	0	0	26	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	1	9	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	47.5	"AWI"	47.5	1905.5	5226.5	3399	18	0	30	0	0	1	0	34	0	0	0	0	0	0	47	1	31	0	0	96	0	1	0	0	0	0	0	0	1	110	133	0	0	0	23	0	0	0	0	0	1	0	0	0	0	14	4	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	50	"AWI"	50	1987	6414	3973	18	0	86	1	0	6	0	347	0	4	0	0	1	0	71	13	0	0	0	214	0	7	0	0	0	0	0	0	4	6	4	0	0	0	131	0	0	0	0	0	6	0	0	0	0	58	50	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	52.5	"AWI"	52.5	3293.5	6541.5	4747	11	1	41	1	0	2	0	125	0	1	0	1	0	0	57	3	0	0	0	74	0	3	0	0	0	0	0	0	0	58	98	0	0	0	24	0	0	0	0	0	0	0	0	0	0	4	11	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	55	"AWI"	55	4592	6653	5514	2	1	3	2	0	0	0	276	0	0	0	0	0	0	87	8	0	0	0	3	0	0	0	0	0	0	0	0	2	0	2	0	0	0	147	0	0	0	0	0	0	0	0	0	0	10	4	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	57.5	"AWI"	57.5	5799	6786	6306	0	0	18	0	0	0	0	314	0	0	0	0	0	0	52	9	0	0	0	5	0	3	0	0	0	0	0	0	0	35	35	0	0	0	15	0	0	0	0	0	0	0	0	0	0	23	20	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	60	"AWI"	60	6622	7395	7066	2	2	49	0	0	0	0	225	0	0	0	0	0	0	164	6	0	0	0	0	0	9	0	0	0	0	0	0	1	107	50	0	0	0	54	0	0	0	0	0	1	0	0	0	0	56	41	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	62.5	"AWI"	62.5	7028.5	8752	7529	16	0	32	0	0	6	0	77	0	0	0	0	0	0	99	5	0	2	0	11	0	5	0	0	0	0	0	0	0	84	97	0	0	0	27	0	0	0	0	0	1	0	1	0	0	31	41	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	65	"AWI"	65	7135	10416	7970	15	1	24	2	0	0	0	263	0	2	0	0	0	0	27	22	0	0	0	65	0	9	0	0	0	0	0	0	2	108	125	0	0	0	59	0	0	1	0	0	4	0	0	0	0	38	40	1	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	67.5	"AWI"	67.5	7198	12116.5	8413.5	1	0	29	0	0	0	0	106	0	1	0	0	0	0	109	18	0	2	0	1	0	4	0	0	0	0	0	0	0	35	130	0	0	0	22	0	0	0	0	0	0	0	0	0	0	37	31	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	70	"AWI"	70	7254	13871	8864	25	0	15	0	0	0	0	178	0	1	0	0	0	0	180	15	0	0	0	2	0	8	0	0	0	0	0	0	0	46	29	0	0	0	51	0	0	2	0	0	1	0	0	0	0	50	53	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	75	"AWI"	75	7840	15401	10063	2	0	13	1	0	1	0	87	0	0	0	0	0	0	53	13	0	0	0	4	0	4	0	0	0	1	0	0	0	18	23	0	0	0	58	0	0	0	0	0	1	0	0	0	0	31	18	0	0
