"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Morus"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Ulmus"	"Urticaceae"
15846	24386	"Asi Gonia"	35.248806	24.277954	140	"AWI"	140	243	551	390	0	0	0	2	13	0	6	1	13	0	0	1	0	0	0	9	0	0	293	0	89	0	5	0	1	0	2	1	0	0	2	0	1	3	0	3	15	42	0	9	23	0	0	4	0	2	0	0	1	0	2	0
15846	24386	"Asi Gonia"	35.248806	24.277954	145	"AWI"	145	260	564	405	0	0	4	3	4	0	6	0	7	1	0	6	0	4	0	13	0	0	221	0	157	2	6	0	0	1	2	2	0	0	6	0	1	6	2	4	15	54	0	3	29	1	0	3	0	3	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	150	"AWI"	150	270	581	421	0	0	0	3	4	0	2	0	22	0	0	3	0	0	0	9	0	0	155	0	126	0	11	0	0	0	1	0	0	1	7	0	4	4	4	7	7	0	0	10	31	6	0	8	0	7	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	155	"AWI"	155	289	595	437	0	0	6	6	1	0	9	0	32	0	0	2	0	2	0	13	0	1	223	0	120	0	18	0	1	0	0	2	0	0	5	0	1	7	4	1	16	0	1	12	39	0	0	11	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	160	"AWI"	160	300	613	453	0	0	2	0	10	0	12	0	28	0	0	8	0	4	0	19	0	0	156	0	141	1	8	0	0	0	0	0	0	0	4	0	0	3	0	5	23	0	1	12	45	1	0	0	0	4	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	165	"AWI"	165	317	627	468	0	0	3	0	2	0	10	0	13	0	0	4	0	0	1	18	0	0	239	0	101	0	11	0	0	0	0	3	0	0	5	0	0	11	1	0	8	0	0	13	37	0	0	10	0	6	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	175	"AWI"	175	349	657	498	0	0	2	0	2	0	5	2	16	0	0	2	0	0	0	0	0	1	234	1	125	0	5	0	1	0	2	0	0	0	11	0	0	1	0	7	10	0	0	12	24	1	0	0	0	5	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	180	"AWI"	180	361	674	513	0	0	1	0	9	0	2	0	12	0	0	1	0	0	0	19	0	1	254	0	105	0	9	0	0	0	2	0	0	0	4	0	3	5	0	3	5	0	0	2	36	0	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	185	"AWI"	185	378	687	528	0	0	1	3	3	0	0	2	12	0	0	8	0	2	0	23	1	0	241	0	103	0	4	0	1	0	3	0	0	0	0	0	0	7	0	0	4	0	0	6	27	0	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	190	"AWI"	190	389	703	544	0	0	1	1	5	0	0	0	8	0	0	5	0	1	0	10	1	0	286	0	97	0	3	0	0	0	1	0	0	0	4	0	1	4	0	0	0	0	0	5	24	0	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	195	"AWI"	195	407	717	560	0	0	0	3	1	0	6	0	4	0	0	2	0	4	0	17	0	0	264	0	151	0	6	0	1	1	2	4	0	0	10	0	2	6	1	2	6	0	0	16	27	0	0	0	0	0	0	0	0	0	0	0
