"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Corylus"	"Fagus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Tilia"	"Ulmus"
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	805	"AWI"	805	4806	6395	5721	31	24	0	0	1	0	171	17	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	845	"AWI"	845	5133	6645	6175	25	12	0	1	0	0	185	10	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	895	"AWI"	895	5526	7117	6727	32	19	0	1	1	0	155	26	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	935	"AWI"	935	5772	7494	7028	28	25	0	0	0	0	171	14	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	955	"AWI"	955	5795	7510	7046	46	32	1	0	1	0	151	17	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	965	"AWI"	965	5810	7519	7055	54	20	1	1	1	0	176	21	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	975	"AWI"	975	5824	7530	7064	39	51	1	1	2	0	142	10	6
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	985	"AWI"	985	5839	7540	7073	42	33	0	2	0	0	147	7	5
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1005	"AWI"	1005	5867	7561	7089	46	23	0	6	0	0	187	14	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1030	"AWI"	1030	5907	7590	7113	41	53	1	1	0	0	157	11	5
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1075	"AWI"	1075	5954	7653	7151	50	33	0	2	1	0	173	17	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1095	"AWI"	1095	5974	7681	7169	49	13	1	2	0	0	185	4	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1105	"AWI"	1105	5980	7694	7176	42	56	0	1	0	0	158	14	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1115	"AWI"	1115	5994	7710	7184	34	29	0	2	2	0	187	14	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1125	"AWI"	1125	6015	7724	7193	40	21	0	1	0	0	178	14	5
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1135	"AWI"	1135	6033	7740	7200	38	18	0	0	0	0	172	23	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1165	"AWI"	1165	6066	7791	7227	38	53	0	0	2	0	169	16	5
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1205	"AWI"	1205	6098	7869	7260	61	17	0	1	2	0	169	16	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1255	"AWI"	1255	6176	7935	7302	45	37	0	0	0	0	177	10	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1295	"AWI"	1295	6236	7971	7338	54	31	0	0	0	0	157	17	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1345	"AWI"	1345	6318	8014	7385	46	42	0	3	1	0	190	13	7
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1385	"AWI"	1385	6370	8053	7424	41	27	0	2	0	0	196	11	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1435	"AWI"	1435	6435	8117	7464	51	52	0	1	0	0	164	10	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1475	"AWI"	1475	6475	8179	7499	52	25	1	0	1	0	162	13	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1525	"AWI"	1525	6527	8258	7541	19	23	0	1	0	0	126	24	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1565	"AWI"	1565	6598	8298	7577	61	31	0	2	0	0	175	19	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1615	"AWI"	1615	6688	8337	7623	61	35	0	1	0	0	142	14	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1645	"AWI"	1645	6741	8361	7649	73	41	0	1	0	0	125	23	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1660	"AWI"	1660	6757	8377	7662	69	43	0	1	1	0	175	15	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1690	"AWI"	1690	6794	8411	7688	38	31	0	0	3	0	148	20	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1705	"AWI"	1705	6815	8425	7701	52	35	0	0	1	0	156	25	0
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1750	"AWI"	1750	6870	8468	7742	52	42	0	1	2	0	145	21	6
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1795	"AWI"	1795	6934	8529	7783	69	36	0	1	0	0	146	28	5
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1825	"AWI"	1825	6981	8572	7809	27	31	0	1	1	0	175	15	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1840	"AWI"	1840	6995	8587	7822	53	34	0	0	0	0	146	16	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1885	"AWI"	1885	7060	8623	7866	37	24	1	1	0	0	171	19	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1930	"AWI"	1930	7109	8666	7909	21	21	0	1	2	0	180	12	5
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	1975	"AWI"	1975	7170	8714	7952	60	30	0	2	0	0	119	15	6
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2020	"AWI"	2020	7215	8766	7997	26	37	0	1	1	0	194	11	0
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2065	"AWI"	2065	7257	8821	8043	50	35	0	1	0	0	151	17	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2110	"AWI"	2110	7292	8888	8084	55	34	0	0	0	0	164	10	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2155	"AWI"	2155	7334	8959	8128	44	35	0	0	0	0	164	22	6
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2200	"AWI"	2200	7395	9006	8174	54	23	0	2	0	0	150	23	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2245	"AWI"	2245	7449	9054	8216	55	36	0	2	1	0	134	19	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2290	"AWI"	2290	7502	9116	8261	38	27	0	0	1	0	140	19	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2335	"AWI"	2335	7543	9177	8308	54	44	0	0	0	0	216	30	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2380	"AWI"	2380	7578	9252	8353	30	37	0	0	1	0	155	22	5
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2435	"AWI"	2435	7617	9355	8407	36	35	0	3	1	0	164	19	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2470	"AWI"	2470	7645	9399	8443	48	36	0	2	0	0	153	19	5
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2515	"AWI"	2515	7688	9441	8491	47	32	0	2	0	0	148	13	6
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2560	"AWI"	2560	7728	9485	8535	40	29	1	2	0	0	154	14	6
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2605	"AWI"	2605	7772	9535	8584	50	53	0	2	0	0	131	17	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2650	"AWI"	2650	7807	9599	8629	43	48	0	1	1	0	157	18	7
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2695	"AWI"	2695	7857	9676	8677	35	25	0	2	1	0	157	14	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2740	"AWI"	2740	7889	9741	8721	50	48	0	2	0	0	145	14	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2785	"AWI"	2785	7947	9783	8767	42	34	0	0	1	0	138	17	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2830	"AWI"	2830	7999	9829	8816	70	60	0	1	0	0	117	16	7
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2875	"AWI"	2875	8049	9878	8866	56	46	1	0	0	0	127	16	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2920	"AWI"	2920	8092	9925	8913	52	18	0	0	0	0	171	17	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	2965	"AWI"	2965	8128	9983	8964	43	45	0	0	0	0	131	13	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	3010	"AWI"	3010	8168	10046	9008	39	30	0	1	0	0	170	14	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	3030	"AWI"	3030	8183	10077	9026	69	73	0	0	0	0	111	17	15
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	3050	"AWI"	3050	8198	10103	9048	64	56	0	0	1	0	128	11	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	3055	"AWI"	3055	8202	10111	9055	55	68	0	1	0	0	129	18	11
