"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	190	"AWI"	190	4392	5807	5176	0	0	36	6	3	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	48	0	21	0	0	0	0	4	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	5	3	0	0	0	2	0	0	46	0	0	0	0	0	0	0	0	0	0	2	1	4	2	9	2	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	195	"AWI"	195	4679	5903	5366	0	0	53	10	2	0	0	0	3	2	2	0	0	2	0	0	0	0	0	0	26	0	12	0	0	0	0	6	0	0	0	0	0	0	1	6	0	0	0	0	1	0	0	0	1	8	0	0	0	0	0	0	50	0	0	0	0	0	0	2	0	0	0	0	0	8	1	2	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	200	"AWI"	200	4841	6070	5572	0	0	92	7	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	28	0	15	0	0	0	0	3	0	0	0	0	0	0	3	6	1	0	0	0	0	0	2	0	3	3	0	0	0	0	0	0	68	0	0	0	0	0	0	3	0	0	0	0	0	3	0	4	2	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	205	"AWI"	205	5243	6144	5730	1	0	100	6	2	0	0	0	2	0	1	0	0	0	0	4	0	0	0	0	33	0	3	0	0	0	0	9	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	6	1	0	0	0	3	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	3	1	5	2	1	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	210	"AWI"	210	5492	6274	5911	0	0	94	2	3	1	0	0	6	0	0	0	0	1	0	1	0	0	0	0	57	0	7	0	0	0	0	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	5	1	0	0	0	3	0	0	65	0	0	0	0	0	0	2	0	0	0	0	0	1	0	6	1	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	215	"AWI"	215	5732	6518	6123	0	0	34	9	1	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	37	0	13	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	5	0	7	8	0	0	0	5	0	0	18	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	220	"AWI"	220	5822	7015	6311	0	0	17	14	1	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	90	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	8	0	0	0	3	5	0	12	0	0	0	0	0	0	6	0	0	0	0	0	0	1	3	0	1	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	225	"AWI"	225	6011	7293	6545	0	0	115	0	2	0	2	0	2	0	3	0	0	0	0	1	0	0	0	0	38	0	2	0	0	0	0	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	230	"AWI"	230	6105	7720	6772	0	0	14	5	6	0	1	0	2	0	0	0	0	1	0	4	0	0	0	0	29	0	33	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	24	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	1	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	235	"AWI"	235	6305	7896	7028	0	1	12	16	3	0	4	0	4	0	1	0	0	1	0	0	0	0	0	0	33	0	6	0	0	0	0	2	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	15	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	240	"AWI"	240	6437	8221	7273	0	0	28	2	6	0	2	0	4	0	1	0	0	1	0	1	0	0	0	0	170	0	9	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	23	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	2	0	1	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	245	"AWI"	245	6665	8370	7526	0	0	23	5	0	0	2	0	2	0	3	0	0	2	0	0	0	0	0	0	104	0	12	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	8	0	0	0	1	0	0	14	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	250	"AWI"	250	6807	8630	7767	0	0	53	4	3	0	2	0	1	0	2	0	0	0	0	1	0	0	0	0	93	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	3	10	0	0	0	2	0	0	25	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	255	"AWI"	255	7076	8759	7991	0	0	44	3	2	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	120	0	2	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	3	8	0	0	0	1	0	0	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	260	"AWI"	260	7259	8943	8224	0	0	12	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	6	0	0	0	0	0	0	8	0	0	1	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	265	"AWI"	265	7643	9026	8458	0	0	3	0	1	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	263	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	270	"AWI"	270	7866	9192	8718	0	0	0	0	1	2	2	0	0	0	2	0	0	0	0	1	0	0	0	1	260	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	15	0	0	0	0	1	0	2	18	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	2	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	275	"AWI"	275	8431	9258	8913	0	0	0	0	2	2	2	0	0	0	1	0	0	0	0	1	0	0	0	2	250	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	15	0	0	0	0	1	2	0	22	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	3	0	2	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	277.5	"AWI"	277.5	8645	9309.5	9019.5	0	0	10	0	1	3	0	0	3	0	2	0	0	2	0	0	0	0	0	0	258	0	4	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	13	0	0	2	0	0	0	0	2	0	0	3	0	0	1	0	0	2	0	0	1	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	280	"AWI"	280	8765	9395	9135	0	0	70	0	1	2	0	0	12	0	1	0	0	0	0	1	0	0	0	0	185	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	282.5	"AWI"	282.5	8963.5	9452.5	9229	0	2	2	0	2	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	277	0	2	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	2	0	0	0	0	0	2	1	11	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	2	0	2	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	285	"AWI"	285	9036	9621	9327	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	270	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	30	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	287.5	"AWI"	287.5	9069	9907	9414	0	1	0	0	1	0	0	0	2	1	2	0	0	0	0	1	0	0	0	1	254	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	290	"AWI"	290	9098	10219	9487	0	0	0	0	2	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	262	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	23	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0
