"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
23846	41333	"Lobbs Bog"	50.97056	-3.62361	128	"AWI"	128	1006	1271	1158	25	0	0	30	0	0	0	0	0	5	0	0	10	0	5	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	4	1	0	0	0	0	0	0	43	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	132	"AWI"	132	1065	1310	1208	59	1	0	40	0	0	0	0	0	8	0	0	4	0	1	0	4	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	50	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	136	"AWI"	136	1111	1396	1263	114	0	0	40	0	0	0	0	0	3	0	0	0	1	1	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	45	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	140	"AWI"	140	1136	1542	1309	136	2	0	31	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	37	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	144	"AWI"	144	1199	1622	1390	58	0	1	38	0	0	0	0	0	4	0	0	5	1	1	0	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	11	1	1	0	0	0	1	11	0	44	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	148	"AWI"	148	1235	1757	1464	144	1	0	46	0	0	0	0	0	2	0	0	3	0	2	0	5	0	0	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	35	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	152	"AWI"	152	1293	1865	1541	172	1	0	45	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	51	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	156	"AWI"	156	1351	1927	1629	178	2	0	44	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	1	1	0	0	6	0	0	0	0	2	2	1	0	0	0	0	4	0	47	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	160	"AWI"	160	1390	2036	1712	162	0	0	33	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	1	0	0	1	0	1	0	0	55	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	164	"AWI"	164	1498	2078	1796	184	0	0	51	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	80	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	168	"AWI"	168	1559	2140	1883	40	0	0	1	0	0	0	0	0	0	0	0	0	18	0	286	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	1	0	1	0	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	172	"AWI"	172	1670	2206	1960	49	1	1	0	0	0	0	0	0	0	0	0	0	18	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	5	0	1	0	0	0	0	0	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	176	"AWI"	176	1817	2238	2030	80	1	0	0	0	0	1	0	0	0	0	0	1	28	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	0	2	0	0	0	1	4	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	180	"AWI"	180	1893	2291	2108	83	0	0	0	0	0	1	1	0	0	0	0	2	28	0	186	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0	1	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	184	"AWI"	184	1942	2364	2163	70	0	0	0	0	0	1	1	0	0	0	0	1	19	0	237	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	12	1	0	1	0	0	0	0	0	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	188	"AWI"	188	1972	2496	2216	46	0	0	0	0	0	0	0	0	0	0	0	0	22	0	259	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	7	0	3	0	1	0	0	1	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	192	"AWI"	192	2013	2600	2267	48	0	0	2	0	0	0	1	0	0	0	0	1	23	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	15	4	0	0	0	0	0	0	0	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	196	"AWI"	196	2051	2678	2322	78	1	0	1	0	0	0	0	0	0	0	0	0	46	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	18	2	0	0	0	0	0	1	0	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	200	"AWI"	200	2074	2795	2370	85	0	0	0	0	0	0	0	0	0	0	0	1	41	0	187	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	26	3	0	0	0	0	0	0	0	0
