"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
24247	42687	"Herrenwieser See"	48.668262	8.295302	10	"AWI"	10	321	444	382	0	2	0	77	3	0	0	0	3	0	135	0	3	0	0	0	0	0	3	0	88	22	0	0	17	0	0	0	116	0	7	0	0	0	0	0	27	4	6	0	0	0	0	20	0	128	0	0	0	4	0	1	190	0	0	0	0	0	11	0	0	0	0	0	1	0	4	3	6	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	11	"AWI"	11	338	470	413	0	1	0	76	0	0	0	0	3	0	138	1	4	0	0	143	0	0	3	0	72	15	0	0	20	0	0	0	114	1	7	0	0	0	0	0	8	4	5	0	1	0	0	24	0	124	0	152	0	2	1	0	211	0	0	0	0	0	12	0	0	0	0	1	0	0	7	5	6	1	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	12	"AWI"	12	353	529	439	0	0	0	74	0	0	0	0	1	0	168	0	3	0	0	0	0	0	1	0	75	13	0	0	21	0	1	0	100	0	2	0	0	0	0	0	7	4	8	0	2	0	0	19	0	122	0	0	0	9	0	0	216	0	0	0	1	0	20	0	0	0	0	1	0	0	1	2	6	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	13	"AWI"	13	378	574	468	0	0	0	63	2	0	0	0	2	0	191	0	3	0	0	93	0	0	5	0	77	16	0	0	17	0	0	0	120	0	3	0	0	0	0	0	11	4	6	0	0	0	0	23	0	120	0	0	0	2	0	0	264	0	0	0	3	0	4	0	0	0	0	0	1	0	1	0	2	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	14	"AWI"	14	405	596	500	0	2	0	69	2	0	0	0	1	0	184	0	1	1	0	43	0	0	3	0	89	20	0	0	0	0	0	0	189	1	2	0	0	0	0	0	15	3	6	0	0	0	0	24	0	114	0	0	0	1	0	0	193	0	0	0	1	0	10	0	0	0	0	1	0	0	1	5	1	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	15	"AWI"	15	423	640	529	0	1	0	83	2	0	0	0	1	0	176	0	0	0	0	103	0	0	1	0	85	10	0	0	17	0	0	0	173	0	5	0	0	0	0	2	10	10	4	0	0	0	0	22	0	56	0	0	0	1	1	0	223	0	0	0	0	0	16	0	0	0	0	1	0	0	3	4	4	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	16	"AWI"	16	459	658	560	0	1	0	92	3	0	0	0	5	0	272	0	0	0	0	0	0	0	4	0	141	12	0	0	38	0	1	0	212	0	9	0	0	0	0	1	11	8	3	0	0	0	0	31	0	5	0	0	0	7	0	0	243	0	0	0	0	0	12	0	0	0	0	0	0	0	0	4	2	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	17	"AWI"	17	484	683	592	0	1	0	99	2	0	0	0	0	0	243	0	1	0	0	75	0	0	1	0	112	14	0	0	36	0	2	0	167	0	6	0	0	0	0	1	15	9	1	0	1	0	0	30	0	16	0	0	0	2	0	1	229	0	0	0	1	17	18	0	0	0	0	0	0	0	5	6	5	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	18	"AWI"	18	520	710	620	0	2	0	75	1	0	0	0	4	0	219	0	0	1	0	45	0	0	2	0	114	22	0	1	18	0	1	0	124	0	4	0	0	0	1	0	4	1	13	0	0	0	0	35	0	99	0	0	0	3	0	1	203	0	0	0	0	0	15	0	0	0	0	0	1	0	1	3	9	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	19	"AWI"	19	577	725	649	0	1	0	91	2	0	0	0	3	0	234	0	3	0	0	49	0	0	1	0	100	24	0	0	28	0	1	0	171	0	10	0	0	0	0	0	18	7	8	0	0	0	0	29	0	105	0	0	0	5	0	0	156	0	0	0	0	0	19	0	0	0	0	0	3	0	2	0	5	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	20	"AWI"	20	617	755	678	0	0	0	113	1	0	0	0	2	0	226	1	2	0	0	43	0	0	2	0	156	18	0	0	19	0	0	0	143	0	8	0	0	0	1	0	12	4	10	0	0	0	0	33	12	78	0	0	0	1	0	2	166	0	0	0	0	0	8	0	0	0	0	0	0	0	3	2	7	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	21	"AWI"	21	658	783	711	0	0	0	85	0	0	0	0	1	0	232	0	1	0	0	54	0	0	1	0	96	34	0	0	18	0	3	0	184	0	3	0	0	0	0	0	12	2	15	0	0	0	0	17	0	83	0	0	0	6	0	2	141	0	0	0	1	6	16	0	0	0	1	0	0	0	3	3	6	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	22	"AWI"	22	667	840	741	0	1	0	83	3	0	0	0	8	0	245	0	3	0	0	48	0	0	4	0	117	34	0	0	45	0	2	0	147	0	1	0	0	0	1	1	11	8	0	0	0	0	0	16	0	125	0	0	0	1	0	1	156	0	0	0	0	0	18	0	0	0	0	2	1	1	3	3	4	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	23	"AWI"	23	687	889	772	0	1	0	69	3	0	0	0	6	0	289	0	3	0	0	38	0	0	0	0	111	27	0	0	21	0	1	0	150	0	6	0	0	0	0	1	14	1	2	0	0	0	0	19	27	132	0	0	0	1	0	1	151	0	0	0	0	0	10	0	0	0	0	1	0	0	4	0	3	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	24	"AWI"	24	704	929	803	0	0	0	57	2	0	0	0	4	0	232	1	0	0	0	23	0	0	1	0	96	22	0	0	26	0	1	0	154	0	4	0	0	0	0	1	9	4	0	0	0	0	0	22	0	106	0	0	0	120	0	0	120	0	0	0	1	0	12	0	0	0	0	0	0	0	2	3	3	1	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	25	"AWI"	25	717	985	833	0	3	0	92	0	0	0	0	3	0	307	0	1	0	0	146	0	0	0	0	104	27	0	0	25	0	0	0	147	0	4	0	0	0	0	1	8	5	4	0	0	0	0	32	0	89	0	0	0	5	0	0	139	0	0	0	1	0	9	0	0	0	0	0	1	0	2	3	0	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	26	"AWI"	26	754	1008	868	0	2	0	95	1	0	0	0	4	0	280	0	2	0	0	0	0	0	1	0	101	22	0	0	0	0	0	0	161	0	2	0	0	1	0	1	6	2	4	0	0	0	0	24	0	78	0	0	0	0	1	0	160	0	0	0	0	17	15	0	0	0	0	1	1	0	1	6	1	1	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	27	"AWI"	27	779	1042	905	0	0	0	101	0	0	0	0	4	0	223	0	0	0	0	31	0	0	0	0	143	27	0	0	0	0	0	0	143	0	9	0	0	0	1	0	9	3	5	0	0	0	0	18	0	93	0	0	0	3	0	0	165	0	0	0	2	20	16	0	0	0	0	0	0	1	1	7	3	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	28	"AWI"	28	817	1074	937	0	1	0	105	4	0	0	0	5	0	217	0	0	0	0	0	0	0	1	0	109	17	0	0	22	0	1	0	147	0	6	0	0	0	0	1	13	0	5	0	0	0	0	43	0	76	0	0	0	3	0	1	160	0	0	0	1	0	24	0	0	0	1	0	1	0	3	11	10	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	29	"AWI"	29	861	1099	970	0	2	0	118	2	0	0	0	7	0	226	0	0	1	0	0	0	0	0	0	103	14	0	0	30	0	0	0	133	1	6	0	0	0	0	1	13	0	7	0	0	0	0	31	0	47	0	0	0	7	0	0	171	0	0	0	0	0	18	0	0	0	0	0	0	1	2	11	7	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	30	"AWI"	30	889	1143	1002	0	1	0	92	0	0	0	0	8	0	182	0	1	0	0	0	0	0	0	0	72	27	0	0	29	0	0	0	159	0	11	0	0	0	0	0	34	0	2	0	0	0	0	48	0	110	0	0	0	2	0	1	158	0	0	0	0	0	14	0	0	0	0	0	0	0	0	10	1	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	31	"AWI"	31	939	1183	1052	0	2	0	97	4	0	0	0	8	0	230	0	0	0	0	24	0	0	0	0	61	7	0	0	26	0	0	0	220	0	8	0	0	0	0	0	12	0	0	0	0	1	0	64	0	10	0	0	0	2	0	0	157	0	0	0	0	0	10	0	0	0	0	0	0	0	2	14	7	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	32	"AWI"	32	961	1260	1099	0	1	0	147	0	0	0	0	8	0	225	0	0	0	0	16	0	0	0	0	79	7	0	0	19	0	0	0	203	0	15	0	0	0	1	0	5	2	1	0	0	0	0	60	0	101	0	0	0	0	0	0	140	0	0	0	1	0	7	0	0	0	0	2	0	0	2	5	1	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	33	"AWI"	33	1002	1330	1150	0	0	0	153	2	0	0	0	2	0	201	0	1	1	0	15	0	0	1	1	79	18	0	0	14	0	0	0	200	0	5	0	0	0	0	1	5	0	0	0	0	0	0	78	0	121	0	0	0	1	0	0	136	0	0	0	0	0	5	0	0	0	0	0	1	0	1	11	1	1	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	34	"AWI"	34	1038	1366	1207	0	0	0	212	2	0	0	0	4	0	138	0	1	0	0	4	0	0	0	0	75	16	0	0	0	0	0	0	182	0	12	0	0	0	0	1	14	1	1	0	0	0	0	87	0	87	0	0	0	0	0	0	135	0	0	0	1	4	7	0	0	0	0	1	1	0	1	9	2	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	35	"AWI"	35	1064	1438	1259	0	2	0	184	0	0	0	0	5	0	122	0	0	0	0	13	0	0	0	0	66	12	0	0	12	0	0	0	233	0	12	0	0	0	0	0	11	0	0	0	0	1	0	83	0	61	0	0	0	1	0	1	133	0	0	0	0	3	11	0	0	0	0	0	1	0	1	13	0	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	36	"AWI"	36	1136	1460	1311	0	0	0	180	2	0	0	0	3	0	97	0	0	0	0	5	0	0	0	0	84	7	0	0	3	0	0	0	222	0	14	0	0	0	0	0	4	0	0	0	0	0	0	105	0	123	0	0	0	0	0	0	166	0	0	0	0	0	7	0	0	0	0	0	0	0	1	15	0	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	37	"AWI"	37	1169	1489	1366	0	2	0	181	1	0	0	0	3	0	88	0	0	0	0	4	0	0	1	0	71	10	1	0	0	0	0	0	146	0	9	0	0	0	0	0	17	0	0	0	0	0	0	81	0	176	0	0	0	1	0	0	113	0	0	0	1	0	13	0	0	0	0	1	0	0	1	6	8	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	38	"AWI"	38	1248	1522	1415	0	2	0	175	3	0	0	0	2	0	109	0	0	0	0	4	0	0	0	0	105	2	0	0	7	0	0	0	244	0	23	0	0	0	0	1	8	1	1	0	0	0	0	128	0	206	0	0	0	0	0	0	133	0	0	0	0	0	4	0	0	0	0	0	0	2	0	13	0	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	39	"AWI"	39	1345	1538	1464	0	0	0	172	0	0	0	0	4	0	85	0	0	0	0	8	0	0	1	0	76	6	0	0	3	0	0	0	161	0	11	0	0	0	0	0	8	0	0	0	0	0	0	100	0	148	0	0	0	1	0	0	95	0	0	0	0	8	8	0	0	0	0	0	0	0	2	9	2	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	40	"AWI"	40	1398	1573	1516	136	0	0	181	0	0	0	0	1	0	112	0	1	0	0	5	0	0	0	0	93	6	0	0	5	0	0	0	121	0	5	0	0	0	0	0	12	1	0	0	0	0	0	139	0	188	0	0	0	0	0	1	106	0	0	0	0	0	5	0	0	0	0	0	0	0	2	11	3	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	41	"AWI"	41	1455	1621	1561	0	1	0	175	1	0	0	0	2	0	178	0	0	0	0	2	0	0	0	0	81	10	0	0	7	0	0	0	112	0	30	0	0	0	0	0	12	0	0	0	0	0	0	106	0	171	0	0	0	5	0	0	110	0	0	0	0	0	1	0	0	0	0	0	0	0	4	11	4	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	42	"AWI"	42	1490	1735	1604	0	1	0	225	1	0	0	0	2	0	227	0	0	0	0	0	0	0	0	0	108	5	0	0	6	0	0	0	142	0	19	0	0	0	0	0	12	0	0	0	0	1	0	94	0	111	0	0	0	0	0	0	105	0	0	0	0	0	1	0	1	0	0	0	0	0	1	9	2	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	43	"AWI"	43	1528	1808	1650	0	1	0	216	1	0	0	0	1	0	155	0	0	0	0	4	0	0	0	0	107	16	0	0	10	0	0	0	109	0	13	0	0	0	0	0	8	0	0	0	0	0	0	86	0	115	0	0	0	3	0	0	108	0	0	0	1	0	12	0	0	0	0	0	0	0	3	10	2	0	2
24247	42687	"Herrenwieser See"	48.668262	8.295302	44	"AWI"	44	1568	1858	1698	0	1	0	224	1	0	0	1	0	0	139	0	0	0	0	0	0	0	0	0	145	4	0	0	7	0	0	0	120	0	14	0	0	0	0	0	9	0	0	0	1	1	0	70	0	78	0	0	0	0	0	0	122	0	0	0	0	0	9	0	0	0	0	0	0	0	1	9	1	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	45	"AWI"	45	1587	1934	1742	0	2	0	202	0	0	0	0	1	0	173	0	0	0	0	0	0	0	0	0	94	6	0	0	5	0	0	0	144	0	13	0	0	0	0	0	10	0	0	0	0	0	0	45	0	82	0	0	0	1	1	0	101	0	0	0	0	0	7	0	0	0	0	1	0	0	1	12	2	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	46	"AWI"	46	1637	1961	1796	0	2	0	192	1	0	0	0	3	0	181	0	0	0	0	4	0	0	0	0	106	6	0	0	12	0	0	0	169	0	8	0	0	0	1	0	10	0	0	0	0	0	0	39	0	36	0	0	0	0	0	1	129	0	0	0	1	0	11	0	0	0	0	0	4	0	4	8	3	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	47	"AWI"	47	1666	2004	1850	0	1	0	141	2	0	0	0	4	0	132	0	0	0	0	11	0	0	0	0	91	14	0	0	11	0	1	0	191	0	16	0	0	0	0	0	9	0	3	0	0	0	0	25	0	83	0	0	0	0	0	0	130	0	0	0	2	10	9	0	0	0	0	0	2	0	4	5	7	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	48	"AWI"	48	1713	2048	1899	0	3	0	141	2	0	0	0	4	0	171	0	0	0	0	2	0	0	0	0	131	7	0	0	21	0	0	0	320	0	5	0	0	0	1	1	19	0	0	0	0	0	0	33	0	6	0	0	0	1	0	0	190	0	0	0	0	0	2	0	0	0	0	0	0	0	8	4	2	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	49	"AWI"	49	1767	2070	1947	0	1	0	103	2	0	0	0	3	0	122	0	0	1	0	7	0	0	0	0	89	10	0	0	8	0	0	0	173	0	3	0	0	0	0	0	20	0	0	0	0	0	0	30	0	122	0	0	0	1	0	0	156	0	0	0	0	0	13	0	0	0	0	0	2	1	5	6	1	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	50	"AWI"	50	1799	2106	1994	0	2	0	124	6	0	0	0	3	0	129	0	1	0	0	6	0	0	0	0	118	4	0	0	0	0	1	0	287	1	4	0	0	0	0	0	40	0	0	0	0	0	0	59	0	4	0	0	0	1	0	0	261	0	0	0	0	0	3	0	0	0	0	0	1	0	2	16	8	3	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	51	"AWI"	51	1847	2142	2036	0	1	0	113	3	0	0	0	2	0	147	0	0	0	0	5	0	0	0	0	86	7	0	0	15	0	0	0	189	0	12	0	0	0	0	0	5	0	0	0	0	0	0	82	0	164	0	0	0	3	0	0	168	0	0	0	0	0	4	0	0	0	0	0	2	0	3	12	4	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	52	"AWI"	52	1884	2206	2077	0	0	0	181	3	0	0	0	4	0	189	0	0	0	0	2	0	0	0	0	89	8	0	0	6	0	0	0	137	0	15	0	0	0	0	0	10	0	0	0	0	0	0	65	0	148	0	0	0	0	0	0	131	0	0	0	0	0	2	0	0	0	0	1	0	0	2	7	0	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	53	"AWI"	53	1920	2268	2116	0	1	0	257	1	0	0	0	2	0	249	0	0	0	0	4	0	0	0	0	111	9	0	0	0	0	0	0	109	0	8	0	0	0	0	0	5	0	0	0	0	1	0	33	0	146	0	0	0	7	1	0	121	0	0	0	1	0	12	0	1	0	0	1	0	0	2	8	4	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	54	"AWI"	54	1968	2306	2155	0	1	0	230	0	0	0	0	1	0	199	0	0	1	0	0	0	0	0	0	98	8	0	0	0	0	0	0	101	1	11	1	0	0	1	0	13	0	0	0	0	0	0	7	0	96	0	0	0	1	0	2	149	0	0	0	2	0	24	0	0	0	1	0	1	0	1	9	4	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	55	"AWI"	55	2005	2360	2193	0	0	0	118	0	0	0	0	7	0	203	0	1	0	0	9	0	0	0	0	104	14	0	0	7	0	0	0	125	0	4	0	0	0	0	0	4	0	0	0	0	0	0	6	0	105	0	0	0	1	0	0	183	0	0	0	1	0	14	0	0	0	0	0	0	0	4	7	2	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	56	"AWI"	56	2062	2386	2232	0	2	0	122	2	0	0	0	3	0	232	0	1	0	0	0	0	0	0	0	74	11	0	0	9	0	0	0	130	0	7	0	0	0	1	0	15	0	0	0	0	0	0	9	0	87	0	0	0	0	0	0	170	0	0	0	1	0	11	0	0	0	0	1	2	0	2	16	3	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	57	"AWI"	57	2105	2425	2274	0	2	0	146	3	1	0	0	7	0	148	0	1	0	0	7	0	0	0	0	75	16	0	0	10	0	1	0	148	0	9	0	0	0	0	1	4	1	0	0	0	0	0	22	0	109	0	0	0	5	0	0	163	0	0	0	1	0	15	0	0	0	0	0	1	0	2	8	1	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	58	"AWI"	58	2165	2462	2310	0	0	0	160	0	0	0	0	2	0	131	0	0	0	0	0	0	0	0	0	87	7	0	0	7	0	0	0	109	0	12	0	0	0	0	0	16	0	1	0	0	0	0	18	0	133	0	0	0	0	0	0	155	0	0	0	1	0	5	0	0	0	0	0	0	0	3	11	2	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	59	"AWI"	59	2252	2513	2344	0	0	0	153	0	0	0	0	7	0	172	0	0	0	0	6	0	0	0	0	100	4	0	0	7	0	0	0	129	0	7	0	0	0	0	2	9	0	0	0	0	1	0	9	0	85	0	0	0	0	0	0	136	0	0	0	3	0	6	0	0	0	0	1	2	0	2	14	5	0	2
24247	42687	"Herrenwieser See"	48.668262	8.295302	60	"AWI"	60	2311	2576	2383	0	0	0	138	0	0	0	0	5	0	112	0	0	0	0	0	0	0	0	0	115	10	0	0	6	0	0	0	145	0	23	0	0	0	1	0	8	0	1	0	0	0	0	15	0	141	0	0	0	3	0	0	114	0	0	0	0	0	9	0	0	0	0	0	1	0	3	10	3	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	61	"AWI"	61	2359	2622	2425	0	1	0	180	1	0	0	0	6	0	151	0	0	0	0	2	0	0	0	0	83	13	0	0	7	0	0	0	145	0	14	0	0	0	0	0	10	0	0	0	0	0	0	18	0	107	0	0	0	5	0	0	132	0	0	0	0	0	5	0	0	0	0	0	0	0	2	5	3	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	62	"AWI"	62	2373	2680	2466	0	1	0	192	2	0	0	0	5	0	170	0	0	0	0	6	0	0	0	0	106	2	0	0	14	0	0	0	119	0	13	0	0	0	0	0	19	0	0	0	0	0	0	20	0	158	0	0	0	0	0	0	138	0	0	0	0	0	11	0	0	0	0	0	0	0	0	4	0	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	63	"AWI"	63	2392	2745	2503	0	2	0	169	4	0	0	0	8	0	165	0	0	0	0	5	0	0	0	0	80	8	0	0	7	0	1	0	144	0	21	0	0	0	0	0	21	0	0	0	0	0	0	14	0	135	0	0	0	1	0	0	140	0	0	0	0	0	13	0	0	0	0	0	4	0	4	11	2	0	2
