"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Tamarix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
16135	24931	"Les Nans"	46.78972	5.97444	300	"AWI"	300	364	796	602	4	0	11	3	3	0	3	0	3	10	1	0	1	0	0	0	2	1	0	19	0	23	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	2	2	1	10	27	0	0	0	0	24	7	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	310	"AWI"	310	384	809	619	1	0	11	1	4	0	2	0	6	2	0	0	5	0	0	0	2	0	0	63	0	6	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	3	2	0	14	23	0	0	0	0	22	11	0	4	1	0	0	0	1	0	0	0	0	2	0	1	0	1
16135	24931	"Les Nans"	46.78972	5.97444	320	"AWI"	320	400	822	636	8	0	14	1	2	0	2	0	7	2	0	0	9	0	3	0	4	1	1	27	0	7	0	0	0	20	1	0	1	3	1	2	0	0	0	0	0	4	2	3	14	27	0	0	0	0	34	11	0	2	1	3	0	0	1	0	0	0	1	1	0	1	0	0
16135	24931	"Les Nans"	46.78972	5.97444	450	"AWI"	450	576	1025	811	0	0	11	0	3	1	3	0	6	5	1	0	3	0	0	0	0	0	0	108	0	6	0	0	0	11	2	0	0	1	7	0	0	0	0	0	0	3	0	0	2	26	0	0	0	0	16	10	0	0	0	1	0	0	0	0	1	0	0	3	0	1	0	1
16135	24931	"Les Nans"	46.78972	5.97444	510	"AWI"	510	656	1099	892	2	0	8	0	3	1	2	0	4	4	0	0	14	0	0	0	0	0	1	69	0	5	0	0	0	36	1	0	0	0	2	0	0	0	0	0	0	12	0	3	4	56	126	0	0	0	31	8	0	0	4	1	0	0	0	0	0	0	0	4	0	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	540	"AWI"	540	698	1131	931	0	1	12	0	3	0	0	0	11	1	2	1	6	0	0	0	1	1	0	108	0	4	0	0	0	24	0	0	0	1	1	0	1	0	0	0	0	5	1	4	2	45	0	0	0	0	16	13	0	1	3	2	0	0	2	0	0	0	0	2	0	1	0	0
16135	24931	"Les Nans"	46.78972	5.97444	570	"AWI"	570	732	1169	968	1	0	1	0	7	0	3	0	3	12	1	2	3	0	0	0	1	0	0	37	1	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	30	0	0	0	0	17	9	0	2	1	1	0	0	0	0	0	0	0	1	0	0	1	0
16135	24931	"Les Nans"	46.78972	5.97444	600	"AWI"	600	780	1193	1008	1	0	11	1	5	0	0	0	1	5	0	1	14	0	0	0	0	1	0	64	0	19	0	0	0	10	2	0	0	1	4	0	0	0	0	2	1	7	9	2	4	107	318	0	0	0	27	22	0	2	5	2	1	0	0	0	0	0	0	1	0	1	1	0
16135	24931	"Les Nans"	46.78972	5.97444	630	"AWI"	630	811	1229	1048	3	0	11	0	8	0	2	0	1	2	0	1	0	0	0	0	1	0	0	55	0	5	0	0	0	11	0	0	0	2	1	0	0	0	0	0	1	0	0	8	5	65	0	0	0	0	10	13	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
16135	24931	"Les Nans"	46.78972	5.97444	660	"AWI"	660	864	1255	1087	0	0	2	2	5	0	2	0	2	4	0	1	9	0	0	0	1	0	0	31	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	65	143	0	0	0	6	12	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1
16135	24931	"Les Nans"	46.78972	5.97444	690	"AWI"	690	903	1296	1126	1	0	2	3	4	1	1	0	0	4	0	1	10	0	0	0	0	1	1	31	0	3	0	2	0	2	1	0	0	0	0	4	0	0	0	0	0	2	1	0	1	92	179	0	0	0	4	12	0	3	4	0	0	0	0	0	0	0	0	1	0	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	720	"AWI"	720	961	1317	1165	1	0	9	1	1	0	0	0	5	6	0	0	7	0	6	1	1	0	0	57	3	2	0	0	0	8	0	0	0	3	2	5	0	0	0	0	0	5	4	1	3	91	180	1	0	0	8	16	0	5	4	0	0	0	0	0	0	0	0	1	0	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	750	"AWI"	750	1004	1348	1207	0	0	5	1	0	0	3	0	4	2	1	0	14	0	0	0	0	0	0	55	0	3	0	0	0	6	1	0	0	0	0	7	0	1	0	0	0	2	2	0	2	65	198	0	0	0	9	15	0	2	7	0	0	0	0	0	0	0	0	0	0	0	2	0
16135	24931	"Les Nans"	46.78972	5.97444	810	"AWI"	810	1110	1404	1283	0	0	5	3	3	0	4	0	1	8	0	1	29	0	0	0	1	1	0	80	0	13	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	3	4	0	2	161	439	0	0	0	27	46	0	0	16	0	0	1	0	0	0	0	1	0	0	0	1	0
16135	24931	"Les Nans"	46.78972	5.97444	840	"AWI"	840	1177	1436	1314	6	1	4	1	4	0	3	0	1	9	1	0	10	0	0	0	0	0	0	65	0	4	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	2	3	1	1	59	139	0	0	0	12	14	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	860	"AWI"	860	1199	1460	1340	0	0	13	1	10	0	3	0	0	8	0	0	9	0	4	0	1	1	0	68	0	4	0	0	0	7	1	0	0	1	0	7	0	0	1	0	0	4	1	0	0	87	115	0	0	0	16	23	0	2	0	1	0	0	2	0	0	0	1	0	0	0	0	0
