"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Geraniaceae"	"Ilex"	"Juglans"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
15880	24441	"Les Laubies"	44.46667	3.65	50	"AWI"	50	2362	3521	2927	23	1	18	0	0	1	0	100	0	2	0	0	0	0	0	0	25	0	6	0	0	143	1	0	0	0	14	0	0	16	0	24	0	2	0	3	37	7	0	0	1	0	6	0	2	0
15880	24441	"Les Laubies"	44.46667	3.65	55	"AWI"	55	2680	3822	3244	21	0	16	0	0	2	0	105	0	0	0	1	5	1	0	0	21	0	5	0	0	80	0	0	0	0	8	0	0	4	0	36	0	1	34	1	40	7	3	0	0	0	4	1	1	2
15880	24441	"Les Laubies"	44.46667	3.65	60	"AWI"	60	3025	4117	3557	9	0	6	0	2	2	0	36	0	1	0	1	3	3	0	0	13	0	34	0	0	103	3	0	1	0	1	0	0	0	0	24	0	0	0	0	33	17	0	9	0	0	2	1	2	0
15880	24441	"Les Laubies"	44.46667	3.65	65	"AWI"	65	3407	4405	3870	14	0	16	1	10	2	0	115	0	0	0	0	5	0	0	0	18	0	5	0	0	102	3	0	0	0	1	0	0	14	0	23	0	1	0	0	30	8	0	11	0	0	0	1	1	3
15880	24441	"Les Laubies"	44.46667	3.65	70	"AWI"	70	3754	4806	4219	3	0	2	0	3	2	0	105	0	0	0	0	4	1	0	0	30	0	5	0	0	105	4	0	0	0	0	0	0	17	0	33	0	4	62	0	31	7	2	10	0	0	3	0	6	0
15880	24441	"Les Laubies"	44.46667	3.65	75	"AWI"	75	4053	5301	4607	0	0	2	1	11	2	0	63	1	0	0	1	0	1	0	0	55	0	42	0	0	3	2	0	0	0	3	0	0	12	0	38	0	0	0	1	75	13	0	39	0	0	1	15	11	1
15880	24441	"Les Laubies"	44.46667	3.65	80	"AWI"	80	4355	5780	5002	0	0	1	0	9	1	0	43	1	0	0	0	5	0	0	0	51	0	21	0	0	3	0	0	0	0	5	0	0	0	0	41	0	0	0	0	57	8	0	0	0	0	5	7	14	0
15880	24441	"Les Laubies"	44.46667	3.65	85	"AWI"	85	4670	6239	5397	1	0	0	0	3	0	0	24	1	0	1	0	0	1	0	0	60	0	21	0	0	0	2	0	0	0	16	0	0	0	0	85	0	0	0	0	77	7	0	0	0	0	2	25	22	0
15880	24441	"Les Laubies"	44.46667	3.65	90	"AWI"	90	5012	6668	5795	0	1	0	0	2	3	0	53	0	0	0	0	0	1	0	0	62	0	10	0	0	1	1	0	0	0	2	0	0	0	0	55	0	0	0	0	46	5	0	0	0	0	3	10	10	0
15880	24441	"Les Laubies"	44.46667	3.65	95	"AWI"	95	5372	7068	6195	0	0	0	0	0	0	0	50	0	0	0	0	2	0	0	0	54	0	14	0	0	0	1	0	0	0	6	0	0	0	0	49	0	0	0	0	43	7	0	0	0	1	10	10	14	0
15880	24441	"Les Laubies"	44.46667	3.65	100	"AWI"	100	5749	7475	6592	0	2	2	0	0	2	0	43	0	0	0	0	0	0	0	0	43	0	4	0	0	0	0	0	0	0	1	0	0	0	0	52	0	0	0	0	26	1	0	6	0	0	3	9	12	0
15880	24441	"Les Laubies"	44.46667	3.65	105	"AWI"	105	6116	7854	6990	0	0	0	0	1	1	0	18	0	1	0	0	0	0	0	0	67	0	15	0	0	0	1	0	0	0	1	0	0	0	0	79	0	0	0	0	33	3	0	0	0	0	1	9	11	0
15880	24441	"Les Laubies"	44.46667	3.65	110	"AWI"	110	6524	8249	7387	1	1	1	1	2	0	0	45	0	0	12	0	5	0	0	0	77	0	27	0	0	0	0	0	0	0	10	0	0	0	0	70	0	0	0	0	63	1	0	19	1	0	4	9	14	0
15880	24441	"Les Laubies"	44.46667	3.65	115	"AWI"	115	6934	8629	7778	0	0	0	0	0	0	0	28	1	1	1	0	0	0	0	0	45	0	11	0	0	0	0	0	0	0	5	0	0	0	0	40	0	0	0	0	31	4	0	8	0	0	4	2	7	0
15880	24441	"Les Laubies"	44.46667	3.65	120	"AWI"	120	7363	8970	8182	0	0	1	0	1	1	0	42	0	0	0	0	2	0	0	0	103	0	20	0	0	0	0	0	0	0	9	0	0	0	0	71	0	0	0	0	48	3	0	0	0	1	9	3	7	0
15880	24441	"Les Laubies"	44.46667	3.65	125	"AWI"	125	7782	9322	8580	0	0	1	0	2	2	0	28	0	1	0	0	0	0	0	0	130	0	18	0	0	0	0	0	0	0	1	0	0	0	0	90	0	0	0	0	40	5	0	0	0	3	6	0	13	0
15880	24441	"Les Laubies"	44.46667	3.65	130	"AWI"	130	8247	9662	8971	0	0	0	0	1	2	0	21	0	0	0	0	0	1	0	0	74	0	26	0	0	0	0	0	0	0	7	0	0	0	0	100	1	1	0	0	15	0	0	0	3	1	9	0	8	0
15880	24441	"Les Laubies"	44.46667	3.65	135	"AWI"	135	8670	10009	9348	0	0	0	2	0	5	0	10	0	0	0	1	0	1	0	0	13	0	26	0	0	0	1	0	0	0	0	0	0	0	0	150	0	2	0	0	9	0	0	38	0	0	24	0	0	0
