"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	290	"AWI"	290	1931	2334	2149	0	9	2	1	1	2	0	4	0	0	0	0	8	68	0	0	1	0	0	1	0	0	0	0	10	35	0	20	0	1	0	1	0	0	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	300	"AWI"	300	2053	2444	2248	0	7	1	0	0	0	0	2	3	0	1	0	10	85	0	0	1	0	1	1	0	0	0	0	4	0	0	13	0	1	0	5	0	0	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	320	"AWI"	320	2221	2672	2442	0	18	3	0	0	0	0	4	0	0	2	0	13	92	0	0	0	0	0	0	1	0	0	0	6	59	0	3	0	0	0	6	0	0	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	335	"AWI"	335	2355	2837	2586	0	26	3	1	0	1	0	1	0	0	6	0	15	109	0	0	1	0	0	1	0	0	0	1	3	0	0	22	1	0	0	2	0	0	3	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	350	"AWI"	350	2491	2996	2729	0	12	0	3	0	0	0	5	0	0	1	0	15	67	0	0	1	0	0	2	0	0	0	1	2	0	0	25	0	1	1	8	6	1	1	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	370	"AWI"	370	2673	3189	2923	0	18	4	2	1	0	0	5	0	0	3	0	19	55	0	0	0	0	0	0	0	0	0	0	2	32	1	21	1	1	0	7	0	2	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	380	"AWI"	380	2777	3284	3022	0	35	0	0	1	1	0	1	0	0	1	0	18	61	0	0	1	0	0	0	0	0	0	0	2	35	0	11	0	0	0	7	0	0	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	390	"AWI"	390	2877	3383	3117	0	9	0	0	1	1	0	0	0	0	0	0	4	127	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	1	1	0	0	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	400	"AWI"	400	2976	3481	3211	0	10	3	3	0	0	0	4	1	0	1	0	19	60	0	0	0	0	0	0	0	0	0	2	1	0	0	15	0	1	0	0	1	0	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	410	"AWI"	410	3084	3573	3308	0	37	6	3	1	0	0	2	1	0	0	0	25	60	0	0	3	0	0	1	0	0	0	1	2	0	0	27	0	0	0	2	2	0	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	425	"AWI"	425	3248	3712	3450	0	20	2	0	0	0	0	1	1	0	0	0	30	38	0	0	0	0	0	0	0	0	0	0	7	0	1	24	0	1	0	1	0	0	1	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	580	"AWI"	580	4615	5607	5066	0	30	0	0	0	2	9	0	0	0	0	0	6	39	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
