"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	52.5	"AWI"	52.5	1057.5	1249	1166	0	11.9235095613048	0.637420322459692	0.412448443944507	0	0.712410948631421	0	0	0.0374953130858643	0	0.0749906261717285	0	0	6.03674540682415	1.91226096737908	0	0	0	0	6.93663292088489	0	0	0	10.1612298462692	0	0	0	0	0.112485939257593	2.43719535058118	15.3730783652043	0.5249343832021	17.2478440194976	0	0	0	22.7971503562055	0	0	0	0	1.46231721034871	0.712410948631421	0	0	0	0	0.149981252343457	0.337457817772778	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	57.5	"AWI"	57.5	1079.5	1267.5	1192	0	12.70207852194	0.615858352578907	0.153964588144727	0	1.07775211701309	0	0	0.0384911470361817	0	0.192455735180908	0	0	7.46728252501925	2.11701308698999	0	0	0	0	6.04311008468052	0.0384911470361817	0	0.153964588144727	5.35026943802925	0	0.0384911470361817	0	0	0.46189376443418	2.46343341031563	13.6643571978445	0.577367205542725	20.1693610469592	0	0	0	23.4411085450346	0	0	0	0	1.00076982294072	0.500384911470362	0	0	0	0.0769822940723634	0.69284064665127	0.962278675904542	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	62.5	"AWI"	62.5	1102	1284.5	1219	0	15.9090909090909	0.586510263929619	0.146627565982405	0	1.31964809384164	0	0	0	0	0.146627565982405	0	0	7.66129032258065	1.83284457478006	0	0	0	0	6.59824046920821	0.0366568914956012	0	0.146627565982405	1.97947214076246	0	0	0	0	0.659824046920821	1.46627565982405	10.5938416422287	0.219941348973607	17.6319648093842	0	0	0	28.5557184750733	0	0.109970674486804	0	0	2.34604105571848	0.953079178885631	0	0.0733137829912024	0	0	0.513196480938416	0.513196480938416	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	67.5	"AWI"	67.5	1129	1321	1245.5	0	14.7229381443299	0.547680412371134	0.161082474226804	0	1.93298969072165	0	0	0.0322164948453608	0	0.128865979381443	0.0322164948453608	0	8.73067010309278	2.67396907216495	0	1.67525773195876	0.0322164948453608	0	6.31443298969072	0.128865979381443	0	0.0966494845360825	1.61082474226804	0.0322164948453608	0	0	0	0.418814432989691	2.19072164948454	8.79510309278351	0.322164948453608	16.784793814433	0	0	0.0644329896907216	28.5115979381443	0.0322164948453608	0.0644329896907216	0	0	2.2229381443299	0.77319587628866	0	0	0.128865979381443	0	0.418814432989691	0.38659793814433	0.0322164948453608
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	72.5	"AWI"	72.5	1147.5	1383	1272.5	0	15.9881569207994	0.481125092524056	0.296076980014804	0	2.70170244263509	0	0	0	0.0370096225018505	0	0	0	6.92079940784604	1.48038490007402	0	0	0	0	7.51295336787565	0.111028867505551	0	0.0370096225018505	0.851221317542561	0	0	0	0	0.74019245003701	1.70244263508512	10.2886750555144	0.481125092524056	17.9866765358993	0	0	0.111028867505551	26.2768319763138	0.0370096225018505	0.074019245003701	0	0	3.21983715766099	1.22131754256107	0	0	0	0	0.592153960029608	0.851221317542561	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	77.5	"AWI"	77.5	1180	1421	1301	0	17.3748819641171	0.330500472143532	0.377714825306893	0	4.39093484419263	0	0	0	0	0	0	0	8.82908404154863	1.88857412653447	0.0472143531633617	0	0	0	6.8932955618508	0.188857412653447	0	0	0.519357884796978	0.0472143531633617	0	0	0	0.897072710103871	1.08593012275732	8.73465533522191	0	16.4778092540132	0	0	0.0944287063267233	24.4570349386213	0.0944287063267233	0.0944287063267233	0	0	3.25779036827195	2.45514636449481	0	0	0	0	0.802644003777148	0.661000944287063	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	82.5	"AWI"	82.5	1201.5	1462.5	1332	0	17.5887978142076	0.819672131147541	0.546448087431694	0	2.73224043715847	0	0	0	0	0	0	0	9.18715846994536	2.45901639344262	0	0	0	0	6.04508196721311	0.170765027322404	0	0.0341530054644809	0.204918032786885	0	0	0	0	0.751366120218579	0.922131147540984	7.78688524590164	0.273224043715847	19.9112021857924	0	0	0	23.7704918032787	0.0341530054644809	0.136612021857924	0	0	1.87841530054645	3.17622950819672	0	0.0341530054644809	0	0	0.580601092896175	0.956284153005465	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	87.5	"AWI"	87.5	1239.5	1493	1366.5	0	14.3845593590677	0.436999271667881	0.21849963583394	0	1.93008011653314	0	0	0.0364166059723234	0	0	0	0	6.00873998543336	2.03932993445011	0	0	0	0	5.38965768390386	0.32774945375091	0	0.0364166059723234	0.619082301529497	0	0	0	0	0.728332119446468	1.0924981791697	13.2192279679534	0.182083029861617	27.1667880553532	0	0	0.0364166059723234	20.9031318281136	0	0.0728332119446468	0	0	2.43991260014567	1.56591405680991	0	0	0	0	0.509832483612527	0.655498907501821	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	92.5	"AWI"	92.5	1266.5	1542.5	1398	0	16.1248374512354	0.357607282184655	0.260078023407022	0	2.01560468140442	0	0	0.0325097529258778	0.0325097529258778	0	0	0	6.63198959687906	1.4629388816645	0	0	0	0	4.55136540962289	0.227568270481144	0	0	0.260078023407022	0	0	0	0	0.812743823146944	0.942782834850455	10.3055916775033	0.260078023407022	26.9180754226268	0	0	0.0325097529258778	23.407022106632	0	0.0325097529258778	0	0	2.17815344603381	1.85305591677503	0	0	0	0	0.487646293888166	0.780234070221066	0.0325097529258778
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	97.5	"AWI"	97.5	1307	1583.5	1433.5	0.0351864883884588	18.2969739619986	0.211118930330753	0.140745953553835	0	1.58339197748065	0	0	0.0351864883884588	0	0	0	0	6.1576354679803	1.33708655876144	0	0	0	0	2.56861365235749	0.351864883884588	0	0.0351864883884588	0.105559465165376	0	0	0	0	1.09078114004222	0.5981703026038	11.1541168191414	0.387051372273047	26.4250527797326	0	0	0.0351864883884588	24.1027445460943	0	0	0	0	2.32230823363828	1.82969739619986	0	0	0	0	0.457424349049965	0.738916256157635	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	102.5	"AWI"	102.5	1342.5	1621	1471.5	0	18.8031161473088	0.28328611898017	0.424929178470255	0	2.05382436260623	0	0	0	0	0	0.0354107648725212	0	5.91359773371105	2.08923512747875	0	0	0	0	2.51416430594901	0.601983002832861	0	0.141643059490085	0.141643059490085	0.0708215297450425	0	0	0	0.84985835694051	0.0354107648725212	10.8356940509915	0.318696883852691	28.257790368272	0	0	0	22.0963172804533	0.141643059490085	0.141643059490085	0	0	2.3371104815864	0.672804532577904	0	0	0	0	0.354107648725212	0.885269121813031	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	107.5	"AWI"	107.5	1382.5	1694	1523.5	0	16.8211465842774	0.446275317542053	0.308959835221421	0	2.26570545829042	0	0	0.0343288705801579	0	0	0	0.17164435290079	7.00308959835222	1.44181256436663	0	0	0.0343288705801579	0	2.91795399931342	0.274630964641263	0	0.137315482320632	0.240302094061105	0.0343288705801579	0	0	0	1.13285272914521	0.411946446961895	10.3329900446275	0.240302094061105	28.2869893580501	0	0	0	22.382423618263	0.137315482320632	0.0343288705801579	0	0	2.64332303467216	1.09852385856505	0	0	0	0	0.617919670442842	0.549261929282527	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	112.5	"AWI"	112.5	1427.5	1779	1578.5	0	20.8436724565757	0.283587380361574	0.319035802906771	0	2.23325062034739	0	0	0	0	0	0.0354484225451967	0	6.80609712867777	1.70152428216944	0	0	0	0	2.26869904289259	0.389932647997164	0	0.141793690180787	0.10634526763559	0	0	0	0	1.38248847926267	0.354484225451967	9.03934774902517	0.248138957816377	29.4930875576037	0	0	0.0354484225451967	19.6029776674938	0.0354484225451967	0	0	0	2.23325062034739	0.850762141084722	0	0	0	0	0.673520028358738	0.921658986175115	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	117.5	"AWI"	117.5	1468.5	1848.5	1645	0	22.2006974041069	0.193723363037582	0.0774893452150329	0	2.24719101123596	0	0	0.0387446726075165	0	0	0	0	6.97404106935296	1.89848895776831	0	0	0	0	1.54978690430066	0.271212708252615	0	0.0774893452150329	0.387446726075165	0	0	0	0	0.929872142580395	0.387446726075165	11.9721038357226	0.193723363037582	27.3149941882991	0	0	0	19.6822936846184	0.0387446726075165	0.0774893452150329	0	0	2.20844633862844	0.581170089112747	0	0	0	0	0.0774893452150329	0.619914761720263	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	122.5	"AWI"	122.5	1533.5	1915.5	1707	0	22.849025974026	0.243506493506494	0.202922077922078	0	2.19155844155844	0	0	0	0	0	0	0	8.40097402597403	1.70454545454545	0	0	0	0	1.21753246753247	0.324675324675325	0	0	0.162337662337662	0	0	0	0	1.2987012987013	0.446428571428571	10.6331168831169	0	28.5308441558442	0	0	0	17.2483766233766	0	0	0	0.0405844155844156	2.02922077922078	0.974025974025974	0	0	0	0	0.771103896103896	0.73051948051948	0
