"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Buxus"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juniperus"	"Lamiaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
14549	22805	"Les Palanques"	42.16222	2.43806	277	"AWI"	277	2547	3516	2968	2.9535864978903	0	1.68776371308017	2.53164556962025	1.26582278481013	3.37552742616034	2.10970464135021	0	0	0	0	6.32911392405063	7.59493670886076	0	3.79746835443038	0.421940928270042	5.06329113924051	0	0	0	14.7679324894515	4.21940928270042	0	0.421940928270042	35.0210970464135	7.17299578059072	0	0.421940928270042	0	0	0.843881856540084
14549	22805	"Les Palanques"	42.16222	2.43806	287	"AWI"	287	2652	3697	3114	3.62694300518135	0	2.84974093264249	1.03626943005181	0.259067357512953	2.07253886010363	2.33160621761658	0.259067357512953	0	0	0	8.03108808290155	5.69948186528497	0	3.62694300518135	0	6.99481865284974	0	0	0	14.7668393782383	1.55440414507772	14.7668393782383	0	24.6113989637306	7.51295336787565	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	297	"AWI"	297	2757	3860	3258	10.4529616724739	0	0.348432055749129	0	0	0.348432055749129	1.04529616724739	0	0.696864111498258	0	0	2.09059233449477	12.8919860627178	0	1.04529616724739	0.348432055749129	0.348432055749129	0	0	0	62.3693379790941	0.348432055749129	0	0.348432055749129	4.8780487804878	1.04529616724739	0.348432055749129	0	0	0	1.04529616724739
14549	22805	"Les Palanques"	42.16222	2.43806	307	"AWI"	307	2863	4032	3399	1.49253731343284	0	0	0	0	0.271370420624152	0	0	0.271370420624152	0	0	3.52781546811398	40.0271370420624	0	0.407055630936228	0	0	0	0	0	43.4192672998643	0.135685210312076	0	0	7.86974219810041	0.814111261872456	0	0	0	0.67842605156038	1.08548168249661
14549	22805	"Les Palanques"	42.16222	2.43806	317	"AWI"	317	2982	4197	3540	2.57510729613734	0.214592274678112	0	0	0	0.214592274678112	0	0.214592274678112	0.429184549356223	0	0	3.6480686695279	20.8154506437768	0	0.214592274678112	0	0	0	0.214592274678112	0	62.4463519313305	0	0	0	7.93991416309013	0.429184549356223	0	0	0	0.214592274678112	0.429184549356223
14549	22805	"Les Palanques"	42.16222	2.43806	327	"AWI"	327	3092	4359	3685	7.08333333333333	0	0.416666666666667	0.416666666666667	0	0.416666666666667	0	0	0.416666666666667	0	0.416666666666667	5.83333333333333	20.8333333333333	0	0	0	0	0	0	0	52.9166666666667	0	0	0	8.75	0	0	0	0	1.25	1.25
14549	22805	"Les Palanques"	42.16222	2.43806	337	"AWI"	337	3221	4513	3823	4.62633451957295	0	27.7580071174377	0.355871886120996	0	1.06761565836299	0	0.355871886120996	1.06761565836299	0	0	4.27046263345196	7.47330960854092	0.355871886120996	0.355871886120996	0.355871886120996	7.47330960854092	0	0	0	16.7259786476868	1.06761565836299	0	0	19.9288256227758	4.62633451957295	0	0	0	0	2.13523131672598
14549	22805	"Les Palanques"	42.16222	2.43806	347	"AWI"	347	3345	4667	3967	3.125	0.1953125	3.3203125	0.5859375	0.390625	2.1484375	12.3046875	0.390625	1.5625	0	0.1953125	4.6875	4.8828125	0	1.7578125	0.78125	7.03125	0	0	0.1953125	7.421875	3.515625	11.1328125	0	30.859375	2.734375	0.1953125	0	0.1953125	0	0.390625
14549	22805	"Les Palanques"	42.16222	2.43806	357	"AWI"	357	3468	4817	4107	5.19230769230769	0	2.88461538461538	0.384615384615385	0.192307692307692	2.69230769230769	11.5384615384615	0.384615384615385	0.384615384615385	0	0	7.30769230769231	5.38461538461539	0	1.92307692307692	0.576923076923077	4.80769230769231	0	0.192307692307692	0	16.5384615384615	2.5	0	0	30.1923076923077	3.07692307692308	2.69230769230769	0.192307692307692	0.192307692307692	0.576923076923077	0.192307692307692
14549	22805	"Les Palanques"	42.16222	2.43806	368	"AWI"	368	3618	4986	4269	2.43161094224924	0	3.3434650455927	1.21580547112462	0.60790273556231	3.3434650455927	0	0.303951367781155	0.60790273556231	0	0	8.51063829787234	1.51975683890578	0.303951367781155	3.3434650455927	0	4.86322188449848	0	0	0	13.0699088145897	2.43161094224924	9.72644376899696	0.303951367781155	34.6504559270517	7.90273556231003	0.60790273556231	0.303951367781155	0.303951367781155	0	0.303951367781155
