"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Ericales"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
26568	46462	"Novoalex peatland"	55.11806	41.03972	80	"AWI"	80	3787	4697	4172	76	5	1	5	0	200	0	10	9	3	234	0	0	0	44	0	0	0	50	15	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	85	"AWI"	85	3931	4995	4400	59	5	0	8	0	150	0	10	20	7	219	2	0	0	53	0	0	0	46	14	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	90	"AWI"	90	4123	5232	4640	59	2	2	9	0	262	0	8	2	4	85	0	0	0	37	0	0	0	38	34	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	95	"AWI"	95	4316	5467	4884	44	2	0	7	0	138	0	5	0	2	251	1	0	0	34	0	0	0	39	20	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	100	"AWI"	100	4512	5643	5123	56	0	0	6	0	150	0	3	7	5	241	0	0	0	29	0	0	0	24	26	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	105	"AWI"	105	4735	5850	5357	26	3	0	4	0	269	0	2	3	2	208	0	0	0	12	0	0	0	10	16	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	110	"AWI"	110	4989	6011	5581	27	3	0	14	0	279	1	5	2	4	92	1	0	0	49	0	0	3	32	34	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	115	"AWI"	115	5270	6161	5807	47	3	0	16	0	150	0	8	1	3	192	0	0	0	42	0	0	0	64	32	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	120	"AWI"	120	5625	6296	6019	49	0	0	4	0	254	0	3	3	2	169	0	0	0	34	0	0	5	24	30	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	125	"AWI"	125	5799	6437	6166	64	1	0	7	0	206	0	19	2	0	152	2	0	0	33	0	0	0	20	20	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	130	"AWI"	130	5912	6582	6278	30	2	0	9	0	315	0	2	2	2	107	0	0	0	25	0	0	0	22	29	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	135	"AWI"	135	6039	6698	6386	37	2	0	12	0	208	0	2	3	3	202	1	0	0	21	0	0	0	29	18	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	140	"AWI"	140	6151	6818	6496	62	2	0	13	0	209	0	4	0	2	198	0	0	0	29	0	0	0	47	33	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	145	"AWI"	145	6250	6919	6601	49	0	2	21	0	231	0	35	1	2	129	0	0	0	10	0	0	1	37	33	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	150	"AWI"	150	6367	7016	6709	29	2	1	8	0	257	0	2	3	1	202	0	0	0	4	0	0	1	21	21	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	155	"AWI"	155	6478	7103	6814	34	0	1	13	0	180	0	48	1	4	202	0	0	0	10	0	0	1	25	36	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	160	"AWI"	160	6603	7184	6919	41	2	0	11	0	262	0	3	0	1	150	0	0	0	17	0	0	1	28	20	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	165	"AWI"	165	6734	7266	7031	28	4	0	19	0	180	0	16	0	1	244	1	0	0	7	0	0	0	18	15	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	170	"AWI"	170	6875	7343	7142	22	2	1	10	0	278	0	0	0	0	162	1	0	0	14	0	0	0	23	13	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	175	"AWI"	175	6982	7430	7234	13	1	1	4	0	273	0	7	0	0	201	0	0	0	2	0	0	0	15	3	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	180	"AWI"	180	7072	7525	7318	15	3	1	17	0	275	0	0	0	0	196	1	0	0	5	0	0	2	8	14	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	185	"AWI"	185	7158	7606	7405	9	1	0	6	0	187	0	12	1	1	280	0	0	1	1	0	0	0	16	14	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	190	"AWI"	190	7258	7676	7489	10	1	0	10	0	356	0	2	0	0	123	1	0	0	3	0	0	0	17	8	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	195	"AWI"	195	7368	7747	7580	7	3	0	12	0	256	0	12	0	0	139	4	0	1	5	0	0	0	42	9	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	200	"AWI"	200	7447	7812	7649	2	2	0	6	0	166	0	1	0	4	318	1	0	6	0	0	0	0	10	13	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	205	"AWI"	205	7499	7890	7701	8	0	0	5	0	240	0	4	0	1	251	1	0	0	3	0	0	0	3	4	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	210	"AWI"	210	7553	7959	7753	1	2	0	7	0	160	0	0	0	0	340	1	0	5	1	0	0	0	1	7	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	215	"AWI"	215	7609	8017	7809	3	0	1	11	0	212	0	2	0	0	290	2	0	0	1	0	0	0	0	3	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	220	"AWI"	220	7663	8072	7862	3	1	1	7	0	180	0	0	0	0	322	3	0	2	1	0	0	0	0	1	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	225	"AWI"	225	7718	8132	7915	3	0	0	17	0	188	0	0	0	0	292	2	0	0	0	0	0	0	0	3	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	230	"AWI"	230	7785	8195	7966	7	4	0	7	0	231	0	1	0	0	259	0	0	0	1	0	0	0	1	4	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	235	"AWI"	235	7849	8266	8015	1	3	0	11	0	313	0	7	1	1	169	1	5	0	0	0	0	6	0	4	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	240	"AWI"	240	7903	8353	8091	1	4	1	10	0	242	0	3	0	2	266	1	2	0	1	0	0	2	0	4	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	245	"AWI"	245	7952	8462	8167	7	2	1	13	0	219	0	6	11	1	279	0	0	0	1	0	2	2	6	6	0
