"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15809	24317	"Grächen See"	46.19556	7.845	485	"AWI"	485	4386	5125	4779	32	1	0	0	0	0	0	0	12	0	0	0	0	0	0	3	18	1	0	0	0	0	0	0	0	0	34	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	505	"AWI"	505	4581	5266	4933	32	0	86	0	0	0	1	0	15	0	0	0	0	0	0	2	4	0	0	0	2	0	0	0	0	0	41	0	0	0	0	19	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	525	"AWI"	525	4795	5395	5088	27	0	0	0	0	0	2	0	20	0	0	0	0	0	0	3	18	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	545	"AWI"	545	4972	5549	5250	30	0	0	1	1	0	0	0	20	0	0	0	0	0	0	1	35	0	0	0	0	0	0	0	0	0	27	0	0	0	0	2	399	0	0	0	6	0	0	0	0	0	0	0	1	3	0	0
15809	24317	"Grächen See"	46.19556	7.845	565	"AWI"	565	5111	5746	5408	6	0	53	0	0	0	0	0	7	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	51	0	0	0	0	1	138	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0
15809	24317	"Grächen See"	46.19556	7.845	585	"AWI"	585	5271	5932	5572	5	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	22	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	605	"AWI"	605	5440	6104	5732	7	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	625	"AWI"	625	5626	6261	5879	13	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	265	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	645	"AWI"	645	5849	6564	6183	18	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	8	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	665	"AWI"	665	6130	6865	6504	8	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	13	0	0	0	0	8	119	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
15809	24317	"Grächen See"	46.19556	7.845	675	"AWI"	675	6290	6998	6661	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	685	"AWI"	685	6403	7140	6800	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	60	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	695	"AWI"	695	6491	7307	6907	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	705	"AWI"	705	6579	7471	7014	10	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	81	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	715	"AWI"	715	6663	7615	7121	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	725	"AWI"	725	6744	7761	7231	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	735	"AWI"	735	6831	7905	7341	2	0	0	0	1	0	1	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	745	"AWI"	745	6916	8048	7451	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	750	"AWI"	750	6956	8128	7503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
