"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Iridaceae"	"Lamiaceae"	"Linaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	76	"AWI"	76	3939	5794	5070	16	1	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	57	36	1	0	0	0	0	0	0	0	0	0	20	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	82	"AWI"	82	4570	6131	5599	39	0	0	9	0	0	0	0	0	2	21	0	0	0	0	0	0	18	65	19	0	5	0	3	0	0	2	0	0	50	1	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	88	"AWI"	88	5587	6244	5958	62	2	0	7	0	0	2	0	0	5	24	0	0	0	0	0	0	15	102	21	0	12	1	0	0	0	0	0	0	12	1	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	91.5	"AWI"	91.5	5897.5	6366.5	6167.5	42	2	0	3	0	0	1	0	0	9	11	0	0	0	0	0	0	3	10	9	0	9	0	1	0	0	2	0	0	3	3	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	94	"AWI"	94	6093	6457	6292	61	1	0	9	0	0	1	0	0	17	12	0	0	0	0	0	0	12	125	7	0	26	0	1	0	0	3	0	0	18	13	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	96	"AWI"	96	6213	6557	6389	42	2	0	7	0	0	2	0	0	6	21	0	0	0	0	0	0	28	111	6	0	18	0	2	0	0	2	0	0	6	14	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	99	"AWI"	99	6321	6780	6536	92	0	0	3	0	0	3	0	0	2	15	0	0	0	0	0	0	9	90	4	0	18	0	0	1	0	3	0	0	9	30	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	102	"AWI"	102	6529	6950	6712	27	8	0	7	0	65	4	0	0	4	14	0	0	0	0	0	0	6	107	7	0	14	0	2	0	0	2	0	0	4	18	2	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	106	"AWI"	106	6828	7141	6970	31	0	0	2	0	0	8	0	0	4	8	0	0	0	0	0	0	17	138	7	0	4	0	4	0	0	1	0	0	4	12	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	108	"AWI"	108	6926	7250	7109	54	0	0	1	0	0	3	0	0	1	5	0	0	0	0	0	0	5	101	6	0	14	0	1	0	0	2	0	0	6	4	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	111	"AWI"	111	7034	7395	7265	28	0	0	4	0	0	5	1	0	4	9	0	0	0	0	0	0	1	82	5	0	14	0	3	0	0	2	0	0	12	28	0	1
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	113	"AWI"	113	7099	7414	7302	48	2	0	1	0	0	1	0	0	8	10	0	0	0	0	0	0	6	67	6	0	20	0	2	0	0	0	0	0	6	26	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	118	"AWI"	118	7197	7532	7392	38	4	0	2	0	0	4	0	0	4	4	0	0	0	0	0	0	17	99	4	0	12	0	0	0	0	3	0	0	2	18	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	128	"AWI"	128	7306	7705	7508	31	0	1	3	0	0	0	1	0	4	7	0	0	1	0	0	0	5	65	3	0	12	0	0	0	0	2	1	0	2	17	0	3
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	138	"AWI"	138	7426	7814	7615	40	0	2	1	0	0	3	0	0	8	10	0	0	0	0	0	0	4	81	5	0	7	0	0	0	0	4	0	2	2	10	0	3
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	148	"AWI"	148	7572	7901	7719	26	6	0	7	0	0	2	0	0	4	5	0	0	0	0	0	0	2	82	10	0	6	0	2	0	2	0	2	0	4	18	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	158	"AWI"	158	7650	8073	7832	18	2	4	1	0	0	0	0	0	2	3	0	0	0	0	0	0	2	62	4	2	2	0	0	0	1	2	0	0	9	8	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	168	"AWI"	168	7726	8251	7948	14	0	0	1	0	0	0	0	0	6	2	0	0	0	0	0	0	6	52	4	0	4	0	0	0	2	4	0	0	1	4	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	178	"AWI"	178	7813	8414	8069	4	0	0	4	0	0	1	0	0	0	3	0	0	0	0	0	1	2	82	6	0	0	0	0	0	0	0	0	0	0	3	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	188	"AWI"	188	7907	8584	8186	0	9	0	37	0	65	3	0	1	0	11	1	0	0	0	0	0	0	17	32	0	0	0	0	0	0	15	0	0	0	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	192	"AWI"	192	7948	8653	8232	0	24	4	56	0	64	0	0	0	0	6	0	2	0	0	0	0	2	6	8	0	0	0	0	0	0	8	0	0	0	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	199	"AWI"	199	8025	8765	8318	0	25	0	62	0	19	0	0	0	0	6	0	0	0	0	0	0	15	26	7	1	2	0	0	0	0	1	0	0	1	0	0	0
