"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	165	"AWI"	165	5537	7327	6430	7	0	0	0	0	0	99	0	0	0	0	68	13	36	0	0	0	0	0	49	174	0	28	0	10	0	0	0	1	3	0	1	0	10	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	170	"AWI"	170	5750	7714	6911	9	0	0	0	0	0	73	0	0	0	0	59	11	0	0	0	0	2	0	3	106	0	27	0	7	0	0	0	0	2	0	0	0	5	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	175	"AWI"	175	6670	7819	7315	2	0	0	1	0	0	73	0	0	0	0	63	9	0	0	0	0	0	0	1	115	0	35	0	2	0	0	0	0	4	0	1	0	7	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	180	"AWI"	180	7283	8049	7738	6	0	0	0	0	0	97	0	0	0	0	88	11	31	0	0	0	3	0	6	181	0	55	0	8	0	0	0	2	12	0	0	0	8	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	185	"AWI"	185	7423	8421	7916	2	0	0	0	0	0	41	0	0	0	0	26	1	80	0	0	0	0	0	3	145	0	7	0	5	0	0	0	2	2	0	0	0	7	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	190	"AWI"	190	7527	8968	8069	1	0	0	0	0	0	62	0	0	0	0	58	10	47	0	0	0	1	0	13	124	0	32	0	7	0	0	0	0	5	0	0	0	6	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	195	"AWI"	195	7661	9238	8272	3	0	0	0	0	0	59	0	0	0	0	40	10	47	0	0	0	0	0	0	129	0	10	0	2	0	0	0	1	4	0	0	0	7	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	200	"AWI"	200	7749	9646	8451	0	0	0	0	0	0	93	0	0	0	0	61	10	0	0	0	0	0	0	0	95	0	5	0	3	0	0	0	0	3	0	0	0	9	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	205	"AWI"	205	7886	9907	8655	1	2	0	0	0	0	68	0	0	0	0	78	1	0	0	0	0	0	0	0	121	0	2	0	4	0	0	0	0	1	0	0	0	6	1	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	210	"AWI"	210	7985	10259	8845	0	0	0	0	0	0	84	0	0	0	0	42	11	99	0	0	0	0	0	1	105	0	10	0	3	0	0	0	3	2	0	0	0	8	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	215	"AWI"	215	8118	10479	9052	1	0	0	1	0	0	141	0	0	0	0	66	10	13	0	0	0	0	0	11	49	0	7	0	7	0	0	0	1	9	0	0	0	3	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	220	"AWI"	220	8225	10787	9249	3	0	0	0	0	0	133	0	0	0	0	48	9	0	0	0	0	0	0	18	55	0	14	0	6	0	0	0	1	8	0	2	0	3	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	225	"AWI"	225	8390	11032	9446	1	0	0	0	0	0	105	0	0	0	0	99	26	0	0	0	0	0	1	49	83	0	78	1	5	0	0	0	2	13	0	1	1	5	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	230	"AWI"	230	8521	11324	9637	0	0	2	0	0	0	156	1	0	0	0	125	21	0	0	0	0	0	0	42	41	0	63	0	0	0	0	0	3	14	0	0	0	3	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	235	"AWI"	235	8673	11564	9837	2	0	0	0	0	0	140	0	0	0	0	109	20	0	10	0	0	0	0	55	47	0	87	0	4	0	0	0	9	13	0	1	0	7	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	240	"AWI"	240	8785	11875	10027	0	0	0	0	0	0	162	0	0	0	0	138	49	0	0	0	0	0	0	70	26	0	86	0	6	0	19	0	11	12	0	2	0	6	0	1
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	245	"AWI"	245	8958	12128	10233	0	0	0	0	0	0	172	0	0	0	0	139	180	0	0	0	0	0	0	76	15	0	116	0	6	0	0	0	36	18	0	0	0	7	0	1
