"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	206	"AWI"	206	3563	4053	3793	294	0	3	2	1	0	23	8	0	0	42	3	0	0	0	0	0	8	0	17	0	0	0	3	1	0	0	8	0	44	2	0	0	1	0	40	0	0	0	0	0	2	4	2	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	214	"AWI"	214	3652	4158	3903	254	0	1	0	0	0	51	0	0	0	38	4	0	1	0	0	0	2	0	4	0	0	0	1	0	0	0	0	0	46	0	0	0	1	0	53	0	0	0	0	0	0	2	1	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	222	"AWI"	222	3757	4259	4011	240	0	6	5	0	0	50	0	0	0	74	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	17	0	0	0	0	0	0	1	0	14
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	230	"AWI"	230	3860	4370	4119	349	0	0	0	0	0	34	0	0	0	44	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	43	1	0	0	0	0	15	0	0	0	0	0	2	1	0	3
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	238	"AWI"	238	3978	4466	4226	204	0	0	0	0	0	163	0	0	0	50	6	0	0	0	1	0	3	0	3	0	0	0	0	2	0	0	0	0	37	2	0	0	3	0	13	0	0	0	0	4	0	1	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	246	"AWI"	246	4086	4560	4337	281	0	2	0	0	0	51	1	0	0	46	6	0	0	0	0	0	3	0	2	0	0	0	0	4	0	0	0	1	56	1	0	0	0	0	18	0	0	3	0	0	5	0	1	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	254	"AWI"	254	4207	4654	4445	222	1	0	2	0	0	109	0	0	0	70	2	0	0	0	0	1	8	0	7	0	0	0	0	0	0	0	0	3	44	1	0	0	0	0	20	0	0	0	0	0	4	4	1	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	262	"AWI"	262	4336	4733	4552	321	0	0	0	0	0	38	0	0	0	43	7	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	38	0	0	0	0	0	4	2	1	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	270	"AWI"	270	4463	4809	4660	182	0	0	0	0	0	132	1	0	0	69	14	0	0	0	0	0	5	0	5	0	0	0	0	2	0	0	0	3	46	4	0	0	0	0	19	0	0	0	0	0	5	4	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	278	"AWI"	278	4605	4907	4768	446	0	0	0	0	0	11	1	0	0	3	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	5	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	286	"AWI"	286	4696	5097	4888	193	3	1	2	0	0	69	2	0	0	37	72	0	0	0	0	1	9	0	2	0	0	0	0	0	0	0	0	18	48	0	0	0	0	0	19	0	0	0	0	0	2	1	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	294	"AWI"	294	4798	5236	5010	146	1	0	0	0	0	24	2	0	0	37	166	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	18	38	0	0	0	8	0	7	0	0	0	0	0	5	4	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	302	"AWI"	302	4909	5373	5136	239	0	2	3	0	0	14	0	0	0	30	118	0	0	0	0	6	5	0	4	0	0	0	0	1	0	0	0	2	37	1	0	0	0	0	5	0	0	0	0	0	7	3	4	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	310	"AWI"	310	5020	5499	5262	259	0	0	0	0	0	10	0	0	0	32	103	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	51	0	0	0	1	0	7	0	0	0	0	0	4	2	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	318	"AWI"	318	5154	5608	5386	148	1	2	0	0	0	3	2	0	0	35	214	0	0	0	0	0	3	0	5	0	0	0	0	2	0	0	0	3	68	1	0	0	1	0	0	0	0	0	0	0	3	4	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	326	"AWI"	326	5300	5727	5511	48	2	5	0	0	0	11	1	0	0	108	119	0	0	0	1	0	1	0	0	1	0	0	0	4	0	0	0	4	71	0	0	0	7	0	0	0	0	0	0	0	3	1	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	334	"AWI"	334	5482	5825	5628	49	41	5	1	0	0	18	4	0	0	36	80	0	0	0	0	2	12	0	12	0	0	0	0	5	0	0	0	3	71	6	1	0	0	0	0	0	0	0	0	0	14	6	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	340	"AWI"	340	5603	5916	5718	156	12	1	0	0	0	18	1	0	0	39	33	0	0	0	0	1	6	0	5	0	0	0	0	2	0	0	0	3	38	1	1	0	0	0	7	1	0	0	0	0	6	4	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	344	"AWI"	344	5633	6005	5776	81	25	0	0	0	0	8	0	0	0	40	87	0	0	0	0	0	1	0	13	0	0	0	0	19	0	1	0	4	100	1	0	0	0	0	5	0	1	0	0	0	1	11	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	348	"AWI"	348	5670	6094	5837	21	93	1	0	0	0	10	3	0	0	28	101	0	0	1	0	0	0	0	20	0	0	0	0	15	0	0	0	0	111	2	0	0	0	0	5	0	0	0	0	0	5	7	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	352	"AWI"	352	5707	6190	5895	9	168	1	0	0	0	13	0	0	0	26	67	0	0	0	0	0	0	0	13	0	0	0	0	7	0	1	0	1	85	6	0	0	0	0	2	0	0	0	0	0	5	7	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	356	"AWI"	356	5742	6281	5956	15	68	0	0	0	0	6	0	0	0	11	53	0	0	0	0	0	3	0	11	0	0	0	0	4	0	0	0	2	72	3	0	0	0	0	2	0	0	0	0	0	6	3	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	360	"AWI"	360	5779	6370	6016	14	37	1	1	1	0	7	1	0	0	18	16	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	27	1	0	0	0	0	0	0	0	0	0	0	6	12	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	366	"AWI"	366	5841	6474	6105	4	8	1	2	0	0	2	1	0	0	10	141	0	0	0	0	0	0	0	10	0	0	0	0	43	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
