"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16168	25481	"Lac des Boites"	45.05611	5.88528	225	"AWI"	225	2729	3369	3058	40	2	110	3	0	1	9	0	16	0	0	1	0	0	0	1	0	0	0	27	0	29	0	0	0	0	0	110	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	2	100	0	0	0	0	0	32	0	0	0	46	0	5	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	2
16168	25481	"Lac des Boites"	45.05611	5.88528	230	"AWI"	230	2767	3421	3101	35	1	29	1	0	0	4	0	7	0	0	0	1	0	0	0	0	0	0	11	0	3	0	0	0	0	0	112	0	2	0	0	0	0	0	3	2	0	0	0	0	0	0	0	74	0	0	0	0	0	13	0	0	0	23	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	235	"AWI"	235	2825	3464	3143	46	1	0	2	0	0	1	0	24	0	0	0	1	0	0	1	0	0	0	19	0	13	0	0	0	0	0	115	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	1	108	58	0	0	0	0	26	0	0	0	38	2	2	0	0	0	1	2	0	0	0	0	0	1	1	5	3	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	240	"AWI"	240	2863	3514	3185	51	1	47	0	0	0	3	0	35	0	0	1	0	0	0	0	0	0	0	21	0	2	0	0	0	0	0	102	0	5	0	0	0	0	0	2	1	0	0	0	0	1	0	2	49	38	0	0	0	0	30	0	0	0	54	0	1	0	0	0	3	0	0	0	1	0	0	1	1	5	2	0	1
16168	25481	"Lac des Boites"	45.05611	5.88528	245	"AWI"	245	2913	3551	3229	78	0	0	2	0	0	0	0	31	0	0	2	0	0	0	1	0	0	0	36	0	9	0	0	0	0	0	94	0	3	0	0	0	0	0	3	0	0	1	0	1	0	0	1	98	0	0	0	0	0	11	0	0	0	79	0	5	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	3
16168	25481	"Lac des Boites"	45.05611	5.88528	250	"AWI"	250	2952	3602	3274	72	1	29	1	0	0	1	0	26	0	0	0	1	0	0	0	0	0	0	19	0	10	0	0	0	0	0	82	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	54	0	0	0	0	0	9	0	0	0	37	1	0	0	0	1	3	2	0	1	0	0	0	0	3	7	0	1	2
16168	25481	"Lac des Boites"	45.05611	5.88528	255	"AWI"	255	3018	3641	3319	65	0	0	2	0	0	3	0	20	0	0	0	0	0	0	0	0	0	0	26	0	9	0	0	0	0	0	94	0	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0	92	66	0	0	0	0	0	0	0	1	47	4	0	0	0	0	5	0	0	0	0	0	0	0	5	0	1	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	260	"AWI"	260	3067	3689	3368	64	3	33	2	0	0	3	0	32	0	0	0	1	0	0	0	0	0	0	34	0	0	0	0	0	0	0	99	0	3	0	1	0	0	0	1	0	0	0	0	1	0	0	0	40	37	0	0	0	0	27	0	1	0	53	1	0	0	0	1	1	1	0	0	0	0	0	0	1	13	0	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	265	"AWI"	265	3196	3735	3434	140	0	0	2	0	0	5	0	26	0	0	0	0	0	0	0	0	0	0	36	0	16	0	0	0	0	0	93	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	37	1	0	0	0	0	0	0	0	73	2	2	0	0	1	8	1	0	0	0	0	0	0	1	10	2	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	270	"AWI"	270	3275	3794	3503	94	4	29	1	0	0	3	0	90	0	0	0	4	0	0	0	0	0	0	34	0	22	0	0	0	0	0	81	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6	32	0	0	0	0	0	0	0	0	96	1	5	0	0	0	3	0	0	0	0	0	0	1	3	9	2	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	275	"AWI"	275	3440	3858	3596	224	2	0	1	0	0	4	0	68	0	0	0	1	0	0	0	0	0	0	45	0	12	0	0	0	0	0	71	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	57	0	0	0	0	0	0	0	0	59	4	2	0	0	0	3	2	0	0	0	0	0	2	8	11	2	0	1
16168	25481	"Lac des Boites"	45.05611	5.88528	280	"AWI"	280	3490	4008	3690	132	1	22	0	0	0	4	0	53	0	0	0	2	0	0	0	0	0	0	9	0	10	0	0	0	0	0	72	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	40	0	0	0	0	0	0	0	0	39	0	5	0	0	0	2	1	1	0	0	0	0	1	3	8	1	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	285	"AWI"	285	3582	4171	3835	216	4	0	1	0	0	2	0	57	0	0	0	0	0	0	0	0	0	0	38	0	13	0	0	0	0	0	70	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	47	0	8	0	0	0	3	1	0	0	2	0	0	1	9	13	2	0	1
16168	25481	"Lac des Boites"	45.05611	5.88528	290	"AWI"	290	3629	4461	3963	120	4	0	0	0	1	2	0	57	0	0	1	2	0	0	0	0	0	0	29	0	12	0	0	0	0	0	84	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	47	0	5	1	0	0	2	0	0	1	0	3	0	1	5	5	0	0	1
16168	25481	"Lac des Boites"	45.05611	5.88528	295	"AWI"	295	3753	4554	4109	221	4	0	1	0	0	1	0	54	0	0	0	0	0	0	0	0	0	0	52	0	18	0	0	0	0	0	78	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	29	0	0	0	66	0	6	0	0	0	2	0	0	0	1	0	0	1	2	15	0	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	300	"AWI"	300	3812	4721	4254	77	2	0	0	2	0	5	0	60	0	0	0	0	0	0	0	0	0	0	21	0	11	0	0	0	0	0	61	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	31	0	0	0	0	0	0	1	0	26	0	4	0	0	0	1	0	0	0	0	1	0	0	5	1	1	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	305	"AWI"	305	3974	4791	4390	205	1	0	0	0	0	1	0	47	0	0	0	1	0	0	0	0	0	0	46	0	17	0	0	0	0	0	68	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	60	0	0	0	0	0	0	0	0	52	0	3	0	0	0	0	0	0	0	0	0	0	1	1	15	0	0	1
