"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Ulmus"
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1059	"AWI"	1059	12171	13581	13127	0	1.34228187919463	0	17.7852348993289	1.34228187919463	6.3758389261745	0.335570469798658	0	0.671140939597315	1.67785234899329	0	29.8657718120805	1.00671140939597	0	0	0.671140939597315	2.68456375838926	0	16.7785234899329	0	1.00671140939597	0	0.671140939597315	15.4362416107383	1.34228187919463	0	1.00671140939597	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1060	"AWI"	1060	12181	13600	13137	0	0	0	12.5806451612903	0	5.80645161290323	0	0	2.25806451612903	1.29032258064516	0	29.3548387096774	0	0	2.58064516129032	0.967741935483871	9.35483870967742	0	19.3548387096774	0	1.93548387096774	0	0.967741935483871	7.74193548387097	4.83870967741935	0	0.967741935483871	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1062	"AWI"	1062	12211	13623	13160	0	0	0	15.1515151515152	0	10.1010101010101	0	2.02020202020202	1.68350168350168	0.673400673400673	0	26.2626262626263	0	0	1.68350168350168	3.7037037037037	1.01010101010101	0	18.1818181818182	0.336700336700337	0.336700336700337	0	0.336700336700337	13.4680134680135	3.03030303030303	0	2.02020202020202	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1064	"AWI"	1064	12246	13647	13182	0	0	0.338983050847458	11.864406779661	0	9.49152542372881	0	0	0.677966101694915	0.677966101694915	0	34.2372881355932	2.71186440677966	0	0	1.69491525423729	7.45762711864407	0	15.2542372881356	0	0.677966101694915	0	0.338983050847458	10.8474576271186	3.05084745762712	0	0.677966101694915	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1066	"AWI"	1066	12273	13675	13205	0	0.341296928327645	0.341296928327645	10.2389078498294	0	10.580204778157	0.341296928327645	0	0.68259385665529	0.341296928327645	0	24.5733788395904	0	0	0	1.36518771331058	1.02389078498294	0	23.5494880546075	0	0	0	0.341296928327645	19.7952218430034	3.7542662116041	0	2.73037542662116	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1068	"AWI"	1068	12298	13703	13227	0	0	0.343642611683849	6.18556701030928	0	8.24742268041237	0.343642611683849	0	1.03092783505155	0.687285223367698	0	24.3986254295533	0	0	1.3745704467354	3.78006872852234	0.687285223367698	0	25.4295532646048	0	1.3745704467354	0	0.343642611683849	22.680412371134	2.06185567010309	0	1.03092783505155	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1070	"AWI"	1070	12317	13742	13248	0	0	0.352112676056338	2.46478873239437	0	5.63380281690141	0	0	0.704225352112676	0	0	24.6478873239437	0	0	0	5.98591549295775	5.28169014084507	0	31.3380281690141	0	0.352112676056338	0	0.704225352112676	19.3661971830986	2.46478873239437	0	0.704225352112676	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1072	"AWI"	1072	12353	13760	13271	0	0.699300699300699	0	2.0979020979021	2.0979020979021	5.94405594405594	0	0	0.699300699300699	0.34965034965035	0	20.6293706293706	0	0	2.44755244755245	6.29370629370629	5.24475524475525	0	29.020979020979	0	0.699300699300699	0	1.04895104895105	18.1818181818182	2.7972027972028	0.34965034965035	1.3986013986014	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1075	"AWI"	1075	12394	13798	13308	0.680272108843537	0	0	6.46258503401361	0	9.86394557823129	0.680272108843537	0	0.680272108843537	1.02040816326531	0.340136054421769	30.952380952381	3.40136054421769	0	0	4.08163265306122	4.42176870748299	1.02040816326531	18.7074829931973	0	1.36054421768707	0	0.340136054421769	12.9251700680272	1.36054421768707	0.340136054421769	1.36054421768707	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1077	"AWI"	1077	12415	13825	13330	0	0	0.350877192982456	7.01754385964912	0	22.8070175438596	0	0	0.701754385964912	1.05263157894737	0	12.280701754386	0	0	2.45614035087719	9.82456140350877	3.15789473684211	0	27.719298245614	0	0.701754385964912	0	0	7.01754385964912	4.56140350877193	0	0	0.350877192982456
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1080	"AWI"	1080	12453	13874	13363	0	0	0.357142857142857	2.5	0	26.7857142857143	0	0	0	0	0	8.57142857142857	1.42857142857143	0	0	19.2857142857143	1.07142857142857	0	30	0	2.5	0	0	4.64285714285714	1.78571428571429	0	1.07142857142857	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1083	"AWI"	1083	12496	13903	13399	0	0	0	2.38095238095238	1.02040816326531	16.6666666666667	0	0	0	0	0	8.16326530612245	0	0	0	19.047619047619	4.42176870748299	0	34.6938775510204	0	1.36054421768707	0	1.02040816326531	7.48299319727891	2.72108843537415	0	1.02040816326531	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1085	"AWI"	1085	12521	13925	13422	0	0	1.10294117647059	0.367647058823529	0	19.1176470588235	0.367647058823529	0	0	0.735294117647059	0	15.0735294117647	0	0	0	11.3970588235294	0.735294117647059	0	35.6617647058824	0	1.10294117647059	0	0.367647058823529	9.19117647058824	2.94117647058824	0	1.83823529411765	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1090	"AWI"	1090	12580	14004	13481	0	0	0.714285714285714	1.78571428571429	0	21.4285714285714	0	0	0	0	0	10.3571428571429	1.07142857142857	0	1.78571428571429	13.5714285714286	2.5	0	33.9285714285714	0	1.07142857142857	0	0.714285714285714	7.5	1.78571428571429	0	1.78571428571429	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1093	"AWI"	1093	12629	14037	13517	0	0	0.72992700729927	1.45985401459854	0	18.2481751824818	0	0	0.364963503649635	0	0	9.12408759124088	0	0	0	12.7737226277372	2.18978102189781	0	40.1459854014599	0	1.45985401459854	0	1.82481751824817	7.2992700729927	2.55474452554745	0	1.82481751824817	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1095	"AWI"	1095	12659	14064	13543	0	0	0	1.41342756183746	0	18.3745583038869	0	0	0	0	0	15.1943462897526	0	0	0	7.77385159010601	2.82685512367491	0	40.6360424028269	0	3.886925795053	0	1.76678445229682	5.65371024734982	0.706713780918728	0	1.76678445229682	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1100	"AWI"	1100	12721	14140	13600	0	0	0.714285714285714	0.357142857142857	0	20.7142857142857	0	0	0	0.714285714285714	0	12.1428571428571	0	0	0	5.35714285714286	0.357142857142857	0	46.4285714285714	0	1.07142857142857	0	2.14285714285714	5.71428571428571	2.5	0	1.78571428571429	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1103	"AWI"	1103	12772	14166	13641	0	0	0	1.81818181818182	1.09090909090909	22.1818181818182	0	0	0.363636363636364	1.09090909090909	0	11.6363636363636	0	0	0	9.45454545454546	0.727272727272727	0	40	0	0	0	1.45454545454545	7.27272727272727	1.45454545454545	0	1.45454545454545	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1105	"AWI"	1105	12805	14185	13665	0	0	0.354609929078014	1.06382978723404	0	19.8581560283688	0	0	0.354609929078014	0.354609929078014	0	16.6666666666667	0	0	0	7.4468085106383	0.709219858156028	0	42.5531914893617	0	1.06382978723404	0	0.354609929078014	4.9645390070922	3.54609929078014	0	0.709219858156028	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1110	"AWI"	1110	12858	14251	13722	0	0	0	0.709219858156028	0	23.4042553191489	0.354609929078014	0	0	0.354609929078014	0	14.8936170212766	0	0	0	4.9645390070922	1.77304964539007	0	41.4893617021277	0	0	0	0.354609929078014	7.09219858156028	2.83687943262411	0	1.77304964539007	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1115	"AWI"	1115	12948	14297	13787	0	0.381679389312977	0	0.763358778625954	0	29.0076335877863	0	0	0.381679389312977	0.381679389312977	0	10.6870229007634	0	0	0	6.48854961832061	0.763358778625954	0	42.3664122137405	0	0.763358778625954	0	0.763358778625954	5.72519083969466	1.52671755725191	0	0	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1120	"AWI"	1120	13014	14362	13847	0	0	0.743494423791822	0.743494423791822	0.743494423791822	26.7657992565056	0	0	0	0	0	9.66542750929368	0	0	0	5.57620817843866	0	0	44.2379182156134	0	0.743494423791822	0	1.11524163568773	4.46096654275093	2.97397769516729	0.371747211895911	1.85873605947955	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1125	"AWI"	1125	13093	14412	13911	0	0	0.749063670411985	0.374531835205993	0	26.9662921348315	0	0	0	0	0	11.9850187265918	0.749063670411985	0	1.87265917602996	7.86516853932584	1.12359550561798	0	36.3295880149813	0	0.374531835205993	0	1.12359550561798	5.99250936329588	2.99625468164794	0.374531835205993	1.12359550561798	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1130	"AWI"	1130	13154	14485	13971	0	0	1.14942528735632	1.14942528735632	0	31.0344827586207	0	0	0.383141762452107	1.14942528735632	0	6.89655172413793	0	0	0	7.27969348659004	4.59770114942529	0	32.9501915708812	0	1.53256704980843	0	1.14942528735632	4.98084291187739	5.74712643678161	0	0	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1135	"AWI"	1135	13228	14535	14032	0	0	1.11524163568773	0.371747211895911	0	28.2527881040892	0	0	0.743494423791822	1.11524163568773	0	11.5241635687732	0	0	1.48698884758364	7.43494423791822	3.71747211895911	0	32.7137546468402	0	0	0	0.743494423791822	5.57620817843866	3.71747211895911	0.371747211895911	1.11524163568773	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1137	"AWI"	1137	13264	14557	14059	0	0.37593984962406	1.12781954887218	1.12781954887218	0	37.593984962406	0.37593984962406	0	0	0.37593984962406	0	9.02255639097744	0	0.37593984962406	2.25563909774436	4.51127819548872	2.25563909774436	0	31.5789473684211	0	0.37593984962406	0	0.75187969924812	2.63157894736842	3.7593984962406	0	1.50375939849624	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1140	"AWI"	1140	13303	14601	14094	0	0	0.36231884057971	0	0	36.9565217391304	0.36231884057971	0	0	1.44927536231884	0	8.33333333333333	0	0	3.6231884057971	6.15942028985507	0.36231884057971	1.81159420289855	31.8840579710145	0	0.36231884057971	0	0	3.6231884057971	3.98550724637681	0	0.72463768115942	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1145	"AWI"	1145	13390	14642	14154	0	0	0	0.738007380073801	0	45.7564575645756	0	0	0	1.1070110701107	0	6.27306273062731	0	0	0	7.01107011070111	1.4760147601476	0	28.0442804428044	0	0.3690036900369	0	0	4.0590405904059	4.0590405904059	0.738007380073801	0.3690036900369	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1150	"AWI"	1150	13460	14706	14221	0	0	0.357142857142857	0.357142857142857	0	41.7857142857143	0	0	0	0	0	8.21428571428571	0	0	1.42857142857143	3.57142857142857	1.07142857142857	0	30.3571428571429	0	0	0	0	2.85714285714286	9.28571428571429	0	0.714285714285714	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1155	"AWI"	1155	13535	14751	14286	0	0	1.07913669064748	0	0	52.5179856115108	0	0	0	0.359712230215827	0	7.19424460431655	0	0	0	2.87769784172662	1.07913669064748	0	25.5395683453237	0	0	0	0	3.9568345323741	4.31654676258993	0	1.07913669064748	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1157	"AWI"	1157	13561	14777	14313	0	0.353356890459364	0	0.353356890459364	0	46.2897526501767	0	0	0	1.06007067137809	0	4.59363957597173	0	0	3.886925795053	4.24028268551237	0.706713780918728	0	27.208480565371	0	0.706713780918728	0	1.06007067137809	4.24028268551237	4.59363957597173	0.353356890459364	0.353356890459364	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1160	"AWI"	1160	13597	14818	14350	0	0	0	1.47058823529412	0	41.5441176470588	0	0	0	1.83823529411765	0	4.77941176470588	0	0	1.83823529411765	9.55882352941176	0.735294117647059	0	26.8382352941176	0	0	0	0.367647058823529	3.30882352941176	5.88235294117647	0	1.83823529411765	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1165	"AWI"	1165	13679	14866	14418	0	0	0.3690036900369	0.738007380073801	0	35.0553505535055	0	0	0	0.738007380073801	0	4.7970479704797	0	0	0	11.8081180811808	1.8450184501845	0	31.7343173431734	0	0	0	1.1070110701107	4.0590405904059	7.01107011070111	0	0.738007380073801	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1170	"AWI"	1170	13756	14929	14484	0	0	0.3584229390681	0.3584229390681	0	25.089605734767	0.3584229390681	0	0	0.3584229390681	0	11.4695340501792	0	0	2.1505376344086	13.2616487455197	0.716845878136201	0	33.6917562724014	0	0	0	0.3584229390681	4.3010752688172	6.09318996415771	0	1.4336917562724	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1175	"AWI"	1175	13840	14974	14551	0	0	0	0.357142857142857	0	26.0714285714286	0	0	0.357142857142857	0	0	7.14285714285714	0	0	3.57142857142857	5.35714285714286	0.714285714285714	0	37.1428571428571	0	0.357142857142857	0	1.07142857142857	7.85714285714286	6.78571428571429	2.14285714285714	1.07142857142857	0
