"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13338	19913	"Abborrtjärnen"	63.88333	14.45	740	"AWI"	740	2261	2640	2431	0	38	1	0	1	0	414	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	507	0	0	0	12	0	1	0	0	0	0	0	4	0	0	0	4	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	742	"AWI"	742	2292	2718	2492	0	40	0	0	1	0	440	0	0	0	0	0	2	0	9	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	546	0	0	0	8	0	4	0	0	0	0	2	4	11	0	0	3	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	744	"AWI"	744	2341	2782	2549	0	28	0	1	1	0	453	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	1	8	0	0	0	1	0	0	543	0	0	0	8	0	3	0	0	0	0	0	2	3	0	0	4	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	746	"AWI"	746	2387	2811	2608	0	44	0	0	0	0	510	0	0	0	0	0	3	0	6	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	562	0	0	0	6	0	1	0	0	0	0	1	3	0	0	0	6	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	748	"AWI"	748	2413	2871	2666	0	46	0	0	1	0	469	0	0	0	0	0	5	0	7	0	0	0	1	0	4	0	0	1	8	0	0	0	0	0	0	685	0	0	0	15	0	6	0	0	0	0	2	13	2	0	0	4	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	750	"AWI"	750	2503	2898	2719	0	48	0	0	0	0	555	0	0	0	0	0	4	0	10	0	0	0	0	0	5	0	0	4	5	0	0	0	0	0	0	805	0	0	0	12	0	1	0	0	0	0	1	5	1	0	0	5	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	752	"AWI"	752	2561	2934	2777	0	41	0	0	2	0	319	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	565	0	0	0	6	0	3	0	0	0	0	0	3	2	0	0	5	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	754	"AWI"	754	2663	2983	2835	0	37	0	0	0	0	420	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	723	0	0	0	4	0	5	0	0	0	0	0	5	0	0	0	7	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	756	"AWI"	756	2782	3034	2892	0	20	0	0	0	0	354	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	702	0	0	0	5	0	1	0	0	0	0	3	1	2	0	0	2	1	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	758	"AWI"	758	2829	3121	2952	0	54	0	0	0	0	455	0	0	0	0	0	3	0	6	0	0	0	0	0	1	0	0	0	13	0	0	0	3	0	0	717	0	0	0	15	0	3	0	0	0	0	0	10	0	0	1	3	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	760	"AWI"	760	2887	3231	3027	0	52	0	0	1	0	518	0	0	0	0	0	3	0	4	0	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0	646	0	0	0	9	0	2	0	0	0	0	0	4	1	0	0	4	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	762	"AWI"	762	2909	3412	3094	0	58	0	0	0	0	524	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	651	0	0	0	8	0	2	0	0	0	0	2	4	2	0	0	10	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	764	"AWI"	764	2953	3549	3169	0	82	0	0	0	0	684	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	873	0	0	0	17	0	4	0	0	0	0	0	5	1	0	0	12	1	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	766	"AWI"	766	2992	3634	3251	0	45	0	0	3	0	425	0	0	0	0	0	4	0	3	0	0	0	0	0	2	0	0	1	18	0	0	0	0	0	0	588	0	0	0	12	0	6	0	0	0	0	2	8	5	0	0	3	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	768	"AWI"	768	3021	3788	3331	0	35	0	0	1	0	617	0	0	0	0	0	2	0	7	0	0	0	1	0	5	0	0	2	18	0	0	0	1	0	0	606	0	0	0	19	0	2	0	0	0	0	1	6	1	0	0	5	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	770	"AWI"	770	3090	3847	3406	0	48	0	0	0	0	465	0	0	0	0	0	4	0	6	0	0	0	1	0	1	0	0	1	17	0	0	0	0	0	0	698	0	0	0	7	0	1	0	0	0	0	1	3	4	0	0	2	2	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	772	"AWI"	772	3127	3938	3484	0	55	0	0	1	0	619	0	0	0	0	1	5	1	4	0	0	0	0	0	1	0	0	6	7	0	0	0	1	0	0	540	0	0	0	6	0	2	0	0	0	0	2	4	4	0	0	9	1	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	774	"AWI"	774	3189	4028	3560	0	55	0	1	0	0	560	0	0	0	0	0	4	0	4	0	0	0	0	0	2	0	0	1	6	0	0	0	1	0	0	552	0	0	0	20	0	5	0	0	0	0	1	6	1	0	0	6	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	776	"AWI"	776	3249	4099	3647	0	54	0	0	0	0	368	0	0	0	0	0	4	0	5	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	804	0	0	0	2	0	4	0	0	0	0	0	0	4	0	0	4	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	778	"AWI"	778	3288	4210	3730	0	54	1	0	1	0	515	0	0	0	0	0	5	0	7	0	0	0	0	0	2	0	0	3	10	0	0	0	0	0	0	584	0	0	0	14	0	5	0	0	0	1	0	4	1	0	2	9	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	780	"AWI"	780	3383	4270	3815	0	49	0	0	1	0	563	0	0	0	0	0	4	0	3	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	547	0	0	0	13	0	5	0	0	0	0	0	10	0	0	1	4	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	782	"AWI"	782	3440	4340	3900	0	47	0	0	0	0	494	0	0	0	0	0	6	0	3	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	645	0	0	0	16	0	2	0	0	0	0	0	4	2	0	0	4	0	0
