"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	74	"AWI"	74	1443	1678	1549	15	0	11	1	3	0	4	0	33	0	0	0	0	0	2	0	23	175	0	0	0	0	86	2	0	0	0	0	0	1	0	0	0	22	0	0	0	1	53	7	2	0	0	2	0	0	0	1	3	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	78	"AWI"	78	1495	1762	1623	13	1	17	0	3	1	2	0	35	0	1	3	0	1	3	11	20	57	0	0	0	0	102	1	0	0	0	0	0	1	0	0	1	52	0	0	80	0	61	3	2	0	0	3	1	0	0	1	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	82	"AWI"	82	1555	1839	1695	9	0	12	0	1	0	2	0	39	0	0	0	0	0	0	1	5	105	0	38	0	0	79	0	0	0	0	0	0	0	0	0	0	25	0	0	82	0	47	4	0	0	0	2	0	0	0	1	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	86	"AWI"	86	1627	1897	1768	5	0	16	0	1	0	0	0	50	0	0	0	0	0	0	0	11	44	1	0	0	0	105	1	4	0	0	1	1	1	0	0	1	21	0	0	0	0	53	8	4	0	0	4	0	0	0	0	2	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	90	"AWI"	90	1726	1956	1842	12	1	16	0	2	0	5	0	70	0	0	0	0	1	1	0	17	103	0	0	0	0	160	0	3	0	0	0	0	0	0	1	0	25	0	0	0	0	92	6	9	0	1	1	1	0	1	2	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	94	"AWI"	94	1766	2022	1894	13	0	15	3	4	0	2	0	27	0	0	3	0	0	2	0	12	198	0	35	0	0	80	0	0	0	0	0	0	2	0	0	0	32	0	0	0	1	87	6	0	0	0	1	0	0	0	1	1	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	98	"AWI"	98	1808	2090	1949	6	0	6	0	2	0	0	0	30	0	0	0	0	0	0	0	13	37	0	32	0	0	67	0	0	0	0	0	0	0	0	0	0	27	1	0	0	0	77	1	0	0	0	2	0	0	0	2	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	102	"AWI"	102	1859	2148	2003	1	0	12	0	2	0	2	0	16	1	0	0	0	0	0	0	32	18	0	0	0	0	38	2	1	1	0	0	0	0	0	0	1	11	1	0	0	0	44	3	0	0	0	8	0	0	0	0	1	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	106	"AWI"	106	1906	2200	2056	19	1	3	0	1	0	2	0	21	0	0	0	0	0	1	0	17	65	0	24	0	0	52	2	0	0	0	0	0	0	0	0	1	29	0	0	0	0	92	2	0	0	0	1	0	0	0	1	0	0	1
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	110	"AWI"	110	1956	2251	2113	9	0	20	1	4	0	1	0	31	0	2	0	0	0	1	0	14	48	0	0	0	0	60	0	0	0	0	0	0	1	0	0	1	16	1	0	0	0	75	2	0	0	1	4	1	0	0	1	1	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	114	"AWI"	114	2022	2282	2169	12	1	15	3	1	0	1	0	43	0	0	2	0	0	1	0	18	48	0	23	0	0	87	1	0	0	0	0	0	1	0	0	1	21	0	0	0	0	86	1	0	0	0	0	1	0	0	2	1	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	118	"AWI"	118	2094	2320	2230	16	0	10	1	5	0	1	0	63	0	1	0	0	0	1	0	21	132	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	22	1	3	0	1	63	1	0	0	1	4	0	0	0	0	0	0	2
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	122	"AWI"	122	2144	2417	2294	7	1	11	1	3	0	1	0	84	0	0	0	3	0	4	0	18	45	0	20	0	0	69	0	0	3	0	0	0	0	0	0	0	22	1	0	0	0	56	1	0	0	2	1	0	0	0	1	1	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	126	"AWI"	126	2184	2579	2358	9	0	6	1	4	0	1	0	103	0	0	5	0	0	3	0	20	36	0	22	1	3	82	0	0	1	0	0	0	0	0	0	0	15	0	0	0	1	52	4	0	0	3	4	1	0	0	2	2	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	130	"AWI"	130	2224	2714	2426	0	0	8	1	6	0	2	0	91	0	4	0	0	1	6	0	17	32	0	0	0	0	67	1	0	0	0	0	0	0	0	0	0	12	1	0	92	0	53	0	0	0	3	3	0	0	0	1	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	134	"AWI"	134	2275	2819	2500	12	0	6	2	4	0	1	0	80	0	2	0	0	0	3	0	20	30	0	22	0	0	41	1	1	2	0	0	0	0	0	2	1	17	0	0	0	1	57	3	0	0	2	3	1	0	0	0	1	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	138	"AWI"	138	2327	2938	2575	7	0	13	1	11	0	0	0	92	0	1	0	0	0	3	0	16	52	0	22	0	0	71	0	7	1	0	0	0	0	0	0	0	18	0	0	0	1	51	2	0	0	2	3	2	0	0	1	0	0	0
