"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Dioscoreaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
26062	45207	"Chalkney wood"	51.91361	0.72333	22.2	"AWI"	22.2	-20.6	-8.6	-14.6	0	0	123	1	0	0	0	0	0	48	0	5	0	0	0	0	0	128	8	0	0	0	0	1	25	0	18	0	0	0	0	0	0	0	0	0	8	103	0	0	0	460	2	0	2	0	57	0	0	0	5	2	0	0	2	2	7	0
26062	45207	"Chalkney wood"	51.91361	0.72333	22.8	"AWI"	22.8	-19.4	-7.4	-13.4	0	1	138	2	0	0	0	0	0	181	0	3	0	0	0	0	0	90	3	0	0	1	0	1	16	0	0	0	0	0	0	1	0	1	0	1	0	81	0	0	0	400	1	0	3	0	47	0	0	0	2	0	0	0	1	1	17	0
26062	45207	"Chalkney wood"	51.91361	0.72333	25.2	"AWI"	25.2	-15.6	-2.6	-8.8	0	0	244	1	0	0	0	0	0	284	0	3	0	0	0	0	0	114	4	0	0	0	0	0	9	0	14	0	0	0	1	0	0	0	0	1	0	72	0	0	0	272	1	0	1	0	33	0	0	0	2	0	0	0	1	0	18	0
26062	45207	"Chalkney wood"	51.91361	0.72333	24.5	"AWI"	24.5	-16.5	-4	-10	0	0	186	2	0	0	0	0	0	274	0	5	0	0	0	0	0	90	1	0	0	0	0	2	20	0	0	0	0	0	0	0	0	0	0	1	0	69	0	0	0	332	1	0	1	0	25	0	0	0	3	0	0	0	0	2	17	0
26062	45207	"Chalkney wood"	51.91361	0.72333	23.9	"AWI"	23.9	-17.2	-5.2	-11.2	0	0	221	1	0	1	1	0	0	252	0	3	0	0	0	0	0	121	1	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	280	0	0	6	0	43	0	0	0	3	2	0	0	1	2	26	0
26062	45207	"Chalkney wood"	51.91361	0.72333	23.3	"AWI"	23.3	-18.4	-6.4	-12.4	0	0	215	1	0	0	0	0	0	275	0	3	0	0	0	2	0	89	3	0	0	1	0	0	11	0	23	0	0	0	2	0	0	0	0	0	2	61	0	0	0	300	1	0	2	0	40	0	0	1	3	0	0	0	4	2	20	0
26062	45207	"Chalkney wood"	51.91361	0.72333	25.8	"AWI"	25.8	-14.4	-1.4	-8.2	0	1	241	2	0	0	0	0	0	196	0	6	0	1	0	1	0	145	5	0	0	0	0	1	12	0	0	0	0	0	0	0	0	1	0	1	0	56	0	0	0	303	3	0	0	0	20	0	0	0	0	1	0	0	0	0	5	0
26062	45207	"Chalkney wood"	51.91361	0.72333	26.3	"AWI"	26.3	-13.7	-0.399999999999999	-7.4	0	0	214	1	0	0	0	0	0	282	0	2	0	0	0	0	0	140	2	0	0	1	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	241	1	8	2	0	24	0	0	0	2	2	0	1	1	0	7	0
26062	45207	"Chalkney wood"	51.91361	0.72333	27.5	"AWI"	27.5	-12	2	-5	0	1	256	0	0	1	0	0	0	402	0	1	0	0	0	0	0	85	3	0	0	0	0	0	5	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	222	0	0	2	0	29	0	0	0	0	0	0	0	1	1	4	0
26062	45207	"Chalkney wood"	51.91361	0.72333	28.2	"AWI"	28.2	-10.8	3.4	-3.8	0	0	232	1	0	1	0	0	0	337	0	3	0	0	0	0	0	120	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	1	0	0	0	53	0	0	0	190	5	0	1	0	33	0	0	0	0	0	0	0	1	3	1	0
26062	45207	"Chalkney wood"	51.91361	0.72333	26.9	"AWI"	26.9	-13.1	0.799999999999997	-6.2	0	0	276	0	0	0	1	0	0	281	0	4	0	0	0	0	0	99	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	246	3	0	3	0	21	0	0	0	2	0	0	0	2	2	7	0
26062	45207	"Chalkney wood"	51.91361	0.72333	29.3	"AWI"	29.3	-9.7	5.6	-2.7	0	0	204	0	0	1	1	0	0	291	0	0	0	0	0	0	0	112	3	0	0	0	0	0	16	1	0	0	0	0	1	0	0	2	0	1	0	62	0	0	0	253	4	0	1	0	31	0	0	0	0	0	0	0	0	2	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	28.8	"AWI"	28.8	-10.2	4.6	-3.2	0	1	253	0	0	1	0	1	0	360	0	2	0	0	0	1	0	95	3	0	0	0	0	1	12	0	11	0	0	0	0	0	0	0	0	1	0	36	0	0	0	204	1	0	1	0	29	0	0	0	2	0	0	1	1	1	5	0
