"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23446	40490	"Dos le Cras"	47.28833	7.13194	50	"AWI"	50	768	1234	1019	24.1803278688525	0.819672131147541	0.819672131147541	0	0	0	0	1.22950819672131	0	0	0	0	0	0	0	0.409836065573771	0	0	9.01639344262295	2.86885245901639	0.409836065573771	0.819672131147541	0	6.55737704918033	0.409836065573771	0	0.819672131147541	0	0	0.409836065573771	0	38.5245901639344	5.73770491803279	0	4.91803278688525	0	0	0	1.63934426229508	0	0	0	0	0.409836065573771	0	0	0	0	0	0	0	0	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	55	"AWI"	55	833	1254	1059	31.9852941176471	0.735294117647059	0.367647058823529	0	0	0	0	1.10294117647059	0	0	0	0	0	0	0	0	0	0	6.98529411764706	2.20588235294118	0	0.367647058823529	0	5.14705882352941	0.367647058823529	0	0.367647058823529	0	0	0.367647058823529	0	38.2352941176471	4.77941176470588	0	4.77941176470588	0	0	0	2.20588235294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	60	"AWI"	60	877	1292	1101	39.1044776119403	0	0	0	0	0	0	1.19402985074627	0	0	0	0	0	0	0	0	0	0	5.67164179104478	1.19402985074627	0	0	0	2.98507462686567	0	0	0.298507462686567	0	0	0.597014925373134	0	38.5074626865672	2.98507462686567	0	5.07462686567164	0	0	0	2.38805970149254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	65	"AWI"	65	939	1330	1146	43.6868686868687	0.252525252525253	0.505050505050505	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0.505050505050505	0	0	0	4.7979797979798	2.52525252525253	0	0.252525252525253	0	6.06060606060606	0.252525252525253	0	0.252525252525253	0	0	1.26262626262626	0	30.050505050505	1.26262626262626	0	4.7979797979798	0	0	0	2.02020202020202	0	0	0	0	0	0	0	0	0	0	0	0	0.505050505050505	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	70	"AWI"	70	976	1392	1191	50.6053268765133	0	1.69491525423729	0	0	0	0	1.45278450363196	0	0	0	0	0.242130750605327	0	0.242130750605327	0	0	0	4.84261501210654	3.14769975786925	0	0.242130750605327	0	8.95883777239709	0.242130750605327	0	0	0	0	1.93704600484262	0	16.4648910411622	1.45278450363196	0	4.84261501210654	0.242130750605327	0	0	2.17917675544794	0	0	0	0	0.242130750605327	0	0	0	0	0	0	0	0.968523002421308	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	75	"AWI"	75	1028	1419	1233	50.7142857142857	0.238095238095238	1.19047619047619	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0.238095238095238	0	0	0	3.33333333333333	2.85714285714286	0	0.476190476190476	0	6.90476190476191	0.238095238095238	0	0	0	0	1.9047619047619	0	22.1428571428571	2.14285714285714	0	3.33333333333333	0	0	0	2.85714285714286	0	0	0	0.238095238095238	0	0	0	0	0	0	0	0	0.238095238095238	0	0.238095238095238
23446	40490	"Dos le Cras"	47.28833	7.13194	80	"AWI"	80	1062	1463	1280	48.7244897959184	0.510204081632653	1.02040816326531	0	0	0	0	0.255102040816327	0	0	0	0	0	0	0.510204081632653	0	0	0	2.04081632653061	3.31632653061224	0	0	0	4.33673469387755	0.255102040816327	0.255102040816327	0	0	0	2.04081632653061	0	26.530612244898	3.06122448979592	0.510204081632653	2.29591836734694	0	0	0	3.06122448979592	0	0	0	0.76530612244898	0	0	0	0	0.255102040816327	0	0	0	0.255102040816327	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	85	"AWI"	85	1130	1491	1318	33.5570469798658	0.671140939597315	4.69798657718121	0	0	0	0	0.671140939597315	0	0	0	0	0	0	0.671140939597315	0	0	0	6.04026845637584	4.36241610738255	0	0	0	9.06040268456376	0.335570469798658	0	0	0	0	2.3489932885906	0	25.8389261744966	2.01342281879195	0	6.04026845637584	0	0	0	1.67785234899329	0.335570469798658	0	0	0.671140939597315	0	0	0	0	0.335570469798658	0	0	0.335570469798658	0.335570469798658	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	90	"AWI"	90	1168	1530	1361	22.9838709677419	0.806451612903226	6.85483870967742	0	0	0.403225806451613	0	0.806451612903226	0	0	0	0	0	0	0	0	0	0	7.25806451612903	4.83870967741935	0	0	0	12.5	0.403225806451613	0	0	0	0	2.82258064516129	0	23.7903225806452	1.61290322580645	0	8.46774193548387	0	0	0	3.2258064516129	0.403225806451613	0	0	0.403225806451613	0	0	0	0	0.403225806451613	0	0	0.403225806451613	1.61290322580645	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	95	"AWI"	95	1211	1569	1402	29.2418772563177	0.72202166064982	4.69314079422383	0	0.72202166064982	0.36101083032491	0	1.08303249097473	0	0	0	0	0	0	0	0	0	0	6.85920577617329	3.6101083032491	0	0	0	10.8303249097473	0.72202166064982	0	0	0	0	2.52707581227437	0	25.6317689530686	1.80505415162455	0	6.13718411552347	0	0	0	2.88808664259928	0	0	0.36101083032491	0.36101083032491	0	0	0	0	0	0	0	0	1.44404332129964	0	0
