"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Eucalyptus"	"Fabaceae"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Scrophulariaceae"	"Tilia"	"Urticaceae"
23924	41527	"Monte Areo mire"	43.52889	-5.76889	50	"AWI"	50	1440	2130	1791	18.5185185185185	0	0	0.617283950617284	0	0	31.8930041152263	0	0.411522633744856	0	0	0	0	0	0	0	0	0.411522633744856	0	2.88065843621399	0	45.2674897119342	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	52.5	"AWI"	52.5	1925.5	2260	2089	18.8034188034188	0	0	0.56980056980057	0	0	0	0	3.7037037037037	4.55840455840456	0	0	0	0	0	0	0	0	0	6.83760683760684	0	65.5270655270655	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	55	"AWI"	55	2192	2602	2389	9.85626283367557	0	0.205338809034908	0.410677618069815	0	0	30.3901437371663	0	4.31211498973306	0	0	0.410677618069815	0	0	0	0	0	0	0	7.18685831622177	0	46.2012320328542	1.02669404517454	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	57.5	"AWI"	57.5	3103.5	3922.5	3563.5	14.6711635750422	0	0	1.01180438448567	0.168634064080944	0	33.220910623946	0	1.5177065767285	5.73355817875211	0	0	0	0	0	0	0	2.36087689713322	0	4.5531197301855	0	36.7622259696459	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	60	"AWI"	60	3865	5411	4729	15.6862745098039	0	0	0.65359477124183	0	0	40.5228758169935	0.65359477124183	3.26797385620915	13.0718954248366	0	0	0	1.30718954248366	0	0	0	0	0	0	0	24.1830065359477	0.65359477124183	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	62.5	"AWI"	62.5	4859.5	5502	5211.5	19.3771626297578	0	0	0.346020761245675	0	0	35.2941176470588	0	0.346020761245675	9.68858131487889	0	0	0	0	0	0	0	0	0	12.80276816609	0	22.1453287197232	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	65	"AWI"	65	5421	5973	5690	5.60747663551402	0	0	1.86915887850467	0	0	28.9719626168224	0.934579439252336	1.86915887850467	13.0841121495327	0	0.934579439252336	0.934579439252336	0.934579439252336	0	0	0	0	0	18.6915887850467	0	24.2990654205607	1.86915887850467	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	67.5	"AWI"	67.5	5660	6062.5	5856	8.9041095890411	0	0	1.36986301369863	0	0	32.8767123287671	0	2.73972602739726	12.3287671232877	0	0	0	0	0	0	0	6.16438356164384	0	0	0	35.6164383561644	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	70	"AWI"	70	5819	6220	6024	16.3636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.2727272727273	0	0	0	56.3636363636364	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	72.5	"AWI"	72.5	6095.5	6373.5	6241.5	27.1966527196653	0	0	0	0	0	0	0	5.43933054393306	0	0	0	0	0	0	0	0	10.0418410041841	0	18.4100418410042	0	38.9121338912134	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	75	"AWI"	75	6229	6669	6459	12.9032258064516	0	0	0.921658986175115	0	0	31.3364055299539	0	0.921658986175115	0	0	0	0	0	0	0	0	6.22119815668203	0	23.0414746543779	0.230414746543779	24.4239631336406	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	77.5	"AWI"	77.5	6488.5	6822	6658.5	6.44391408114559	0	0.477326968973747	0	0	0	34.3675417661098	0	0.954653937947494	16.2291169451074	0	0	0	0	0	0	0.477326968973747	0	0	11.2171837708831	0	29.8329355608592	0	0	0
