"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
3505	4531	"Mire Pelisoo"	58.46667	22.38333	110	"AWI"	110	550	1536	1017	53	0	0	0	1	80	28	10	32	2	58	83	0	7	3	0	0	2	3	10
3505	4531	"Mire Pelisoo"	58.46667	22.38333	120	"AWI"	120	653	1631	1118	55	0	0	1	1	85	13	9	26	0	43	101	0	7	2	0	0	0	3	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	130	"AWI"	130	726	1750	1222	47	0	1	2	0	73	18	5	33	0	52	106	0	8	2	0	0	0	1	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	140	"AWI"	140	827	1836	1315	43	0	0	1	0	69	15	4	32	0	50	111	1	5	0	0	1	1	2	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	150	"AWI"	150	899	1947	1412	52	0	1	1	0	48	17	5	30	2	36	103	0	6	1	1	0	0	1	1
3505	4531	"Mire Pelisoo"	58.46667	22.38333	160	"AWI"	160	1024	2008	1508	32	0	0	1	0	63	14	4	29	0	43	108	1	7	1	0	0	0	1	1
3505	4531	"Mire Pelisoo"	58.46667	22.38333	170	"AWI"	170	1112	2106	1601	27	0	0	0	1	53	12	4	38	0	45	97	0	5	1	1	0	0	1	1
3505	4531	"Mire Pelisoo"	58.46667	22.38333	180	"AWI"	180	1279	2164	1694	34	0	0	2	0	72	14	7	22	0	47	120	0	3	0	1	0	0	1	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	190	"AWI"	190	1394	2245	1790	26	1	0	0	2	69	10	5	17	0	58	119	0	5	1	0	0	0	1	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	200	"AWI"	200	1654	2287	1890	11	0	0	0	0	78	11	5	13	0	34	81	0	4	0	1	0	0	1	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	210	"AWI"	210	1884	2395	2095	17	0	0	0	0	41	12	4	31	0	21	48	0	4	1	1	0	0	1	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	220	"AWI"	220	2128	2769	2495	39	0	0	2	0	63	15	4	39	1	28	57	0	5	1	1	0	0	1	4
3505	4531	"Mire Pelisoo"	58.46667	22.38333	230	"AWI"	230	2313	3200	2755	22	0	0	1	0	51	17	6	42	0	30	57	0	5	1	2	0	0	0	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	240	"AWI"	240	2463	3288	2927	28	0	0	0	1	41	16	3	27	0	51	62	0	7	1	0	0	0	1	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	250	"AWI"	250	2644	3383	3071	31	1	1	0	0	69	22	3	33	0	48	53	0	5	1	0	0	0	0	4
3505	4531	"Mire Pelisoo"	58.46667	22.38333	260	"AWI"	260	2821	3467	3211	37	0	0	1	0	62	19	5	38	0	55	48	0	6	2	0	0	0	2	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	270	"AWI"	270	3129	3559	3351	34	0	0	0	0	59	18	5	41	0	57	51	0	5	2	0	0	0	3	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	280	"AWI"	280	3318	3773	3506	27	0	0	0	0	41	21	6	32	2	63	49	0	6	1	0	0	0	1	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	290	"AWI"	290	3451	4241	3734	28	1	0	1	1	47	17	3	19	0	66	52	0	7	3	0	0	0	2	1
3505	4531	"Mire Pelisoo"	58.46667	22.38333	300	"AWI"	300	3507	4990	3953	30	1	0	0	0	43	14	7	15	0	71	44	0	4	2	0	0	0	1	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	310	"AWI"	310	3662	5327	4248	49	0	1	0	0	60	23	3	4	0	43	86	0	9	2	1	0	0	7	4
3505	4531	"Mire Pelisoo"	58.46667	22.38333	320	"AWI"	320	3758	5864	4538	45	3	0	0	0	50	19	10	2	0	23	91	0	8	1	1	0	0	6	5
3505	4531	"Mire Pelisoo"	58.46667	22.38333	330	"AWI"	330	3966	6108	4839	48	0	1	0	2	53	13	9	7	0	12	67	0	7	2	1	0	0	4	4
3505	4531	"Mire Pelisoo"	58.46667	22.38333	340	"AWI"	340	4103	6455	5132	51	0	0	0	0	57	16	6	23	0	13	73	1	6	1	0	0	0	2	4
3505	4531	"Mire Pelisoo"	58.46667	22.38333	350	"AWI"	350	4352	6695	5422	63	0	0	1	0	63	21	5	34	0	10	52	1	5	2	1	0	0	9	5
3505	4531	"Mire Pelisoo"	58.46667	22.38333	360	"AWI"	360	4525	6986	5688	47	1	1	0	0	68	33	7	1	0	13	74	0	7	2	0	0	0	2	8
3505	4531	"Mire Pelisoo"	58.46667	22.38333	370	"AWI"	370	4780	7232	5993	67	0	0	1	0	77	17	9	1	0	5	62	0	9	2	1	0	0	7	13
3505	4531	"Mire Pelisoo"	58.46667	22.38333	380	"AWI"	380	5011	7498	6284	60	0	1	0	1	68	17	10	1	0	4	74	0	10	2	3	0	0	4	8
3505	4531	"Mire Pelisoo"	58.46667	22.38333	390	"AWI"	390	5277	7716	6567	63	1	2	0	0	56	18	9	4	0	2	65	0	9	3	0	0	0	4	12
3505	4531	"Mire Pelisoo"	58.46667	22.38333	400	"AWI"	400	5559	7968	6861	56	1	2	0	1	53	34	6	0	0	5	82	1	6	2	1	1	0	5	14
3505	4531	"Mire Pelisoo"	58.46667	22.38333	410	"AWI"	410	5832	8154	7155	62	0	1	0	1	49	55	5	2	0	2	101	0	5	3	2	0	0	3	8
3505	4531	"Mire Pelisoo"	58.46667	22.38333	420	"AWI"	420	6190	8361	7442	56	0	1	1	2	53	46	9	1	0	1	87	0	3	1	2	0	0	2	7
3505	4531	"Mire Pelisoo"	58.46667	22.38333	430	"AWI"	430	6514	8549	7739	37	0	1	1	2	63	20	4	0	0	2	79	0	4	2	3	0	0	1	7
3505	4531	"Mire Pelisoo"	58.46667	22.38333	440	"AWI"	440	6972	8698	8030	34	0	0	0	3	60	22	3	2	0	3	73	0	3	3	3	0	0	2	16
3505	4531	"Mire Pelisoo"	58.46667	22.38333	450	"AWI"	450	7294	8870	8338	28	1	0	1	4	91	17	7	0	0	3	89	2	7	0	4	0	0	0	12
3505	4531	"Mire Pelisoo"	58.46667	22.38333	460	"AWI"	460	7948	8997	8572	19	1	0	1	0	88	11	6	0	0	0	103	0	6	0	4	0	0	1	4
3505	4531	"Mire Pelisoo"	58.46667	22.38333	470	"AWI"	470	8480	9163	8811	17	0	0	2	0	79	10	5	0	0	0	109	0	5	0	3	0	0	2	7
3505	4531	"Mire Pelisoo"	58.46667	22.38333	480	"AWI"	480	8639	9346	8969	14	1	0	2	0	83	10	4	0	0	0	106	0	4	0	3	0	0	0	5
3505	4531	"Mire Pelisoo"	58.46667	22.38333	490	"AWI"	490	8707	9644	9101	16	1	0	2	0	57	8	3	0	0	0	110	0	3	0	2	0	0	1	4
3505	4531	"Mire Pelisoo"	58.46667	22.38333	500	"AWI"	500	8840	9774	9254	14	1	0	1	1	61	15	6	0	0	0	106	0	6	0	2	0	1	0	6
3505	4531	"Mire Pelisoo"	58.46667	22.38333	510	"AWI"	510	8927	9973	9403	8	1	0	1	0	64	15	4	0	0	0	120	0	4	0	3	0	0	0	6
3505	4531	"Mire Pelisoo"	58.46667	22.38333	520	"AWI"	520	9062	10086	9555	3	0	0	1	0	69	7	3	0	0	0	127	0	3	0	0	0	0	0	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	530	"AWI"	530	9190	10243	9701	2	0	0	1	0	65	5	4	0	0	0	127	0	4	0	2	0	0	0	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	540	"AWI"	540	9371	10356	9856	2	1	0	3	1	66	8	3	0	0	0	128	0	3	0	3	0	0	0	4
3505	4531	"Mire Pelisoo"	58.46667	22.38333	550	"AWI"	550	9557	10510	10014	3	0	0	3	0	80	5	4	0	0	0	116	0	4	0	0	0	0	0	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	560	"AWI"	560	9749	10706	10187	1	1	0	1	0	70	3	2	0	0	0	111	0	2	0	0	0	0	0	0
3505	4531	"Mire Pelisoo"	58.46667	22.38333	565	"AWI"	565	9805	10862	10263	1	1	0	2	0	73	1	2	0	0	0	133	0	2	0	0	0	0	0	0
