"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Larix"	"Malvaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Tilia"	"Ulmus"
26146	45389	"Väike Juusa"	58.05917	26.51722	455	"AWI"	455	5428	6082	5810	67	0	0	1	0	79	0	0	0	0	0	25	0	0	0	2	7	0	0	0	130	73	0	0	47	4	0	0	1	0	31	39
26146	45389	"Väike Juusa"	58.05917	26.51722	475	"AWI"	475	5567	6258	5964	84	0	0	2	0	77	0	0	0	0	0	37	0	1	0	1	10	0	0	0	66	67	0	0	52	0	0	0	0	0	35	71
26146	45389	"Väike Juusa"	58.05917	26.51722	495	"AWI"	495	5681	6422	6084	94	0	0	2	0	95	0	0	0	0	0	36	0	0	0	7	5	0	0	0	28	59	0	0	48	0	0	0	0	0	67	61
26146	45389	"Väike Juusa"	58.05917	26.51722	515	"AWI"	515	5792	6575	6204	105	0	0	0	0	117	0	0	0	0	0	40	0	0	0	3	4	0	0	0	18	57	0	0	31	0	0	0	0	0	74	51
26146	45389	"Väike Juusa"	58.05917	26.51722	535	"AWI"	535	5916	6722	6332	115	0	0	3	0	95	0	0	0	0	0	52	0	0	0	8	3	0	0	0	21	41	0	0	21	0	0	0	0	0	86	58
26146	45389	"Väike Juusa"	58.05917	26.51722	555	"AWI"	555	6035	6857	6455	87	0	0	4	0	125	0	0	0	0	0	52	0	0	0	0	9	0	0	0	26	52	0	0	13	0	0	0	1	0	71	65
26146	45389	"Väike Juusa"	58.05917	26.51722	575	"AWI"	575	6153	6982	6581	97	0	0	0	0	143	0	0	0	0	0	26	0	0	0	6	8	0	0	5	38	40	0	0	25	0	0	0	2	0	50	62
26146	45389	"Väike Juusa"	58.05917	26.51722	595	"AWI"	595	6280	7102	6702	101	1	0	0	0	151	0	0	0	0	0	30	0	0	0	0	7	0	0	16	17	40	0	0	24	10	0	2	1	0	56	58
26146	45389	"Väike Juusa"	58.05917	26.51722	615	"AWI"	615	6407	7220	6829	88	0	1	1	1	140	0	0	0	0	0	38	0	0	0	0	8	0	0	3	8	29	0	0	16	0	0	2	0	0	77	93
26146	45389	"Väike Juusa"	58.05917	26.51722	635	"AWI"	635	6526	7333	6949	87	0	0	2	0	144	0	0	0	0	0	31	0	0	0	2	1	0	0	0	7	49	0	0	37	0	0	0	0	0	79	63
26146	45389	"Väike Juusa"	58.05917	26.51722	655	"AWI"	655	6658	7440	7078	80	0	0	2	0	163	0	0	0	0	0	30	0	0	0	0	0	0	0	0	23	47	0	0	19	0	0	1	1	0	63	74
