"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3115	4057	"Frengstadsetra"	62.57327	10.12398	110	"AWI"	110	8020	8616	8317	30	0	1	0	8	121	0	0	0	0	3	32	0	0	0	0	0	0	15	0	0	3	0	365	0	13	0	0	0	0	0	0	1	0	0	0	1	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	120	"AWI"	120	8201	9570	8668	1	0	7	0	0	121	0	0	0	0	2	128	0	0	0	0	0	0	34	0	0	2	0	388	0	21	0	0	0	0	0	0	10	0	0	0	0	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	125	"AWI"	125	8328	9865	8874	0	1	1	0	0	217	0	0	0	0	13	86	1	6	0	0	0	0	47	0	0	3	0	255	0	33	0	0	0	0	2	1	19	2	1	0	5	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	130	"AWI"	130	8400	10337	9064	3	0	1	1	0	288	0	0	0	0	9	103	4	15	0	0	0	0	30	0	0	1	0	188	0	49	0	0	0	0	0	0	8	3	0	0	0	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	140	"AWI"	140	8624	11013	9467	0	0	0	2	0	197	0	0	0	0	2	380	8	13	0	0	0	0	31	0	0	0	1	90	0	56	0	0	0	0	0	0	25	4	0	0	0	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	150	"AWI"	150	8880	11570	9864	1	0	1	4	6	242	1	0	0	0	5	692	3	34	0	0	0	0	37	0	11	0	0	49	0	164	0	0	0	0	0	2	131	9	0	0	0	1
3115	4057	"Frengstadsetra"	62.57327	10.12398	155	"AWI"	155	9022	11792	10078	0	0	0	2	0	460	1	0	2	0	0	75	0	34	1	0	0	0	132	0	19	0	1	9	0	0	0	0	0	0	0	2	245	6	0	0	1	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	160	"AWI"	160	9139	12113	10275	0	0	11	0	0	993	2	0	7	1	0	608	0	58	7	0	0	0	24	0	1	0	1	14	0	49	0	0	0	0	0	9	62	59	0	0	0	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	165	"AWI"	165	9296	12370	10473	0	0	0	2	0	175	1	0	0	0	0	639	0	33	0	0	0	1	7	0	1	0	0	58	1	24	0	0	0	0	0	8	21	179	0	0	0	1
3115	4057	"Frengstadsetra"	62.57327	10.12398	170	"AWI"	170	9413	12696	10669	0	0	3	2	0	159	9	0	0	0	0	561	1	0	0	0	0	0	2	0	0	0	0	33	0	38	1	0	0	0	0	3	69	59	1	0	1	1
