"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Myrtus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3186	24356	"Lake Orestiás"	40.55194	21.32222	105	"AWI"	105	4065	4516	4308	7	1	0	2	2	6	0	0	6	0	0	0	0	0	0	1	2	2	0	0	0	1	0	0	41	1	0	0	5	3	0	0	0	0	0	0	11	0	81	0	0	35	1	82	3	0	0	0	1	0	0	0	0	1	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	112	"AWI"	112	4464	4913	4716	7	0	1	3	0	10	0	0	1	0	1	0	5	0	0	0	1	0	1	1	0	0	0	0	22	0	0	0	1	0	0	0	1	1	0	0	8	0	74	0	0	45	2	109	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	118	"AWI"	118	4521	5100	4817	8	0	2	1	0	18	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	26	1	0	0	0	1	0	0	0	2	0	0	11	0	71	0	0	34	1	105	2	0	0	0	5	0	1	0	0	0	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	125	"AWI"	125	4571	5363	4923	9	0	2	1	0	13	0	0	1	0	1	0	7	0	0	0	3	0	0	0	0	1	0	0	44	0	0	0	7	1	0	0	0	0	0	0	9	1	89.5	0	1	27	3	108	3	0	0	0	3	0	0	0	0	0	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	131	"AWI"	131	4603	5615	5012	7.5	0	2	2	0	9	0	0	1	0	0	0	0	0	0	2	0	1	7	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	0	14	0	62	0	1	34	0	124	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	137	"AWI"	137	4633	5869	5102	1	0	0	0	0	12	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	19	2	0	0	4	0	0	0	0	4	0	0	13	0	71	0	1	60	0	101	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	142	"AWI"	142	4653	6083	5178	1	0	0	1	0	13	2	0	1	0	0	0	0	0	0	1	2	0	1	2	0	0	0	1	22	0	0	0	4	0	0	0	0	3	0	0	4	0	61	0	0	73	0	90	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	148	"AWI"	148	4697	6301	5273	3	0	0	0	0	23	0	0	0	0	0	0	6	4	0	1	1	1	1	1	0	0	0	1	18	1	0	0	2	1	0	1	0	1	0	0	5	1	71	0	0	80	0	65	4	0	0	0	2	0	1	0	0	0	0	1	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	155	"AWI"	155	4821	6370	5411	0	0	2	1	0	0	0	0	1	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	5	2	2	0	0	2	0	0	5	0	61	0	0	115	1	53	7	0	5	2	5	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	161	"AWI"	161	4889	6441	5534	2	0	0	2	1	12	0	0	0	0	2	0	4	1	0	1	0	5	0	0	0	1	0	1	31	0	0	0	6	0	0	0	0	0	0	0	8	1	80.5	0	0	61	0	63	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0
