"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15977	24641	"Ecours"	46.61222	-1.84278	185	"AWI"	185	4908	5331	5127	0	9	76	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	190	"AWI"	190	4920	5343	5145	0	7	82	2	0	2	0	0	5	0	0	0	0	0	0	0	1	0	0	0	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	195	"AWI"	195	4931	5357	5165	0	6	116	1	0	2	0	0	4	0	0	0	0	0	0	0	1	0	0	0	4	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	34	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	200	"AWI"	200	4942	5375	5185	0	5	129	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	27	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	39	0	0	0	0	33	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	205	"AWI"	205	4946	5395	5203	0	12	80	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	23	0	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	66	0	0	46	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	210	"AWI"	210	4954	5417	5222	0	5	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	26	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	215	"AWI"	215	4963	5439	5241	0	6	125	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	62	0	0	32	0	0	0	0	21	0	2	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	220	"AWI"	220	4971	5462	5259	0	9	148	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	51	0	3	26	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	225	"AWI"	225	4975	5492	5276	0	5	84	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	230	"AWI"	230	4981	5521	5293	0	8	152	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	0	12	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	33	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	235	"AWI"	235	5003	5536	5309	0	11	116	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	34	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	240	"AWI"	240	5039	5539	5324	0	7	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	245	"AWI"	245	5075	5544	5339	0	13	138	3	2	3	0	0	3	0	1	0	0	0	0	0	0	0	0	0	28	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	1	48	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0
15977	24641	"Ecours"	46.61222	-1.84278	250	"AWI"	250	5106	5548	5355	0	14	180	2	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	30	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	44	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	255	"AWI"	255	5140	5553	5371	0	10	581	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	158	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	260	"AWI"	260	5173	5559	5387	0	12	538	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	101	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	265	"AWI"	265	5206	5564	5403	0	8	379	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	24	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	132	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1
15977	24641	"Ecours"	46.61222	-1.84278	270	"AWI"	270	5236	5569	5418	0	13	415	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	30	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	167	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	274	"AWI"	274	5258	5576	5431	0	20	671	2	1	2	0	0	28	0	0	0	0	0	0	0	0	0	0	0	32	0	3	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	20	0	0	0	0	0	0	1	303	0	1	0	0	1	0	2	0	0	4	0	0	3	1	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	278	"AWI"	278	5279	5582	5444	0	13	365	2	0	6	0	0	10	0	0	0	0	0	0	0	0	1	0	0	39	0	15	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	24	0	3	0	0	0	0	1	289	0	0	0	0	4	0	2	0	0	0	0	0	0	2	0	1	0	0
15977	24641	"Ecours"	46.61222	-1.84278	283	"AWI"	283	5299	5592	5459	0	12	307	2	1	4	0	0	13	0	0	0	0	0	0	0	0	0	0	0	21	0	15	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	200	0	0	0	0	1	0	3	0	0	0	0	0	3	1	1	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	288	"AWI"	288	5316	5606	5474	0	17	327	2	0	2	0	0	6	0	1	0	0	0	0	0	0	0	0	0	23	0	3	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	168	0	1	0	0	1	0	1	0	0	0	0	0	5	0	1	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	293	"AWI"	293	5328	5621	5490	0	5	224	2	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	21	0	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	135	0	1	0	0	1	0	2	0	0	1	0	1	1	1	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	298	"AWI"	298	5342	5634	5506	0	16	140	5	0	1	0	25	9	0	0	0	0	0	0	0	0	0	0	0	16	0	6	1	0	3	1	3	0	0	0	0	0	0	4	0	0	0	0	0	16	0	0	0	0	0	0	0	190	0	1	0	0	1	0	1	0	0	6	0	0	1	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	303	"AWI"	303	5354	5648	5523	0	12	387	2	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	23	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	160	0	1	0	0	1	0	1	0	0	1	0	0	1	2	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	308	"AWI"	308	5364	5667	5538	0	15	368	4	0	1	0	0	9	0	1	0	0	0	0	0	0	0	0	0	23	0	1	1	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	111	0	1	0	0	3	0	1	0	0	0	0	0	1	1	1	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	312	"AWI"	312	5392	5698	5565	0	4	89	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	90	0	0	0	0	82	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	315	"AWI"	315	5422	5731	5592	0	4	182	0	1	2	1	0	2	0	2	0	0	0	0	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0	28	0	0	0	0	47	0	1	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0	1
