"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	155	"AWI"	155	3536	4045	3770	6	0	141	5	0	0	45	0	0	0	0	5	0	0	0	0	0	4	83	0	0	2	0	5	0	0	0	0	0	0	0	0	0	21	111	0	0	0	0	18	0	0	2	0	2	0	0	0	17	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	160	"AWI"	160	3598	4456	3961	14	3	194	7	2	0	73	0	1	0	0	2	0	0	0	0	0	3	122	0	0	6	0	6	0	1	0	0	0	0	1	0	5	37	107	0	0	0	0	35	0	0	1	1	3	0	0	0	9	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	165	"AWI"	165	3811	4545	4166	17	1	285	0	4	0	33	0	6	0	3	2	0	0	0	0	0	3	83	0	0	3	0	6	0	0	0	0	0	0	0	0	1	36	138	0	0	0	0	24	0	0	2	0	2	0	0	0	38	2	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	170	"AWI"	170	3926	4721	4372	4	3	197	3	1	1	16	0	7	0	0	0	0	0	0	0	0	9	51	0	0	1	0	9	0	0	0	0	0	0	0	0	1	34	78	0	0	0	0	25	0	0	0	0	1	0	0	0	13	3	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	175	"AWI"	175	4408	4806	4622	16	5	384	4	1	0	52	0	12	0	0	0	0	0	0	0	0	6	93	0	0	15	3	9	0	0	0	0	0	0	0	0	4	98	219	0	0	0	0	61	0	0	0	0	1	0	0	2	42	11	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	180	"AWI"	180	4563	5251	4885	6	0	367	3	2	0	57	0	11	0	0	5	0	0	0	0	0	7	98	0	0	0	0	8	0	0	0	0	0	0	0	0	0	83	177	0	0	0	0	36	0	0	0	0	4	0	0	0	43	7	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	185	"AWI"	185	4926	5415	5199	1	0	222	4	1	0	42	0	14	0	0	2	0	0	0	0	0	13	66	0	0	0	1	3	0	0	0	0	0	0	0	0	0	72	172	0	0	0	0	3	0	0	0	0	2	0	0	1	22	1	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	190	"AWI"	190	5089	5884	5497	0	0	319	1	2	0	55	0	19	0	0	0	0	0	0	0	0	18	186	0	0	0	0	15	0	0	0	0	0	0	0	0	0	40	105	0	0	0	0	37	0	0	0	0	2	0	0	0	38	16	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	195	"AWI"	195	5343	6400	5893	1	0	255	14	6	0	73	0	16	0	0	1	0	0	0	0	0	11	120	0	0	1	0	10	0	0	0	0	0	0	0	0	0	112	138	0	0	0	0	37	0	0	1	0	5	0	0	3	18	17	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	200	"AWI"	200	5465	7123	6291	1	0	254	3	2	0	58	0	22	0	0	10	0	0	0	0	0	24	98	0	0	0	1	38	2	0	0	0	0	0	0	0	0	45	249	0	0	0	0	27	0	0	2	0	1	0	0	1	73	22	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	205	"AWI"	205	6071	7258	6705	0	2	254	5	4	0	41	0	16	0	0	10	0	0	0	0	0	19	111	0	0	0	0	12	0	0	0	0	0	0	0	0	0	14	119	0	0	0	0	27	0	0	3	0	3	0	0	3	57	7	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	210	"AWI"	210	6413	7503	7155	0	0	66	0	0	0	2	0	3	0	0	0	0	0	0	0	0	6	36	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	17	0	0	0	0	0	0	0	0	42	0	1
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	215	"AWI"	215	7213	7636	7459	0	0	29	0	0	0	5	0	7	0	0	1	0	0	0	0	0	3	64	0	0	1	0	5	0	0	1	0	0	0	0	0	0	7	84	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	220	"AWI"	220	7407	8396	7760	1	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	36	0	0	0	0	3	0	0	0	0	5	0	0	0	2	1	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	225	"AWI"	225	7565	8843	8027	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	230	"AWI"	230	7641	9528	8263	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	110	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	235	"AWI"	235	7798	9850	8532	0	0	6	1	0	0	6	0	35	0	0	3	0	0	1	0	0	9	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
