"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	51	"AWI"	51	2032	2381	2228	0	1	0	0	2	0	179	0	0	0	0	1	0	13	0	0	0	0	5	7	0	0	0	10	263	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	53	"AWI"	53	2063	2421	2267	0	1	0	0	1	0	251	0	0	0	0	0	0	10	0	0	0	0	1	6	1	0	0	11	206	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	55	"AWI"	55	2138	2449	2304	0	4	0	0	0	0	257	0	0	0	0	3	0	30	0	0	0	0	7	33	0	0	0	10	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	57	"AWI"	57	2201	2476	2345	0	2	0	0	0	0	226	0	0	0	0	0	0	10	0	0	0	0	6	7	0	0	0	18	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	59	"AWI"	59	2248	2511	2381	0	3	0	0	0	0	198	0	0	0	0	0	0	9	0	0	0	0	3	5	0	0	0	20	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	61	"AWI"	61	2296	2538	2413	0	5	0	0	2	0	233	0	0	0	0	0	0	11	0	0	0	0	3	5	0	0	0	12	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	63	"AWI"	63	2324	2582	2447	0	4	0	3	1	0	224	0	0	0	0	1	0	10	0	0	0	0	3	13	0	1	0	11	203	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	65	"AWI"	65	2359	2601	2475	0	3	0	0	1	0	185	0	0	0	0	4	0	14	0	0	0	0	3	12	0	0	0	10	255	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	67	"AWI"	67	2380	2628	2502	0	1	0	0	0	0	137	0	0	0	0	4	0	15	0	0	0	0	3	8	0	0	0	25	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	69	"AWI"	69	2404	2652	2527	0	1	0	0	0	0	145	0	0	0	0	0	0	9	0	0	0	0	3	3	0	0	0	21	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
