"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23849	41339	"Gourte Mires"	51.05444	-3.67833	92	"AWI"	92	2153	2714	2421	6.78571428571429	0	0	0.357142857142857	0	0	2.14285714285714	0	0	0	0	0	0	39.2857142857143	0	20.3571428571429	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0.357142857142857	0	0	0	0	23.5714285714286	1.42857142857143	0	0	0	0.357142857142857	0.357142857142857	0	0	0.357142857142857	2.14285714285714	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	96	"AWI"	96	2227	2832	2509	12.2950819672131	0	0	0	0	0	2.45901639344262	0	0.409836065573771	0	0	0	0	44.672131147541	0	9.42622950819672	0	0	0	1.63934426229508	0.409836065573771	0	0	0	0	0	0	0	0	0	0	0.819672131147541	0	0	0	0	23.7704918032787	1.63934426229508	0	0	0	0.409836065573771	0	0.409836065573771	0	0	1.22950819672131	0.409836065573771
23849	41339	"Gourte Mires"	51.05444	-3.67833	100	"AWI"	100	2296	2946	2600	5.10204081632653	0	0.510204081632653	0	0.510204081632653	0	2.04081632653061	0	0	0.510204081632653	0	0.510204081632653	0	40.3061224489796	0	12.2448979591837	0	0	1.53061224489796	1.02040816326531	0	0.510204081632653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.5918367346939	4.59183673469388	0	0	0	0	0	0	0	0	1.02040816326531	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	104	"AWI"	104	2376	3045	2692	13.0232558139535	0	0	0	0	0	1.3953488372093	0	0	0	0	0	0	38.1395348837209	0.930232558139535	9.30232558139535	0	0	0	1.86046511627907	0.465116279069767	0.465116279069767	0	0	0	0	0	0	0	0	0	0.465116279069767	8.83720930232558	0	0	0	22.7906976744186	0.465116279069767	0	0	0	0.465116279069767	0	0	0	0	1.3953488372093	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	108	"AWI"	108	2461	3144	2788	11.9047619047619	0	0	0	0	0	2.77777777777778	0	0	0	0	0.396825396825397	0	48.4126984126984	0	7.53968253968254	0	0	0	1.98412698412698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8412698412698	0.793650793650794	5.15873015873016	0	0	0	0	0	0.396825396825397	0	0.793650793650794	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	112	"AWI"	112	2539	3236	2878	14.0740740740741	0	0	0	0	0	6.66666666666667	0	0	0	0	0	0	35.9259259259259	0	10.7407407407407	0	0	0	3.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.5555555555556	1.48148148148148	0	0	0	1.11111111111111	0	0	0	0	1.11111111111111	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	116	"AWI"	116	2627	3326	2971	11.4678899082569	0	0	0	0.458715596330275	0	1.37614678899083	0	0	0	0	0	0	43.1192660550459	0	10.0917431192661	0	0	0	1.8348623853211	0	0	0	0	0	0	0	0	0	0	0	0.458715596330275	0	0	0	0	26.1467889908257	2.75229357798165	0	0.458715596330275	0	0.458715596330275	0	0.458715596330275	0	0.458715596330275	0.458715596330275	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	120	"AWI"	120	2706	3416	3063	5.40540540540541	0	0	0	0	0	0.540540540540541	0	0	0	0	0	0	16.4864864864865	0	6.48648648648649	46.7567567567568	0	0.27027027027027	0.540540540540541	0	0	0	0	0	0	0	0	0	0	0	0.27027027027027	0	0	0	0	20	1.62162162162162	0	0	0	0.540540540540541	0.27027027027027	0.27027027027027	0	0	0.27027027027027	0.27027027027027
23849	41339	"Gourte Mires"	51.05444	-3.67833	124	"AWI"	124	2794	3491	3158	15.7534246575342	0	0	0	0	0	2.73972602739726	0	0	0.684931506849315	0	0	0	34.2465753424658	0	12.3287671232877	0	0	0	2.73972602739726	0	0.684931506849315	0.684931506849315	0	0	0	0	0	0	0	0	0.684931506849315	0	0	0	0	27.3972602739726	0.684931506849315	0	0	0	0	0	0	0	0	1.36986301369863	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	128	"AWI"	128	2892	3565	3246	12.5	0.431034482758621	0	0	0	0	2.58620689655172	0	0	0	0	0.431034482758621	0	30.6034482758621	0.431034482758621	20.6896551724138	0	0	0.431034482758621	0	0	0.862068965517241	0	0	0	0	0.431034482758621	0	0	0	0	0	9.91379310344828	0	0	0	15.5172413793103	3.87931034482759	0	0	0	0	0.431034482758621	0	0	0	0	0.862068965517241
23849	41339	"Gourte Mires"	51.05444	-3.67833	132	"AWI"	132	2990	3638	3336	10.6761565836299	0.711743772241993	0	0.355871886120996	0	0	0.711743772241993	0.711743772241993	0	0.355871886120996	0	0	0	24.9110320284698	0	46.9750889679715	0	0	0	0.355871886120996	0	0.711743772241993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4555160142349	0.355871886120996	0	0	0	0	0	0	0	0	0.355871886120996	0.355871886120996
23849	41339	"Gourte Mires"	51.05444	-3.67833	136	"AWI"	136	3093	3712	3429	11.6379310344828	0.862068965517241	0	0.431034482758621	0	0	1.29310344827586	0	0	0.431034482758621	0	0.862068965517241	0	35.3448275862069	0	36.6379310344828	0	0	0	0	0	0	0	0	0	0	0.431034482758621	0	0	0	0	0.431034482758621	0	0	0	0	10.3448275862069	0	0	0	0	0	0.431034482758621	0	0.431034482758621	0	0	0.431034482758621
