"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Grossulariaceae"	"Ilex"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Montiaceae"	"Myrica"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
14573	22849	"Lake Racze"	53.96802	14.60637	900	"AWI"	900	1359	2075	1631	0	0	140	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	51	0	7	0	0	0	0	0	0	229	0	5	0	0	0	0	0	0	0	0	0	0	0	0	36	0	2	369	0	0	0	0	0	4	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	902	"AWI"	902	1430	2119	1711	0	0	187	1	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	31	0	14	0	0	0	0	0	0	194	0	7	0	0	0	1	0	0	1	0	0	0	0	0	30	0	1	227	0	0	0	0	0	6	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	904	"AWI"	904	1480	2182	1796	0	0	318	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	49	0	8	0	0	0	1	0	0	272	0	4	0	0	0	1	0	0	0	0	0	0	0	0	38	0	2	211	0	0	0	0	0	1	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	906	"AWI"	906	1518	2263	1880	1	0	212	1	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	53	0	9	0	0	0	0	1	0	250	0	9	0	0	1	2	0	0	0	0	0	0	1	0	28	0	0	170	0	0	0	0	0	2	0	171	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	2	1	0
14573	22849	"Lake Racze"	53.96802	14.60637	908	"AWI"	908	1550	2366	1958	1	0	260	2	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	58	0	9	0	0	0	0	0	0	343	0	4	0	0	0	0	0	0	0	0	0	0	0	0	50	0	1	194	0	0	0	0	0	5	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	3	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	910	"AWI"	910	1572	2494	2033	0	0	187	1	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	56	0	10	0	0	0	0	0	0	213	0	2	0	0	0	1	0	0	0	0	0	0	0	0	51	0	1	180	0	0	0	0	0	3	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	912	"AWI"	912	1714	2527	2106	0	0	280	1	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	58	0	12	0	0	0	0	0	0	262	0	3	0	0	0	0	0	0	0	0	0	0	0	0	42	0	1	225	0	0	0	0	0	2	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	8	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	914	"AWI"	914	1821	2556	2181	2	0	147	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	51	0	16	0	0	0	0	0	0	135	1	4	0	0	0	2	0	0	0	0	0	0	0	0	26	0	1	166	0	0	0	0	0	1	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	916	"AWI"	916	1912	2593	2259	0	0	169	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	54	0	16	0	0	0	0	0	0	162	0	5	0	0	0	0	0	0	0	0	0	0	0	0	44	0	1	249	0	0	0	0	0	4	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	918	"AWI"	918	1973	2655	2344	0	0	135	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	41	0	15	0	0	0	0	0	0	134	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	1	210	0	0	0	0	0	9	0	217	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0
