"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Montiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14522	22749	"Slawsko"	52.66667	18.25	100	"AWI"	100	1802	2188	1971	2	0	28	9	0	5	0	23	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	4	1	251	0	0	0	3	0	21	0	0	0	0	0	0	0	0	4	0	2
14522	22749	"Slawsko"	52.66667	18.25	110	"AWI"	110	1888	2323	2083	1	1	36	11	0	10	0	69	0	0	0	0	0	0	5	10	0	0	1	0	2	0	0	1	0	0	0	0	6	3	319	0	0	0	4	0	51	0	0	0	0	0	0	0	1	0	1	2
14522	22749	"Slawsko"	52.66667	18.25	120	"AWI"	120	1977	2460	2194	0	0	94	11	0	15	0	160	0	0	0	2	0	0	26	26	3	0	7	0	7	0	0	0	0	0	0	0	30	1	383	0	0	0	5	1	68	0	0	0	0	3	0	0	0	2	5	4
14522	22749	"Slawsko"	52.66667	18.25	130	"AWI"	130	2075	2591	2306	0	0	87	8	0	20	0	147	0	0	8	0	0	0	9	25	3	0	3	0	1	0	0	1	0	0	0	0	23	1	300	0	0	0	1	0	45	0	0	0	0	2	0	0	0	1	2	2
14522	22749	"Slawsko"	52.66667	18.25	140	"AWI"	140	2173	2712	2419	0	0	189	2	0	22	0	206	0	0	0	0	0	0	29	10	0	0	8	0	11	0	0	0	0	0	0	0	34	2	242	0	0	0	7	0	82	0	0	0	0	0	0	0	1	0	12	1
14522	22749	"Slawsko"	52.66667	18.25	150	"AWI"	150	2270	2828	2532	0	0	125	11	0	65	0	117	0	1	0	0	0	0	19	8	0	0	3	0	1	0	0	2	0	0	0	0	19	0	156	0	0	0	2	0	37	0	8	1	0	0	1	0	1	4	2	3
14522	22749	"Slawsko"	52.66667	18.25	160	"AWI"	160	2373	2948	2645	0	0	144	24	0	48	0	194	0	0	0	0	0	0	36	12	0	0	10	0	5	0	1	0	0	0	0	0	39	2	248	0	0	0	2	0	68	0	0	1	0	0	0	0	1	1	11	2
14522	22749	"Slawsko"	52.66667	18.25	170	"AWI"	170	2486	3063	2759	1	2	165	4	0	16	0	263	0	0	0	0	0	0	50	4	0	0	6	0	7	0	0	0	0	0	0	0	59	1	339	0	0	0	0	0	95	0	0	5	0	5	0	0	4	2	13	3
14522	22749	"Slawsko"	52.66667	18.25	180	"AWI"	180	2599	3170	2870	0	0	86	12	0	34	0	102	0	0	0	0	0	0	47	9	5	0	7	0	3	0	0	0	0	0	0	0	37	1	161	0	116	0	1	0	40	0	0	1	0	2	0	0	0	4	7	4
14522	22749	"Slawsko"	52.66667	18.25	190	"AWI"	190	2721	3281	2981	0	0	88	7	0	27	0	79	0	0	0	0	0	0	46	15	0	0	3	0	5	0	0	1	0	0	0	0	36	4	220	0	0	0	0	0	31	7	0	0	0	1	0	0	2	3	9	2
14522	22749	"Slawsko"	52.66667	18.25	200	"AWI"	200	2824	3389	3094	0	0	118	12	0	16	0	204	0	0	0	0	0	0	26	16	0	0	3	0	4	0	0	3	0	0	0	0	44	2	242	0	0	0	5	0	95	0	0	3	0	0	0	0	1	2	7	3
14522	22749	"Slawsko"	52.66667	18.25	210	"AWI"	210	2918	3519	3203	0	1	146	3	0	15	0	266	0	0	0	0	0	0	44	22	0	0	5	0	8	0	0	2	0	0	0	0	63	5	279	0	0	0	4	0	139	0	0	3	0	0	0	0	2	6	5	3
14522	22749	"Slawsko"	52.66667	18.25	220	"AWI"	220	3016	3646	3315	0	1	140	8	0	12	0	161	0	0	0	0	0	0	54	13	0	0	1	0	7	0	0	3	0	0	0	0	34	3	255	0	0	0	2	0	118	0	0	1	0	2	0	0	1	1	6	0
14522	22749	"Slawsko"	52.66667	18.25	230	"AWI"	230	3106	3766	3423	2	0	113	6	0	14	0	145	0	0	0	0	0	0	57	13	0	0	6	0	9	0	0	1	0	0	0	0	59	3	167	7	0	0	6	0	85	0	0	1	0	0	0	0	2	8	9	1
14522	22749	"Slawsko"	52.66667	18.25	240	"AWI"	240	3199	3886	3532	1	0	155	20	0	13	0	164	0	0	0	0	0	0	92	9	0	0	7	0	12	0	0	0	2	0	0	0	74	1	164	0	0	0	4	0	104	0	0	3	0	2	0	0	1	10	7	2
14522	22749	"Slawsko"	52.66667	18.25	250	"AWI"	250	3294	4005	3642	0	0	171	43	0	27	0	159	0	0	0	0	0	0	100	17	5	0	16	0	9	0	0	0	0	1	0	0	58	4	221	0	0	0	2	0	120	0	0	1	0	3	0	0	0	5	14	1
14522	22749	"Slawsko"	52.66667	18.25	260	"AWI"	260	3388	4123	3750	0	0	161	15	0	65	0	150	0	0	0	0	0	0	156	18	0	0	9	0	14	0	0	0	0	0	0	0	47	6	226	0	0	0	1	0	159	0	0	0	0	1	0	0	0	5	12	4
14522	22749	"Slawsko"	52.66667	18.25	270	"AWI"	270	3490	4242	3862	1	0	116	8	0	12	0	141	0	0	0	0	0	0	125	15	0	0	9	0	16	0	0	0	0	0	0	0	19	1	201	0	0	0	2	0	125	0	0	0	60	3	0	0	1	12	10	1
14522	22749	"Slawsko"	52.66667	18.25	280	"AWI"	280	3592	4359	3968	2	1	127	2	0	12	0	158	0	0	0	2	0	0	107	30	0	0	7	0	22	0	0	0	0	0	0	0	9	6	200	0	0	0	0	0	86	0	0	1	0	2	0	0	1	12	16	5
14522	22749	"Slawsko"	52.66667	18.25	290	"AWI"	290	3697	4475	4077	1	0	125	8	0	54	0	142	0	0	0	0	0	0	106	14	0	0	7	0	9	0	0	1	0	0	0	0	7	6	270	0	0	0	0	0	80	0	0	0	0	1	0	0	1	11	11	1
14522	22749	"Slawsko"	52.66667	18.25	300	"AWI"	300	3800	4585	4184	0	0	95	8	0	46	0	96	0	0	0	0	0	0	65	12	0	0	4	0	11	0	0	0	0	0	0	0	15	2	168	0	0	0	1	1	60	0	11	1	0	0	0	0	1	7	5	0
14522	22749	"Slawsko"	52.66667	18.25	310	"AWI"	310	3904	4692	4295	0	1	126	12	0	28	0	166	0	0	0	0	0	0	120	36	0	0	5	0	12	0	0	0	0	0	0	0	31	5	371	0	0	0	1	0	85	59	0	1	0	0	0	0	2	13	25	4
14522	22749	"Slawsko"	52.66667	18.25	320	"AWI"	320	4009	4797	4403	0	0	86	7	0	14	0	135	0	0	0	0	0	0	90	8	0	0	4	0	13	0	0	0	0	0	0	0	10	2	176	0	0	0	1	0	99	0	0	0	0	0	0	0	0	2	14	0
14522	22749	"Slawsko"	52.66667	18.25	330	"AWI"	330	4115	4912	4511	0	1	169	5	8	25	0	206	0	0	0	0	0	1	151	21	0	0	3	1	11	0	0	1	0	0	0	0	15	7	277	0	0	0	3	0	116	0	0	12	0	0	0	0	2	3	22	4
14522	22749	"Slawsko"	52.66667	18.25	340	"AWI"	340	4226	5021	4619	1	0	77	9	0	54	0	77	0	0	0	0	0	0	94	12	0	0	2	0	9	0	0	0	0	0	0	0	4	2	192	0	0	0	0	0	70	0	0	1	0	0	0	0	1	1	8	0
14522	22749	"Slawsko"	52.66667	18.25	350	"AWI"	350	4332	5131	4726	1	0	211	9	0	21	0	254	0	0	0	0	0	0	134	21	5	0	3	0	23	0	0	0	0	0	0	0	11	10	250	0	0	0	1	0	77	0	0	8	0	0	0	0	1	13	23	1
14522	22749	"Slawsko"	52.66667	18.25	360	"AWI"	360	4443	5236	4836	0	0	205	0	0	18	0	199	0	0	0	0	0	0	177	15	0	0	6	0	27	0	0	0	0	0	0	0	14	5	219	0	0	0	1	0	91	0	0	2	0	1	0	0	2	11	26	1
14522	22749	"Slawsko"	52.66667	18.25	370	"AWI"	370	4541	5350	4943	0	0	179	4	0	15	0	190	0	0	0	0	0	0	132	22	0	0	3	0	13	0	0	0	0	0	0	0	1	7	240	0	0	0	2	0	72	0	0	7	0	0	0	0	0	16	7	1
14522	22749	"Slawsko"	52.66667	18.25	380	"AWI"	380	4651	5451	5054	0	0	127	2	0	12	0	211	0	0	0	0	0	0	117	10	0	0	5	0	14	0	0	0	0	0	0	0	7	16	261	0	0	0	3	0	70	0	0	1	0	1	0	0	2	14	10	3
14522	22749	"Slawsko"	52.66667	18.25	390	"AWI"	390	4753	5558	5162	0	0	69	94	0	8	0	84	0	0	0	0	0	0	72	5	0	0	0	0	3	0	0	0	0	0	0	0	0	7	375	0	0	0	0	0	35	0	0	3	0	1	0	0	0	8	8	0
14522	22749	"Slawsko"	52.66667	18.25	400	"AWI"	400	4864	5661	5270	0	0	113	17	0	17	0	153	0	0	0	0	0	0	52	9	0	0	2	0	3	0	0	0	0	0	0	0	5	9	430	0	0	0	0	0	128	0	0	0	0	0	0	0	0	5	4	2
14522	22749	"Slawsko"	52.66667	18.25	410	"AWI"	410	4977	5761	5375	0	0	156	17	0	49	0	214	0	0	0	2	0	0	99	23	0	0	1	0	15	0	0	0	0	0	0	0	1	3	428	0	0	0	1	0	74	0	0	0	0	1	0	0	5	8	14	0
14522	22749	"Slawsko"	52.66667	18.25	420	"AWI"	420	5090	5865	5486	0	1	164	8	0	53	0	207	0	0	0	0	0	0	115	16	0	0	2	0	15	0	0	0	0	0	0	0	1	13	340	0	0	0	0	0	110	0	0	6	0	3	0	1	1	11	17	5
14522	22749	"Slawsko"	52.66667	18.25	430	"AWI"	430	5212	5970	5597	0	1	177	4	0	55	0	175	0	0	0	0	0	0	134	19	0	0	1	0	8	0	0	0	0	0	0	0	1	1	277	0	0	0	0	0	63	0	0	1	0	1	0	0	0	12	12	2
14522	22749	"Slawsko"	52.66667	18.25	440	"AWI"	440	5324	6064	5705	3	0	171	11	0	99	0	155	0	0	0	0	0	0	169	22	0	0	2	1	7	0	0	0	0	0	0	0	3	1	298	0	0	0	1	0	90	0	0	1	0	1	0	0	1	12	15	3
14522	22749	"Slawsko"	52.66667	18.25	450	"AWI"	450	5439	6175	5814	0	0	123	5	7	50	0	154	0	0	0	0	0	0	94	21	0	0	1	0	5	0	0	0	0	0	0	0	1	4	286	0	0	0	0	0	60	0	0	1	0	0	0	0	3	13	15	0
14522	22749	"Slawsko"	52.66667	18.25	460	"AWI"	460	5552	6275	5922	0	0	127	5	0	62	0	162	0	0	0	0	0	0	155	21	0	0	0	0	15	0	0	0	0	0	0	0	0	2	248	0	0	0	2	0	90	0	16	4	0	1	0	0	0	8	12	1
14522	22749	"Slawsko"	52.66667	18.25	470	"AWI"	470	5675	6370	6031	0	0	177	2	0	32	0	202	0	0	0	0	0	0	195	20	0	0	2	0	24	0	0	0	0	0	0	0	2	3	304	0	0	0	0	0	95	0	0	2	0	1	0	0	5	12	25	0
14522	22749	"Slawsko"	52.66667	18.25	480	"AWI"	480	5787	6466	6137	0	0	78	2	0	22	0	96	0	0	0	0	0	0	98	11	0	0	1	0	12	0	0	0	0	0	0	0	0	3	101	0	0	0	3	0	88	0	0	1	0	3	0	0	1	10	17	1
14522	22749	"Slawsko"	52.66667	18.25	490	"AWI"	490	5906	6562	6246	0	0	148	19	0	7	0	222	0	0	0	0	0	0	165	8	4	0	0	0	24	0	0	0	0	0	0	0	0	8	265	0	0	0	1	0	112	0	0	4	0	1	2	0	8	20	64	0
14522	22749	"Slawsko"	52.66667	18.25	500	"AWI"	500	6025	6658	6355	0	0	175	4	0	10	0	256	0	0	0	0	0	0	169	11	9	0	1	0	30	0	0	0	0	0	0	0	1	2	179	0	0	0	6	0	105	0	0	4	0	2	0	0	9	14	51	0
14522	22749	"Slawsko"	52.66667	18.25	510	"AWI"	510	6155	6757	6465	0	0	184	2	0	14	0	246	0	0	0	0	0	0	157	18	0	0	0	0	37	0	0	0	0	0	0	0	1	5	292	0	0	0	1	0	90	0	0	2	0	0	0	0	8	10	48	0
14522	22749	"Slawsko"	52.66667	18.25	520	"AWI"	520	6289	6853	6573	0	0	63	1	0	6	0	109	0	0	0	0	0	0	53	5	0	0	0	0	24	0	0	0	0	0	0	0	0	2	93	0	0	0	1	0	73	0	0	2	0	0	0	0	2	6	32	0
14522	22749	"Slawsko"	52.66667	18.25	530	"AWI"	530	6422	6950	6679	0	0	138	1	13	22	0	226	0	0	0	0	0	0	144	8	0	0	0	0	33	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	122	0	0	2	0	0	0	0	19	18	56	0
14522	22749	"Slawsko"	52.66667	18.25	540	"AWI"	540	6562	7049	6785	0	0	148	20	0	21	0	238	0	0	0	0	0	0	124	12	0	0	0	0	12	0	0	0	0	0	0	0	0	2	333	0	0	0	4	0	121	0	0	2	0	0	0	0	6	15	28	1
14522	22749	"Slawsko"	52.66667	18.25	550	"AWI"	550	6694	7161	6892	0	0	155	110	0	9	0	256	0	0	0	0	0	0	113	11	4	0	0	0	14	0	0	0	0	0	0	0	0	0	336	0	0	0	1	0	98	0	0	0	0	0	0	0	9	13	34	0
14522	22749	"Slawsko"	52.66667	18.25	560	"AWI"	560	6772	7291	6999	0	0	158	1	0	13	0	187	0	0	0	0	0	0	181	0	0	0	0	0	47	0	0	0	0	0	0	0	0	3	249	0	0	0	0	0	158	0	0	3	0	0	0	0	18	10	59	1
14522	22749	"Slawsko"	52.66667	18.25	570	"AWI"	570	6857	7426	7107	0	0	154	13	0	16	0	247	0	0	0	0	0	0	160	18	0	0	0	0	34	0	0	0	0	0	0	0	1	4	370	0	0	0	2	0	79	0	0	1	0	1	0	0	13	7	53	2
14522	22749	"Slawsko"	52.66667	18.25	580	"AWI"	580	6938	7567	7215	0	0	97	12	0	25	0	291	0	0	0	0	0	0	96	9	0	0	0	0	7	0	0	0	0	0	0	0	0	2	452	0	0	0	3	0	45	0	0	7	0	0	0	0	5	12	19	1
14522	22749	"Slawsko"	52.66667	18.25	590	"AWI"	590	7035	7698	7321	0	0	136	5	0	15	0	391	0	0	0	0	0	0	123	25	5	0	0	0	9	0	0	0	0	0	0	2	0	1	339	0	0	0	0	0	29	0	0	2	0	2	0	0	2	8	39	0
14522	22749	"Slawsko"	52.66667	18.25	600	"AWI"	600	7120	7828	7433	0	0	133	1	0	17	0	259	0	0	0	0	0	0	193	14	0	0	1	0	10	0	0	0	0	0	0	0	0	1	301	0	0	0	1	0	57	0	0	4	0	3	1	0	2	12	46	1
14522	22749	"Slawsko"	52.66667	18.25	610	"AWI"	610	7210	7957	7541	0	0	127	10	0	23	0	265	0	0	0	0	0	0	139	14	0	0	0	0	8	0	0	0	0	0	0	0	0	3	373	0	0	0	2	0	45	0	0	3	0	0	0	0	3	12	35	0
14522	22749	"Slawsko"	52.66667	18.25	620	"AWI"	620	7299	8085	7653	0	0	145	0	0	24	0	227	0	0	0	0	0	0	219	20	6	0	0	0	24	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	92	0	0	3	0	0	0	0	2	7	55	0
14522	22749	"Slawsko"	52.66667	18.25	630	"AWI"	630	7392	8210	7765	0	0	112	6	0	12	0	220	0	0	0	0	0	0	261	24	0	0	0	0	11	0	0	0	0	0	0	0	0	1	297	0	0	0	0	0	76	0	0	3	0	4	0	0	3	9	47	1
14522	22749	"Slawsko"	52.66667	18.25	640	"AWI"	640	7487	8337	7876	0	0	57	0	0	16	0	267	0	0	0	0	0	0	160	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	445	0	0	0	2	0	55	0	0	0	0	3	0	0	2	5	25	0
14522	22749	"Slawsko"	52.66667	18.25	650	"AWI"	650	7576	8467	7982	0	0	26	0	0	8	0	261	0	0	0	0	0	0	163	16	0	0	0	0	14	0	0	0	0	0	0	0	0	0	500	0	0	0	1	0	55	0	0	0	0	6	0	0	0	3	13	0
