"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Ceratonia"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26045	45170	"Lake Iznik"	40.43389	29.53306	504.5	"AWI"	504.5	3557.5	5078	4192	8	0	9	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	3	0	0	52	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	48	0	0	1	126	2	0	1	0	23	0	0	0	182	3	0	0	0	0	2	0	0	0	0	0	0	6	3	0	1
26045	45170	"Lake Iznik"	40.43389	29.53306	525	"AWI"	525	3652	5669	4429	3	0	7	0	0	0	0	0	12	0	5	0	2	0	0	1	0	0	0	0	0	0	0	0	8	8	0	0	4	0	0	45	0	0	0	0	43	0	9	0	0	0	0	0	0	35	0	15	0	0	0	27	5	0	3	0	47	1	0	0	201	2	0	0	2	0	3	0	0	0	0	0	1	8	3	0	6
26045	45170	"Lake Iznik"	40.43389	29.53306	532	"AWI"	532	3670	5945	4505	4	1	14	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	5	0	0	48	0	0	0	0	0	0	6	0	0	0	0	0	0	29	0	20	0	0	0	32	3	0	3	0	48	2	0	0	203	6	0	0	0	0	2	0	0	0	0	0	1	2	3	0	7
26045	45170	"Lake Iznik"	40.43389	29.53306	545	"AWI"	545	3729	6376	4644	9	0	8	0	0	0	0	0	12	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	3	0	0	65	4	0	0	0	37	1	3	0	0	0	0	0	0	26	0	25	0	0	0	53	0	0	0	0	41	1	0	0	212	2	0	0	1	0	0	0	0	0	0	0	1	3	7	0	3
26045	45170	"Lake Iznik"	40.43389	29.53306	559	"AWI"	559	3893	6554	4829	11	0	8	0	0	0	0	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	5	0	0	44	0	0	0	0	0	0	10	0	0	0	0	0	0	14	0	31	0	0	1	67	2	0	1	0	70	2	0	0	165	2	0	0	0	0	0	0	0	0	0	0	1	1	8	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	571	"AWI"	571	3989	6739	4998	24	0	3	0	0	2	0	0	7	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	5	5	0	0	0	0	0	44	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	13	0	0	0	118	1	0	0	0	0	0	0	0	204	0	0	0	1	0	0	0	0	0	0	0	0	7	6	0	3
26045	45170	"Lake Iznik"	40.43389	29.53306	601	"AWI"	601	4196	7315	5393	10	0	2	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	1	0	0	35	0	0	0	0	82	0	7	0	0	0	0	0	0	2	0	14	0	0	2	133	0	0	3	0	31	0	0	0	255	1	0	0	0	0	1	0	0	0	0	4	0	2	3	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	622	"AWI"	622	4414	7558	5673	4	0	3	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	32	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	9	0	0	0	90	0	0	0	0	21	0	0	0	302	2	0	0	1	0	1	0	0	0	0	0	0	5	4	0	1
26045	45170	"Lake Iznik"	40.43389	29.53306	651	"AWI"	651	4638	7946	6055	12	1	2	0	0	2	0	2	6	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	3	11	0	0	0	0	0	35	0	0	0	1	57	0	4	0	0	0	0	0	0	7	0	13	0	0	0	77	2	0	1	0	53	0	1	0	255	0	0	0	1	0	0	0	0	0	0	0	0	7	4	0	4
26045	45170	"Lake Iznik"	40.43389	29.53306	678	"AWI"	678	4968	8329	6407	11	0	3	0	0	0	0	1	7	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	6	2	0	1	0	0	0	61	0	0	0	0	0	1	1	0	0	0	0	0	0	7	0	32	0	0	0	40	3	0	1	0	39	0	0	0	247	1	0	0	0	0	0	1	1	0	0	0	0	11	5	0	0
26045	45170	"Lake Iznik"	40.43389	29.53306	698	"AWI"	698	5193	8530	6701	6	0	3	0	0	0	0	1	11	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	45	0	0	0	0	0	1	13	0	0	0	0	0	0	4	0	20	0	0	0	35	1	0	0	0	0	0	0	1	312	0	0	0	0	0	0	0	0	0	0	0	1	6	5	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	718	"AWI"	718	5334	8772	7036	5	0	1	0	0	0	0	1	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	1	0	0	67	5	0	0	0	43	0	27	0	0	0	1	0	0	1	0	18	0	0	0	11	1	0	1	0	56	1	0	0	253	1	0	0	3	0	2	0	1	0	0	0	0	3	1	0	1
26045	45170	"Lake Iznik"	40.43389	29.53306	728	"AWI"	728	5432	8983	7175	10	0	5	0	0	4	0	0	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	27	18	0	0	0	0	0	55	0	0	0	2	0	0	18	0	0	0	0	0	0	1	0	42	0	0	0	15	5	0	0	0	117	4	0	0	207	2	0	0	1	0	2	0	0	0	1	1	0	11	4	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	738	"AWI"	738	5622	9057	7316	8	0	2	0	0	2	0	0	13	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	11	6	0	0	0	0	0	17	0	0	0	1	0	0	16	0	0	0	0	0	0	2	0	11	0	0	0	28	2	0	1	0	56	1	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0
26045	45170	"Lake Iznik"	40.43389	29.53306	750	"AWI"	750	5800	9156	7468	6	1	4	0	0	2	0	0	9	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	27	0	0	0	1	0	0	17	0	0	0	0	0	0	2	0	8	0	0	0	24	0	0	1	0	0	0	0	0	324	0	0	0	1	0	2	0	0	0	0	0	1	4	4	0	1
26045	45170	"Lake Iznik"	40.43389	29.53306	763	"AWI"	763	5967	9257	7648	6	1	1	0	0	1	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	25	0	0	1	0	0	0	8	0	0	0	0	0	0	3	0	18	0	0	0	9	3	0	0	0	38	0	0	0	336	2	0	0	1	0	1	1	0	0	0	0	1	1	2	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	780	"AWI"	780	6117	9456	7883	9	0	2	0	0	0	0	0	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	32	6	0	0	0	0	0	12	0	0	0	0	0	0	3	0	17	0	0	0	9	4	0	0	0	55	0	0	0	326	4	0	0	1	0	1	0	0	0	0	0	0	1	1	0	3
26045	45170	"Lake Iznik"	40.43389	29.53306	800	"AWI"	800	6571	9613	8154	18	0	7	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	0	0	44	3	0	0	0	0	0	11	0	0	0	0	0	0	1	0	25	0	0	0	9	3	0	0	0	28	0	0	0	314	1	0	0	0	0	0	0	0	0	0	0	0	8	5	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	814	"AWI"	814	6905	9687	8383	10	0	13	0	0	0	0	0	7	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	22	2	0	0	4	0	0	30	0	0	0	1	0	1	5	0	0	0	0	0	0	21	0	26	0	0	0	41	3	0	2	0	0	0	2	0	280	0	0	0	0	0	0	0	0	0	0	2	0	2	9	0	0
26045	45170	"Lake Iznik"	40.43389	29.53306	826	"AWI"	826	7136	9739	8582	16	0	3	0	0	0	0	0	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	31	0	1	0	0	59	0	13	0	0	0	0	0	0	1	0	15	0	0	1	13	2	0	0	0	51	0	0	0	289	2	0	0	0	0	0	0	1	0	1	0	0	4	1	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	836	"AWI"	836	7322	9813	8739	10	0	2	0	0	0	0	0	7	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	24	0	0	0	0	0	0	10	0	0	1	0	0	0	1	0	10	0	0	1	11	3	0	0	0	53	1	0	0	285	4	0	0	2	0	1	0	0	0	0	0	0	4	0	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	856	"AWI"	856	7696	9996	9000	26	0	3	0	0	0	0	0	16	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	12	5	0	0	0	0	0	34	0	0	0	1	55	1	15	0	0	0	0	0	0	1	0	25	0	0	0	10	6	0	1	0	54	0	0	0	261	4	0	0	0	0	0	0	0	0	0	1	2	2	2	0	1
