"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	184	"AWI"	184	108	590	340	3	0	0	1	0	0	0	0	0	0	9	0	1	0	0	1	0	0	0	0	0	0	21	5	0	0	0	0	0	2	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	1	15	0	0	0	0	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	1	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	186	"AWI"	186	112	601	350	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	15	7	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	11	0	20	0	0	0	0	16	0	0	0	0	1	2	1	0	0	0	0	0	1	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	188	"AWI"	188	117	614	361	6	0	0	1	0	0	0	1	0	0	25	0	1	0	0	4	0	0	0	0	0	0	52	8	0	0	0	0	0	26	1	1	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	8	45	0	23	0	0	0	0	41	0	0	0	0	2	0	0	0	0	0	0	2	4	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	190	"AWI"	190	122	627	370	3	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	11	5	0	0	0	0	0	9	0	1	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	4	0	3	19	0	0	0	0	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0	3	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	192	"AWI"	192	129	640	381	0	0	0	0	0	0	1	3	0	0	27	0	0	0	0	2	0	0	0	0	0	0	16	3	0	0	0	0	0	7	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	6	0	2	12	0	18	0	0	0	0	28	0	0	0	0	2	3	0	0	0	0	0	0	0	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	194	"AWI"	194	136	653	390	8	2	0	0	0	0	0	2	0	0	11	0	1	0	0	2	0	0	0	0	0	0	27	4	0	0	0	0	0	13	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	2	22	0	0	0	0	0	1	24	0	0	0	1	1	5	1	0	0	0	0	1	2	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	196	"AWI"	196	152	658	400	6	0	0	3	1	0	0	5	0	0	31	0	0	0	0	8	0	0	1	0	0	0	18	17	0	0	0	0	0	11	1	2	0	0	0	0	0	11	3	0	0	0	0	0	0	0	0	1	0	6	26	0	45	0	0	0	0	65	0	0	0	0	6	3	0	1	0	0	0	2	1	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	198	"AWI"	198	164	663	410	8	0	0	2	0	0	0	4	0	0	9	0	0	1	0	1	0	0	0	0	0	0	28	4	0	0	0	0	0	17	0	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	3	0	6	28	0	0	0	0	0	0	37	0	0	0	0	1	2	0	0	0	0	0	1	3	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	200	"AWI"	200	174	669	420	16	0	0	0	0	0	0	1	0	0	15	0	1	0	0	2	0	0	0	0	0	0	28	10	0	0	0	0	0	33	0	3	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	5	0	15	64	0	37	0	0	0	0	46	0	0	0	0	1	0	0	0	0	0	0	3	3	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	202	"AWI"	202	185	677	431	5	0	0	1	0	0	0	3	0	0	23	0	1	0	0	3	0	0	2	0	0	0	54	8	0	0	0	0	0	26	0	4	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	7	0	3	44	0	65	0	0	0	0	55	0	0	0	0	6	5	0	0	0	0	1	2	3	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	204	"AWI"	204	193	685	440	6	2	0	0	0	0	0	3	0	0	36	0	1	1	0	0	0	0	2	0	0	0	54	12	0	0	0	0	0	32	0	3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	18	34	0	29	0	0	0	2	73	0	0	0	0	0	2	0	0	0	0	0	0	3	0
