"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Ilex"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"
14499	22711	"Loch Clair"	57.55889	-5.34361	100	"AWI"	100	1338	2490	1943	29	0	0	0	0	0	0	0	0	70	14	0	0	0	0	0	1	0	50	0	0	41	0	6	2	0	0	0	0	0	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	110	"AWI"	110	1550	2658	2143	28	0	0	0	0	0	0	0	0	72	16	113	0	0	0	1	0	0	40	0	0	52	0	3	6	0	1	1	0	0	2	0	1	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	120	"AWI"	120	1767	2808	2346	26	0	0	0	0	0	0	0	0	50	10	0	1	2	0	0	0	0	40	0	0	18	0	3	0	0	0	0	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	130	"AWI"	130	2029	2966	2544	29	0	0	0	0	0	1	0	0	47	15	0	0	0	0	0	0	0	40	0	0	24	0	4	0	0	0	0	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	140	"AWI"	140	2287	3100	2744	18	0	0	0	0	0	0	0	0	51	5	0	0	0	0	0	0	0	57	0	0	37	0	2	1	0	0	0	0	0	5	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	150	"AWI"	150	2618	3231	2928	33	0	0	0	0	0	0	0	0	60	20	0	1	0	0	0	0	1	52	0	0	40	0	1	3	0	0	1	0	0	0	0	0	0	2
14499	22711	"Loch Clair"	57.55889	-5.34361	160	"AWI"	160	2841	3400	3112	39	0	0	0	0	0	0	0	0	61	10	142	0	0	0	0	0	0	33	0	0	40	0	1	1	0	0	0	0	0	0	0	0	0	2
14499	22711	"Loch Clair"	57.55889	-5.34361	162	"AWI"	162	2856	3458	3145	34	0	0	0	0	0	2	0	0	58	12	0	0	0	0	0	0	0	42	0	0	29	0	4	0	0	0	0	0	0	2	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	168	"AWI"	168	2941	3579	3248	54	2	0	0	0	0	1	0	0	52	9	0	1	0	0	1	0	0	22	0	0	51	0	3	0	0	0	0	0	0	2	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	172	"AWI"	172	2985	3683	3316	45	0	0	0	0	0	0	0	0	51	19	84	0	0	0	1	0	0	37	0	0	42	0	0	2	0	0	1	0	0	1	1	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	176	"AWI"	176	3063	3738	3384	25	0	0	0	0	0	0	0	0	35	5	0	0	0	0	0	1	0	27	0	0	16	0	1	0	0	0	0	0	0	4	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	190	"AWI"	190	3283	3988	3631	46	0	0	0	0	0	0	0	0	51	13	45	0	0	0	0	0	0	36	0	0	21	0	3	0	0	0	0	0	0	1	0	0	0	2
14499	22711	"Loch Clair"	57.55889	-5.34361	200	"AWI"	200	3533	4157	3801	37	0	0	0	0	0	0	0	0	66	14	0	0	1	0	0	0	0	48	0	0	35	0	5	0	0	0	0	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	210	"AWI"	210	3753	4401	4030	47	0	0	0	0	0	2	0	0	40	12	66	0	0	0	0	2	0	56	0	0	27	0	4	0	0	0	2	0	0	0	0	0	0	4
14499	22711	"Loch Clair"	57.55889	-5.34361	220	"AWI"	220	3937	4799	4321	30	0	0	0	0	0	0	0	0	53	9	0	0	0	0	1	0	0	43	0	0	21	0	1	0	0	0	0	0	0	1	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	230	"AWI"	230	4159	5098	4627	47	0	0	0	0	0	0	0	0	36	5	0	0	0	0	2	0	0	37	0	0	18	0	2	0	0	0	0	0	0	1	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	240	"AWI"	240	4414	5342	4925	36	0	0	0	0	0	1	0	0	40	8	0	0	1	0	0	0	0	46	0	0	12	0	3	0	0	0	0	0	0	2	0	0	0	4
14499	22711	"Loch Clair"	57.55889	-5.34361	250	"AWI"	250	4786	5531	5236	35	0	0	0	0	0	0	0	0	45	5	0	0	1	0	3	0	0	47	0	0	14	0	6	0	0	0	1	0	0	2	0	0	0	4
14499	22711	"Loch Clair"	57.55889	-5.34361	262	"AWI"	262	5142	5806	5536	38	2	0	0	0	0	0	0	0	40	5	0	0	0	0	2	0	0	65	0	0	11	0	3	0	0	0	0	0	0	3	0	0	0	2
14499	22711	"Loch Clair"	57.55889	-5.34361	270	"AWI"	270	5319	6017	5700	23	0	0	0	0	0	0	0	0	27	1	21	0	0	0	0	0	0	42	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	274	"AWI"	274	5409	6107	5783	48	0	0	0	0	0	0	0	0	51	3	0	0	0	0	2	0	0	53	0	0	12	0	2	0	0	0	0	0	0	1	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	278	"AWI"	278	5525	6174	5866	28	0	0	0	0	0	0	0	0	32	1	0	0	0	0	4	1	0	73	0	0	15	1	4	0	0	0	0	0	0	1	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	282	"AWI"	282	5618	6235	5955	43	0	0	0	0	0	0	0	0	37	5	0	0	0	1	2	0	0	55	0	0	7	0	1	0	0	0	0	0	0	2	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	286	"AWI"	286	5741	6307	6037	39	1	0	0	0	0	0	0	0	22	1	0	0	0	0	0	1	0	58	0	0	8	0	1	1	0	0	0	0	0	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	290	"AWI"	290	5851	6380	6126	36	0	0	0	0	0	0	0	0	38	2	0	0	0	0	1	0	0	51	0	0	7	0	4	2	0	0	0	0	0	2	0	0	0	5
14499	22711	"Loch Clair"	57.55889	-5.34361	294	"AWI"	294	5931	6479	6209	28	0	0	0	0	0	0	0	0	41	2	0	0	0	0	2	0	0	57	0	0	16	0	2	1	0	0	0	0	0	1	0	0	0	4
14499	22711	"Loch Clair"	57.55889	-5.34361	298	"AWI"	298	5989	6607	6293	14	3	0	0	0	0	0	0	0	29	5	0	1	0	0	3	2	0	43	0	0	20	0	1	0	0	0	1	0	0	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	302	"AWI"	302	6039	6766	6368	39	0	0	0	0	0	0	0	0	36	4	0	0	0	0	2	0	0	58	0	0	18	0	2	1	0	0	0	0	0	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	306	"AWI"	306	6112	6860	6459	39	0	0	0	0	0	0	0	0	59	3	0	1	0	0	0	2	0	59	0	0	16	0	1	0	0	1	0	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	310	"AWI"	310	6167	6988	6540	35	0	0	0	0	0	1	0	0	36	1	0	1	0	0	0	0	0	64	0	0	12	0	6	1	0	0	0	0	0	0	0	0	0	7
14499	22711	"Loch Clair"	57.55889	-5.34361	314	"AWI"	314	6247	7065	6628	47	0	0	0	0	0	1	0	0	46	7	0	1	0	0	1	0	0	97	0	0	15	0	6	0	0	0	0	0	0	0	0	0	0	6
14499	22711	"Loch Clair"	57.55889	-5.34361	318	"AWI"	318	6295	7171	6712	33	0	0	0	0	0	0	0	0	27	3	0	0	0	0	1	0	0	67	0	0	7	0	3	1	0	0	0	0	0	0	0	0	0	9
14499	22711	"Loch Clair"	57.55889	-5.34361	322	"AWI"	322	6390	7247	6797	22	1	1	0	0	0	0	0	0	38	2	0	0	0	0	0	0	0	61	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	4
14499	22711	"Loch Clair"	57.55889	-5.34361	326	"AWI"	326	6451	7346	6883	23	0	0	0	0	0	0	0	0	29	3	0	0	0	0	1	0	0	54	0	0	11	0	7	0	0	0	0	0	0	2	0	0	0	2
14499	22711	"Loch Clair"	57.55889	-5.34361	330	"AWI"	330	6554	7435	6967	18	0	0	0	0	0	0	0	0	39	0	0	0	0	0	4	0	0	77	0	0	12	0	1	0	0	0	0	0	0	2	0	0	0	3
14499	22711	"Loch Clair"	57.55889	-5.34361	334	"AWI"	334	6612	7535	7055	6	0	0	0	0	0	0	0	0	49	7	0	0	0	0	5	0	0	95	0	0	15	0	7	0	0	0	0	0	0	1	0	0	0	4
14499	22711	"Loch Clair"	57.55889	-5.34361	338	"AWI"	338	6719	7610	7138	11	0	1	0	0	0	0	0	0	40	3	0	0	0	0	6	0	0	79	0	0	18	0	9	0	0	0	0	0	0	1	0	0	0	8
14499	22711	"Loch Clair"	57.55889	-5.34361	342	"AWI"	342	6797	7707	7223	9	0	0	0	0	0	0	0	0	29	6	0	0	0	0	1	0	0	91	0	0	19	0	5	0	0	0	0	0	0	0	0	0	0	5
14499	22711	"Loch Clair"	57.55889	-5.34361	346	"AWI"	346	6907	7778	7307	3	0	0	0	0	0	0	0	0	21	2	0	1	0	0	4	1	0	98	0	0	12	0	2	1	0	0	0	0	0	0	0	0	0	3
14499	22711	"Loch Clair"	57.55889	-5.34361	350	"AWI"	350	7041	7841	7385	2	1	0	0	0	0	0	0	0	50	4	0	0	0	0	4	0	0	77	0	0	17	0	1	1	0	0	0	0	0	1	0	0	0	9
14499	22711	"Loch Clair"	57.55889	-5.34361	354	"AWI"	354	7170	7937	7487	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
14499	22711	"Loch Clair"	57.55889	-5.34361	358	"AWI"	358	7281	8104	7629	0	0	0	0	0	0	0	0	0	59	2	0	0	0	0	7	0	0	65	0	0	18	0	3	0	0	0	0	0	0	2	0	0	0	5
14499	22711	"Loch Clair"	57.55889	-5.34361	366	"AWI"	366	7485	8549	7952	0	1	0	0	0	0	0	0	0	41	7	0	0	0	0	10	1	0	36	0	0	23	0	3	1	0	0	2	0	0	2	0	0	0	9
14499	22711	"Loch Clair"	57.55889	-5.34361	370	"AWI"	370	7557	8847	8113	0	0	0	0	0	0	1	0	0	28	4	0	0	0	0	8	0	0	16	0	0	23	0	0	0	0	0	3	0	0	5	0	0	0	3
14499	22711	"Loch Clair"	57.55889	-5.34361	374	"AWI"	374	7722	8982	8297	0	1	0	0	0	0	0	0	0	31	6	0	0	0	0	13	0	1	21	0	0	16	0	5	2	0	0	0	0	0	2	0	0	0	2
14499	22711	"Loch Clair"	57.55889	-5.34361	378	"AWI"	378	7810	9190	8472	0	0	0	0	0	0	0	0	0	76	1	96	0	0	0	5	0	1	7	0	0	23	0	3	0	0	0	1	0	0	1	1	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	382	"AWI"	382	8006	9315	8661	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	5	0	1	9	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2
14499	22711	"Loch Clair"	57.55889	-5.34361	386	"AWI"	386	8134	9499	8855	1	0	0	0	0	0	0	0	0	32	1	0	0	0	0	1	0	0	7	0	0	14	0	2	1	0	0	0	0	0	1	0	0	0	9
14499	22711	"Loch Clair"	57.55889	-5.34361	390	"AWI"	390	8305	9621	9024	0	0	0	0	0	0	0	0	0	34	2	0	0	0	0	1	1	0	11	0	1	25	0	0	0	0	0	1	0	0	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	394	"AWI"	394	8447	9742	9220	1	2	0	1	0	0	0	0	0	60	6	0	0	0	0	7	1	1	3	0	0	20	0	5	1	0	0	1	0	0	0	0	0	0	5
14499	22711	"Loch Clair"	57.55889	-5.34361	398	"AWI"	398	8700	9857	9389	0	2	0	0	0	0	0	0	0	22	7	0	0	0	0	1	0	0	3	0	0	14	1	3	0	0	0	1	0	0	1	0	0	0	2
14499	22711	"Loch Clair"	57.55889	-5.34361	402	"AWI"	402	8925	9949	9545	0	0	0	0	0	0	0	0	0	49	6	0	1	0	0	0	0	0	6	0	0	19	0	5	0	0	0	1	0	1	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	406	"AWI"	406	9061	10059	9667	0	0	0	0	0	0	1	0	0	12	1	0	0	0	0	0	1	0	0	0	0	12	0	2	0	0	0	0	0	0	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	410	"AWI"	410	9146	10143	9739	0	1	0	0	0	138	0	0	0	49	4	0	0	0	0	3	0	0	5	0	0	16	0	2	0	0	0	1	0	0	1	0	0	0	5
14499	22711	"Loch Clair"	57.55889	-5.34361	412	"AWI"	412	9181	10198	9771	0	0	0	0	0	0	0	0	0	28	1	0	0	0	0	1	1	1	3	0	0	21	0	0	2	0	0	1	0	0	1	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	414	"AWI"	414	9230	10247	9803	0	0	0	0	0	0	1	0	0	22	5	0	1	0	0	2	0	0	5	0	0	27	0	1	0	0	0	1	0	0	0	0	0	0	3
14499	22711	"Loch Clair"	57.55889	-5.34361	418	"AWI"	418	9322	10313	9867	0	0	0	0	0	0	0	0	0	15	2	0	0	0	0	3	0	0	3	0	0	31	0	1	0	0	0	0	0	0	1	0	1	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	420	"AWI"	420	9356	10354	9898	0	0	0	0	2	0	0	0	0	18	3	0	0	0	0	0	0	0	1	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	422	"AWI"	422	9403	10403	9928	0	1	0	0	0	0	0	0	0	22	4	0	0	0	0	5	0	0	0	0	0	27	0	0	1	0	0	1	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	424	"AWI"	424	9452	10424	9959	0	1	0	0	0	0	0	0	0	23	1	0	0	0	0	2	0	0	2	0	0	32	0	0	1	0	0	3	0	0	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	426	"AWI"	426	9502	10456	9989	0	0	0	0	0	0	1	0	0	31	2	0	0	0	0	7	0	1	3	0	0	33	0	0	0	0	0	1	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	428	"AWI"	428	9550	10489	10018	0	0	0	0	0	0	0	0	0	18	4	0	0	0	0	6	0	0	0	0	0	36	0	0	0	0	0	4	0	0	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	432	"AWI"	432	9655	10561	10088	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	9	0	0	2	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	434	"AWI"	434	9716	10609	10129	0	0	0	0	0	0	0	0	0	3	3	0	1	0	0	21	0	0	2	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	438	"AWI"	438	9801	10706	10204	0	1	0	0	0	0	2	0	0	4	11	0	0	0	0	71	0	0	9	0	0	31	0	2	0	0	0	3	0	0	1	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	440	"AWI"	440	9840	10775	10249	0	0	0	0	5	0	1	0	0	1	5	0	0	0	0	31	0	0	4	0	0	30	0	0	0	0	0	2	10	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	444	"AWI"	444	9908	10934	10346	0	2	0	0	0	39	4	0	0	0	4	0	0	0	0	22	1	0	0	0	0	25	0	0	0	0	0	4	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	446	"AWI"	446	9937	11052	10393	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	30	0	0	1	0	0	2	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	450	"AWI"	450	10020	11207	10496	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	44	0	0	9	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	454	"AWI"	454	10084	11372	10603	0	1	0	0	0	0	2	0	0	0	17	0	0	0	0	39	0	1	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	458	"AWI"	458	10155	11540	10709	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	36	0	1	1	0	0	28	0	0	0	0	0	5	0	0	2	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	462	"AWI"	462	10220	11677	10813	0	1	0	1	0	0	1	0	0	0	7	0	2	0	0	86	0	0	1	0	0	17	0	0	0	0	0	3	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	468	"AWI"	468	10334	11873	10971	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	48	0	0	4	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	472	"AWI"	472	10398	12013	11079	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	21	0	0	3	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	474	"AWI"	474	10444	12083	11130	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	17	0	0	3	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0
14499	22711	"Loch Clair"	57.55889	-5.34361	478	"AWI"	478	10525	12203	11232	0	0	0	0	3	0	4	0	0	0	4	0	0	0	0	1	0	0	1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	480	"AWI"	480	10553	12285	11285	0	0	0	0	0	4	4	0	0	0	6	0	1	0	0	7	0	0	1	0	0	18	0	0	0	0	0	2	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	482	"AWI"	482	10585	12361	11335	0	1	0	0	0	0	2	0	0	0	7	0	0	0	0	45	0	0	0	0	0	23	0	0	0	0	0	3	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	484	"AWI"	484	10626	12404	11386	0	0	0	0	0	0	4	0	0	0	8	0	1	0	0	27	0	2	3	0	0	16	0	0	1	0	0	3	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	486	"AWI"	486	10660	12461	11440	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	15	0	0	5	0	0	2	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	488	"AWI"	488	10695	12519	11491	0	0	0	0	0	0	5	0	0	0	4	0	2	0	0	2	0	0	0	0	0	36	0	0	3	0	0	2	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	490	"AWI"	490	10730	12594	11547	0	0	0	0	2	0	2	0	0	0	6	0	0	0	0	24	0	1	3	0	0	29	0	0	0	0	0	2	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	492	"AWI"	492	10789	12645	11599	0	0	0	1	5	0	3	0	0	0	23	0	0	0	0	8	1	0	1	0	0	18	0	0	0	0	0	3	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	494	"AWI"	494	10836	12702	11655	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	22	0	0	9	0	0	16	0	0	0	0	0	6	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	496	"AWI"	496	10872	12764	11709	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	4	0	0	0	0	0	36	0	0	2	0	0	4	0	0	1	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	498	"AWI"	498	10902	12846	11759	0	0	0	0	11	0	6	0	0	0	11	0	0	0	0	0	0	4	1	0	1	23	0	0	1	0	0	6	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	502	"AWI"	502	10980	12964	11864	0	0	0	0	5	0	1	0	0	0	6	0	0	0	0	10	0	1	3	0	0	31	1	0	1	0	0	3	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	504	"AWI"	504	11019	13029	11914	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	16	0	1	1	0	0	24	0	0	0	0	1	7	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	508	"AWI"	508	11095	13179	12016	0	0	0	0	2	0	1	0	0	0	10	0	0	0	0	2	0	0	1	0	0	14	0	0	2	0	0	0	7	0	0	0	0	1	0
14499	22711	"Loch Clair"	57.55889	-5.34361	512	"AWI"	512	11190	13316	12119	0	0	0	0	6	3	1	0	0	0	2	0	1	0	0	0	0	1	1	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	516	"AWI"	516	11248	13459	12218	0	0	0	1	8	0	9	0	0	0	2	0	1	0	0	0	0	6	1	0	0	16	0	0	0	0	0	21	0	1	5	0	0	0	0
