"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	120	"AWI"	120	5807	6721	6300	1	1	262	0	0	0	1	1	0	321	0	0	3	0	0	0	0	0	0	4	0	34	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	171	319	0	0	0	1	0	0	0	0	2	18	0	0	2	0	2	0	0	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	125	"AWI"	125	6335	6968	6678	0	1	74	0	0	0	0	2	0	332	0	0	2	0	0	0	1	0	0	1	0	275	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	3	0	0	2	0	0	9	0	0	133	299	0	0	0	1	0	0	0	0	1	10	0	0	1	0	1	0	4	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	130	"AWI"	130	6503	7291	6906	1	0	85	0	0	0	0	3	0	231	0	0	2	0	0	0	1	0	0	1	0	243	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	7	1	0	2	2	0	3	0	0	114	398	0	0	0	3	0	0	0	0	1	16	0	0	1	0	5	1	10	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	135	"AWI"	135	6680	7526	7089	0	0	136	0	0	0	0	2	0	170	0	0	2	0	0	0	3	1	0	3	0	129	0	0	0	0	0	0	0	1	0	0	0	5	0	1	0	1	0	0	0	0	0	5	0	0	108	467	0	0	0	2	0	0	0	0	1	5	0	0	0	0	3	0	4	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	140	"AWI"	140	6806	7625	7262	1	0	139	1	0	0	0	0	0	113	0	0	3	0	0	0	3	0	0	9	0	106	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	5	0	0	0	1	0	4	0	0	87	469	0	0	0	2	0	0	0	0	2	11	0	0	0	1	1	0	4	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	145	"AWI"	145	6990	7758	7416	0	1	130	0	0	0	0	2	0	124	0	0	0	0	0	0	3	0	0	4	0	35	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	3	0	0	70	663	0	0	0	3	0	0	0	0	0	6	0	0	2	0	7	3	5	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	150	"AWI"	150	7265	7813	7562	0	0	158	0	0	0	0	1	0	83	0	0	0	0	0	0	0	0	0	7	0	149	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	0	0	0	0	0	2	0	0	102	548	0	0	0	3	0	0	0	0	0	6	0	0	0	0	5	4	4	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	155	"AWI"	155	7409	7920	7699	0	0	129	0	0	0	0	1	0	308	0	0	3	0	0	0	1	0	0	3	0	80	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	11	0	0	78	423	0	0	0	5	0	0	0	0	0	9	0	0	0	0	7	0	5	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	160	"AWI"	160	7488	8021	7779	0	0	159	0	0	0	0	1	0	171	0	0	2	0	0	0	4	1	0	8	0	18	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	1	0	0	0	0	0	6	0	0	72	607	0	0	0	4	0	0	0	0	2	17	0	0	1	0	4	0	6	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	165	"AWI"	165	7538	8194	7851	0	0	155	0	0	0	0	0	0	55	0	0	4	0	0	0	1	1	0	7	0	71	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	5	0	0	62	661	0	0	0	2	0	0	3	0	2	5	0	0	0	0	3	1	5	0	0	0	0
