"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	136	"AWI"	136	1452	1792	1601	126	0	25	0	0	0	2	0	15	0	0	0	0	0	0	0	0	0	48	1	0	1	0	115	0	2	0	0	0	0	0	0	0	1	0	2	0	7	22	6	0	0	0	41	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	140	"AWI"	140	1483	1854	1646	103	0	49	1	1	0	2	0	24	0	0	0	0	0	0	0	0	0	89	1	0	0	0	148	0	1	0	0	0	0	0	0	0	0	0	2	0	3	5	15	0	0	0	40	1	0	0	1	1	1	0	0	0	0	0	4	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	145	"AWI"	145	1530	1923	1703	83	1	32	0	0	0	1	0	10	0	1	0	0	0	0	1	0	0	38	1	0	0	0	196	0	3	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	28	1	0	0	0	2	0	0	0	0	0	0	3	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	150	"AWI"	150	1570	1992	1759	119	0	40	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	25	2	0	0	0	222	0	3	0	0	0	0	0	1	0	0	0	0	0	7	4	0	0	0	0	34	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	153	"AWI"	153	1598	2027	1793	93	1	24	0	0	0	3	0	8	0	0	1	0	0	0	1	0	0	40	9	10	0	0	179	0	4	0	0	1	0	0	0	0	0	0	0	0	6	4	0	0	0	0	40	2	0	0	0	0	0	0	1	0	0	0	8	1	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	156	"AWI"	156	1625	2071	1826	96	1	40	0	0	0	6	0	18	0	0	1	0	2	0	0	0	0	39	3	0	0	0	126	0	9	0	0	0	0	0	0	0	0	0	2	0	16	6	0	0	0	0	41	0	0	0	0	2	2	0	0	0	0	0	4	1	0	1
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	160	"AWI"	160	1660	2129	1873	107	0	70	0	3	0	2	0	36	0	0	0	0	0	0	0	0	0	49	2	0	0	0	222	0	13	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	48	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	164	"AWI"	164	1697	2181	1917	66	1	87	0	0	0	1	0	31	0	0	0	0	1	0	0	0	0	66	2	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	48	1	0	0	0	0	1	0	0	0	1	1	2	0	0	2
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	168	"AWI"	168	1734	2234	1963	110	0	21	1	1	0	4	0	17	0	0	0	0	0	0	0	0	0	41	6	0	0	0	130	0	7	0	0	1	1	0	0	0	0	0	0	0	21	2	0	0	0	0	62	0	0	0	1	0	3	0	0	0	0	0	5	2	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	172	"AWI"	172	1772	2288	2007	76	1	75	0	1	0	3	0	21	0	0	0	0	0	0	0	0	0	48	1	0	0	0	173	0	12	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	46	2	0	0	1	1	1	0	0	0	0	0	2	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	176	"AWI"	176	1807	2343	2053	100	0	26	1	0	0	1	0	17	0	0	0	0	0	0	0	0	0	26	4	0	0	0	170	0	12	0	0	0	0	0	0	0	0	0	0	0	20	5	0	0	0	0	52	4	0	0	0	1	1	0	0	0	0	1	2	0	0	2
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	180	"AWI"	180	1848	2394	2098	50	2	49	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	40	1	0	0	0	127	0	7	0	0	1	0	0	0	0	0	0	0	0	18	3	0	0	0	0	62	0	0	0	0	1	0	0	0	0	0	1	3	1	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	184	"AWI"	184	1889	2447	2142	45	0	20	0	1	0	3	0	14	0	0	0	0	0	0	0	0	0	20	3	0	0	0	130	0	4	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	82	0	0	0	0	1	2	0	0	0	0	1	5	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	188	"AWI"	188	1926	2504	2188	89	1	28	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	40	2	0	0	0	149	0	6	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	37	0	0	0	1	0	1	0	0	0	0	1	7	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	192	"AWI"	192	1967	2556	2235	118	1	36	0	0	1	1	0	13	0	0	0	0	0	0	0	0	0	26	4	0	0	0	162	0	6	0	0	1	0	0	0	0	0	0	0	0	13	4	0	0	0	0	36	0	0	0	1	0	1	0	0	0	2	0	8	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	196	"AWI"	196	2005	2609	2279	73	0	45	1	0	0	2	0	16	0	0	1	1	0	0	1	0	0	37	9	0	0	0	144	0	10	0	0	0	0	0	1	0	0	0	0	0	18	4	0	0	0	0	42	0	0	0	0	1	2	0	0	0	1	1	6	1	0	1
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	200	"AWI"	200	2042	2668	2323	84	2	49	1	0	0	1	0	23	0	0	0	0	0	0	0	0	0	31	5	0	0	0	123	0	15	0	0	0	0	0	0	0	0	0	0	0	21	2	0	0	0	0	38	0	0	0	0	0	1	0	0	0	0	1	4	0	0	1
