"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Iridaceae"	"Lamiaceae"	"Larix"	"Linaceae"	"Lythraceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
14472	22658	"Waschhorn"	53.61498	8.7375	41	"AWI"	41	660	1562	1105	0	0	16.812865497076	0.511695906432749	0	0	0.292397660818713	0	0	16.9590643274854	0	0.146198830409357	0	0	0	0	0	7.23684210526316	6.35964912280702	0	0	9.28362573099415	0	0.804093567251462	0	0	0	0	0	0	0.511695906432749	0	2.48538011695906	0	0.0730994152046784	1.75438596491228	0	0	11.1111111111111	0	0	24.4883040935673	0	0	0	0.584795321637427	0.0730994152046784	0	0	0	0	0	0	0	0.0730994152046784	0.292397660818713	0.146198830409357	0
14472	22658	"Waschhorn"	53.61498	8.7375	45	"AWI"	45	802	1696	1284	0	0.0643500643500644	24.6460746460746	0.965250965250965	0	0	0.386100386100386	0	0	9.00900900900901	0	0	0	0	0	0	0	7.46460746460746	14.8005148005148	0	0	5.92020592020592	0	1.02960102960103	0	0.0643500643500644	0	0.0643500643500644	0	0	0.0643500643500644	0	2.76705276705277	0	0	2.12355212355212	0	0	10.4247104247104	0	0	18.2754182754183	0	0	0.0643500643500644	0.965250965250965	0.193050193050193	0	0	0	0	0	0	0	0	0.386100386100386	0.321750321750322	0
14472	22658	"Waschhorn"	53.61498	8.7375	49	"AWI"	49	1000	1794	1465	0	0	29.75893599335	0.415627597672485	0	0	0.249376558603491	0	0	19.0357439733998	0	0.166251039068994	0	0	0	0	0	4.32252701579385	11.0556940980881	0	0	4.90440565253533	0	1.16375727348296	0	0	0	0	0	0	0.166251039068994	0	1.74563591022444	0	0.0831255195344971	2.57689110556941	0	0	0	0	0	23.0257689110557	0	0	0	0.332502078137988	0.249376558603491	0	0	0	0	0	0	0.0831255195344971	0.0831255195344971	0.58187863674148	0	0
14472	22658	"Waschhorn"	53.61498	8.7375	53	"AWI"	53	1225	1896	1637	0	0.0902527075812274	16.4259927797834	0.0902527075812274	0	0	0.180505415162455	0	0	44.85559566787	0	0	0	0.0902527075812274	0	0	0	3.06859205776173	4.96389891696751	0	0	1.53429602888087	0	0.36101083032491	0	0	0	0.0902527075812274	0	0	0.36101083032491	0	0.541516245487365	0	0.0902527075812274	2.6173285198556	0	0	0	0	0	23.1046931407942	0	0	0	0.631768953068592	0.180505415162455	0	0	0	0	0	0	0	0.180505415162455	0.36101083032491	0.180505415162455	0
14472	22658	"Waschhorn"	53.61498	8.7375	57	"AWI"	57	1531	1999	1799	0	0	14.2857142857143	0.334821428571429	0	0	0.669642857142857	0	0	33.3705357142857	0	0.111607142857143	0	0	0	0	0	5.80357142857143	9.70982142857143	0	0	0.669642857142857	0.111607142857143	0.558035714285714	0	0	0	0	0	0	3.45982142857143	0	0.334821428571429	0	0	2.67857142857143	0	0	0	0	0	25.5580357142857	0	0	0	1.22767857142857	0.111607142857143	0	0	0.111607142857143	0	0	0	0	0.111607142857143	0.558035714285714	0.223214285714286	0
14472	22658	"Waschhorn"	53.61498	8.7375	61	"AWI"	61	1813	2146	1971	0.0542005420054201	0	17.3983739837398	0.48780487804878	0	0	0.758807588075881	0	0	6.07046070460705	0	0.43360433604336	0	0	0	0	0	7.42547425474255	6.01626016260163	0	0	1.30081300813008	0	0.48780487804878	0	0	0	0	0.0542005420054201	0	0.650406504065041	0	0.10840108401084	0	0	1.8970189701897	0	0	42.059620596206	0	0	10.189701897019	0	0	1.78861788617886	1.95121951219512	0.21680216802168	0	0	0	0	0	0	0	0.0542005420054201	0.43360433604336	0.16260162601626	0
14472	22658	"Waschhorn"	53.61498	8.7375	65	"AWI"	65	1909	2553	2162	0	0	33.4405144694534	0.321543408360129	0.214362272240086	0	1.07181136120043	0	0	22.1864951768489	0	0	0	0	0	0	0	10.8252947481243	9.7534833869239	0	0	1.39335476956056	0	1.5005359056806	0	0	0	0	0	0	0.321543408360129	0	0.428724544480171	0	0.107181136120043	3.0010718113612	0	0	0	0	0	12.433011789925	0	0	0	2.14362272240086	0.107181136120043	0	0	0	0	0	0	0	0.107181136120043	0.428724544480171	0.214362272240086	0
14472	22658	"Waschhorn"	53.61498	8.7375	69	"AWI"	69	2065	2701	2408	0	0	26.1752136752137	0.747863247863248	0	0	0.427350427350427	0	0	12.2863247863248	0	0.213675213675214	0	0	0	0	0	14.3162393162393	5.55555555555556	0	0	3.31196581196581	0	2.02991452991453	0	0	0	0	0	0	1.28205128205128	0	1.17521367521368	0	0.106837606837607	2.99145299145299	0	0	0	0	0	24.5726495726496	0	0	0	2.67094017094017	0.106837606837607	0	0	0	0	0	0	0	0.534188034188034	1.4957264957265	0	0
14472	22658	"Waschhorn"	53.61498	8.7375	73	"AWI"	73	2302	2835	2632	0.087719298245614	0.175438596491228	23.0701754385965	0.789473684210526	0	0	1.14035087719298	0	0	12.0175438596491	0	0.175438596491228	1.05263157894737	0	0	0	0	21.9298245614035	6.66666666666667	0	0	2.19298245614035	0	0.701754385964912	0	0	0	0.175438596491228	0	0	0.526315789473684	0	0.263157894736842	0.087719298245614	0.087719298245614	2.80701754385965	0	0	0	0	0	17.8947368421053	0	0	0	5.96491228070175	0.087719298245614	0	0	0	0	0	0	0	0.614035087719298	1.49122807017544	0	0
14472	22658	"Waschhorn"	53.61498	8.7375	75	"AWI"	75	2380	2926	2748	0	0	27.4011299435028	0.282485875706215	0	0	0.494350282485876	0	0	11.3700564971751	0	0	0.635593220338983	0	0	0	0	15.6073446327684	7.90960451977401	0	0	1.69491525423729	0	0.635593220338983	0	0	0	0	0	0	0	0	0.423728813559322	0	0.0706214689265537	2.47175141242938	0	0	0	0	0	25.2118644067797	0	2.96610169491525	0	1.12994350282486	0.353107344632768	0.0706214689265537	0	0	0	0	0	0	0.141242937853107	0.847457627118644	0.282485875706215	0
