"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15700	24078	"Jelení louže"	50.891816	14.276158	110	"AWI"	110	2620	3091	2880	11	0.125	4.625	0	0	0.25	0	24.375	0	0	0	0	0	1.625	0	0.125	6	0	0	12.875	0	0	0	0	0	0.125	2	5	19.375	0	0	0	9.625	0	0	0.125	0.125	0.125	0	0	0	0	0.625	0.5	1.375	0
15700	24078	"Jelení louže"	50.891816	14.276158	120	"AWI"	120	2911	3254	3069	1.02974828375286	0	3.20366132723112	0	0	0.34324942791762	0	68.3066361556064	0	0	0	0	0	0.91533180778032	0	0.22883295194508	4.0045766590389	0	0	5.83524027459954	0	0.11441647597254	0	0	0	0	0.5720823798627	0.5720823798627	8.81006864988558	0	0	0	6.06407322654462	0	0	0	0	0	0	0	0	0	0	0	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	130	"AWI"	130	3107	3645	3317	4.21195652173913	0	1.4945652173913	0	0	0.271739130434783	0	57.7445652173913	0	0	0	0	0	1.08695652173913	0	0.135869565217391	0	0	0	6.38586956521739	0	0.271739130434783	0	0	0	0.407608695652174	0.815217391304348	1.76630434782609	18.8858695652174	0	0	0	5.57065217391304	0	0	0	0	0	0	0	0	0	0.271739130434783	0.679347826086957	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	140	"AWI"	140	3288	4037	3598	2	0	5.46666666666667	0	0	0.266666666666667	0	30	0	0	0	0	0.666666666666667	5.46666666666667	0	0.666666666666667	0	0	0	22.8	0	0.133333333333333	0.133333333333333	0	0	0	0.4	8.8	12.9333333333333	0	0	0	8.93333333333333	0	0	0	0	0	0	0	0	0	1.06666666666667	0.266666666666667	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	150	"AWI"	150	3506	4342	3890	0.713266761768902	0	4.27960057061341	0	0	0	0	16.8330955777461	0	0	0	0	0	4.99286733238231	0	0.14265335235378	2.85306704707561	0	0	30.0998573466476	0	0.14265335235378	0	0	0	0	0.285306704707561	17.4037089871612	11.4122681883024	0	0	0	7.56062767475036	0	0	0.14265335235378	0	0	0	0	0	0	0.713266761768902	2.28245363766049	0.14265335235378	0
15700	24078	"Jelení louže"	50.891816	14.276158	160	"AWI"	160	3755	4610	4193	0.381679389312977	0.127226463104326	2.92620865139949	0	0	1.01781170483461	0	20.9923664122137	0	0	0	0	0	4.4529262086514	0	0.254452926208651	2.29007633587786	0	0	21.2468193384224	0	1.01781170483461	0	0	0	0	0	16.6666666666667	21.2468193384224	0	0	0	6.23409669211196	0	0	0	0	0	0	0	0	0	0.508905852417303	0.636132315521628	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	170	"AWI"	170	4034	4845	4479	0.246609124537608	0	2.83600493218249	0	0	0	0	8.63131935881628	0	0	0	0	0	9.74106041923551	0	0.493218249075216	0	0	0	36.1282367447596	0	0.246609124537608	0	0	0	0	0.123304562268804	13.9334155363748	16.2762022194821	0	0	0.246609124537608	7.52157829839704	0	0	0	0	0	0	0	0.123304562268804	0	1.23304562268804	2.21948212083847	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	180	"AWI"	180	4383	5047	4766	0.137931034482759	0.137931034482759	3.44827586206897	0	0	0.275862068965517	0	12	0	0	0	0	0	8.55172413793103	0	0.96551724137931	0	0	0	30.0689655172414	0	3.17241379310345	0	0	0	0.137931034482759	0.137931034482759	8.55172413793103	16.551724137931	0	0	0.137931034482759	11.5862068965517	0	0	0	0	0	0	0	0	0	1.51724137931034	2.62068965517241	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	190	"AWI"	190	4839	5230	5042	0.285306704707561	0.285306704707561	2.71041369472183	0	0	0	0	12.1255349500713	0	0	0	0	0	7.56062767475036	0	0.570613409415121	0	0	0	14.6932952924394	0	2.99572039942939	0	0	0	0.713266761768902	0.427960057061341	11.4122681883024	31.811697574893	0	0	0	10.9843081312411	0	0	0	0	0	0	0	0	0	1.28388017118402	2.1398002853067	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	200	"AWI"	200	5000	5430	5206	0.934579439252336	0.133511348464619	4.1388518024032	0	0	0.801068090787717	0	14.8197596795728	0	0	0	0	0	4.53938584779706	0	0.133511348464619	0	0	0	7.87716955941255	0	3.07076101468625	0	0	0	0.133511348464619	0.133511348464619	16.2883845126836	30.0400534045394	0	0	0	14.018691588785	0	0	0	0	0	0	0	0	0	0.400534045393859	2.53671562082777	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	210	"AWI"	210	5132	5607	5364	0.129366106080207	0.388098318240621	4.91591203104787	0	0	0.258732212160414	0	5.30401034928849	0	0	0	0	0	20.5692108667529	0	0.905562742561449	0	0.129366106080207	0	6.20957309184994	0	2.58732212160414	0	0	0	0	0	11.6429495472186	22.8978007761966	0	0	0	19.0168175937904	0	0	0	0	0	0	0	0.129366106080207	0	1.68175937904269	3.23415265200517	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	220	"AWI"	220	5272	5768	5526	0.137362637362637	0.137362637362637	7.41758241758242	0	0	1.23626373626374	0	5.90659340659341	0	0	0	0	0	19.2307692307692	0	0.137362637362637	0	0	0	2.33516483516484	0	5.21978021978022	0	0	0	0.274725274725275	0.137362637362637	8.65384615384615	26.2362637362637	0	0	0	16.3461538461538	0	0	0	0	0.137362637362637	0	0	0	0	3.2967032967033	3.15934065934066	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	230	"AWI"	230	5426	5918	5680	0.298507462686567	0.447761194029851	6.71641791044776	0	0	0.149253731343284	0	10.7462686567164	0	0	0	0	0	17.7611940298507	0	1.19402985074627	0	0.149253731343284	0	1.94029850746269	0	2.53731343283582	0	0	0	0	0	13.134328358209	21.1940298507463	0	0	0.149253731343284	15.8208955223881	0	0	0	0	0.597014925373134	0	0.149253731343284	0.149253731343284	0	2.83582089552239	4.02985074626866	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	235	"AWI"	235	5514	5981	5758	0.143472022955524	0.143472022955524	6.74318507890961	0	0	0.143472022955524	0	10.9038737446198	0	0	0	0	0	21.2338593974175	0	0.860832137733142	0.860832137733142	0	0	1.00430416068867	0.143472022955524	3.44332855093257	0	0	0	0.143472022955524	0.143472022955524	10.4734576757532	16.3558106169297	0	0	0.573888091822095	19.0817790530846	0	0	0	0	0.143472022955524	0	0	0	0	4.01721664275466	3.44332855093257	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	240	"AWI"	240	5594	6045	5837	0	0.289017341040462	4.1907514450867	0	0	0.289017341040462	0	12.5722543352601	0	0	0.289017341040462	0	0	18.2080924855491	0	1.44508670520231	0	0	0	1.15606936416185	0	3.03468208092486	0	0	0	0.289017341040462	0	13.8728323699422	14.5953757225434	0	0	0	21.6763005780347	0	0	0	0	0.867052023121387	0	0	0.433526011560694	0.144508670520231	3.46820809248555	3.17919075144509	0	0
