"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
3212	4171	"Kupena"	41.98333	24.33333	50	"AWI"	50	5254	9924	8198	1	5	17	16	0	0	8	59	2	0	153	0	3	4	0	0	0	0	1	0	6	30	651	0	0	2	0	0	0	3	0	9	0	0	2	0	0	0	0	10	0	1	0	2	0	0	0	0	0	0	1273	0	0	0	48	50	5	0	0	0	0	1	90	312	0	0	1	2
3212	4171	"Kupena"	41.98333	24.33333	55	"AWI"	55	7684	10061	9151	0	2	17	9	0	0	0	39	1	0	98	0	1	1	0	0	2	0	0	0	3	5	211	2	0	0	0	0	0	2	0	5	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	587	0	0	0	37	30	2	0	0	0	0	1	39	210	0	1	0	4
3212	4171	"Kupena"	41.98333	24.33333	60	"AWI"	60	9831	10247	10158	0	0	32	5	0	0	0	40	0	0	103	0	0	6	0	0	4	1	1	0	3	7	349	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	477	0	0	0	28	38	2	0	0	0	0	0	25	170	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	65	"AWI"	65	10009	10666	10343	0	2	30	32	0	0	0	51	0	0	240	0	0	0	0	0	5	0	0	0	2	6	259	0	0	1	0	0	0	0	0	4	0	0	3	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	448	0	0	0	33	46	1	0	0	0	0	2	50	134	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	70	"AWI"	70	10087	11144	10556	0	0	14	68	0	0	0	223	0	0	65	0	3	2	0	0	0	0	1	0	0	2	567	0	0	0	0	1	0	0	1	2	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	1	0	40	20	4	0	0	0	0	12	1	7	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	72.5	"AWI"	72.5	10279.5	11213.5	10670.5	0	0	5	34	0	0	0	82	0	0	31	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	14	9	0	0	0	0	0	0	0	2	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	75	"AWI"	75	10406	11304	10790	0	0	9	201	0	0	0	556	0	0	40	0	2	3	0	0	0	0	0	0	0	0	594	0	0	0	0	1	0	1	0	1	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	23	4	3	0	0	0	0	5	0	1	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	77.5	"AWI"	77.5	10496	11434.5	10914	0	0	7	79	0	0	0	248	0	0	17	0	0	0	0	0	11	0	0	0	0	1	1504	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	16	0	0	0	19	12	1	0	0	0	0	0	1	1	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	80	"AWI"	80	10572	11592	11035	0	0	8	158	0	0	0	677	0	0	38	0	3	0	0	0	0	0	0	0	1	2	497	0	0	0	0	1	0	0	0	4	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	23	2	1	0	0	0	0	5	0	6	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	82.5	"AWI"	82.5	10697.5	11685.5	11162	1	0	7	253	0	0	0	846	0	0	47	0	3	0	0	0	0	0	2	0	1	1	1041	0	0	0	0	0	0	0	0	1	0	6	3	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	25	0	0	0	32	21	0	0	0	0	0	3	2	0	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	85	"AWI"	85	10786	11837	11285	1	0	6	257	0	0	0	840	0	0	38	0	2	2	0	0	0	0	0	0	0	0	733	0	0	0	0	1	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	0	37	9	7	0	0	0	0	7	0	0	0	0	1	1
3212	4171	"Kupena"	41.98333	24.33333	87.5	"AWI"	87.5	10837.5	12048.5	11401	0	0	13	368	0	0	0	1287	0	0	100	0	4	0	0	0	12	0	1	0	0	2	508	13	0	0	0	0	0	1	0	1	0	9	8	0	0	0	0	5	0	0	170	0	0	0	0	0	0	0	38	0	0	0	25	26	6	0	0	0	0	6	1	7	0	1	1	0
3212	4171	"Kupena"	41.98333	24.33333	90	"AWI"	90	10888	12289	11516	0	0	9	134	0	0	0	422	0	0	250	0	4	4	2	0	0	0	0	0	1	2	273	9	0	0	0	4	0	1	0	0	0	0	9	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	46	0	0	0	37	24	7	1	0	0	0	14	7	10	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	92.5	"AWI"	92.5	11070.5	12339	11672.5	0	0	7	226	0	0	0	579	0	0	34	0	2	0	0	0	0	0	0	0	0	2	536	8	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	14	0	0	0	29	12	3	0	0	0	0	5	0	3	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	95	"AWI"	95	11185	12405	11836	0	0	6	156	0	0	0	638	0	0	108	0	3	1	0	0	3	0	1	0	0	1	90	15	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	45	0	0	0	18	9	4	0	0	0	0	8	1	2	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	97.5	"AWI"	97.5	11261.5	12494.5	11998	0	1	1	153	0	0	0	596	0	0	40	0	3	0	0	0	16	0	1	1	0	1	1313	0	0	0	0	0	0	2	0	2	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	30	27	3	0	0	0	0	5	0	2	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	100	"AWI"	100	11321	12642	12148	0	0	1	213	0	0	0	725	0	0	37	0	0	0	0	0	0	0	0	0	3	1	62	11	0	0	0	1	0	4	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	16	3	4	0	0	0	0	4	1	0	0	0	0	2
3212	4171	"Kupena"	41.98333	24.33333	105	"AWI"	105	11924	12688	12404	0	0	13	73	0	0	0	167	0	0	126	0	0	0	1	0	0	0	0	0	0	2	342	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	456	0	0	0	0	0	0	0	29	0	0	0	35	12	4	0	0	0	0	0	2	2	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	110	"AWI"	110	12223	12826	12688	0	0	13	125	1	0	0	447	0	0	176	0	6	3	1	0	0	0	1	0	1	1	385	8	1	0	0	2	0	0	0	3	0	69	1	1	0	0	0	0	0	0	1345	0	0	0	0	0	0	0	51	0	0	0	67	65	18	0	0	0	1	9	2	3	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	115	"AWI"	115	12396	13387	12858	0	0	21	140	0	0	0	533	1	0	211	0	10	4	0	0	0	0	1	0	0	1	510	9	0	0	0	0	0	0	0	0	0	92	4	0	0	0	1	0	0	1	1836	0	0	0	0	0	0	0	51	0	0	0	54	93	26	0	0	0	0	20	2	3	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	120	"AWI"	120	12532	14070	13028	0	0	6	156	0	0	0	516	0	0	120	0	4	2	0	0	0	0	4	0	0	0	178	0	0	0	0	1	0	0	0	2	0	88	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	12	0	0	0	25	36	16	0	0	0	0	8	1	3	0	0	0	3
3212	4171	"Kupena"	41.98333	24.33333	130	"AWI"	130	12786	14744	13464	0	0	3	92	0	0	0	384	0	0	36	0	2	1	1	0	9	0	11	0	1	2	132	0	0	0	0	2	0	0	0	2	0	67	2	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	14	0	0	0	11	4	11	0	0	0	0	3	1	1	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	150	"AWI"	150	13324	15910	14379	1	1	6	207	0	0	0	730	0	0	67	0	3	0	0	0	0	0	9	0	0	0	165	0	0	0	0	4	0	0	0	2	0	79	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	17	8	11	0	0	0	0	10	0	3	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	160	"AWI"	160	13664	16443	14819	0	0	6	175	0	0	0	695	0	0	45	0	3	3	0	0	0	0	8	0	1	0	211	4	0	0	0	0	0	0	0	0	0	75	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	6	4	11	0	0	0	0	9	0	2	0	0	0	3
3212	4171	"Kupena"	41.98333	24.33333	170	"AWI"	170	14007	16971	15269	1	0	3	200	0	0	0	726	0	0	46	0	3	2	0	0	0	0	4	0	0	3	272	9	0	0	0	2	0	0	0	1	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	15	10	3	0	0	0	0	12	0	6	0	0	0	1
