"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16269	25217	"Font Carluze"	45.54083	2.34444	45	"AWI"	45	908	1149	1050	0	0	91	1	4	1	0	48	0	1	1	0	0	2	0	20	0	5	0	0	0	61	1	0	0	1	0	2	0	0	0	1	2	1	0	1	2	0	0	18	0	3	0	0	0	4	1	0	0	1	1	2	1	0	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	50	"AWI"	50	947	1200	1085	0	0	58	1	1	1	0	36	1	2	0	0	0	1	0	14	0	1	0	0	0	26	0	1	0	1	1	0	2	0	0	0	2	1	0	1	4	46	0	24	0	1	0	0	0	5	4	0	0	1	1	1	0	1	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	55	"AWI"	55	1000	1218	1121	1	0	15	0	1	1	0	49	0	1	0	0	0	1	1	32	0	7	0	0	0	73	1	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	0	53	0	2	0	0	0	5	3	0	0	1	0	1	0	1	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	60	"AWI"	60	1028	1251	1158	0	0	176	0	1	1	0	45	0	0	0	0	0	0	0	29	1	0	0	0	0	67	0	0	0	5	1	0	0	0	0	0	1	1	0	1	2	0	0	37	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	1
16269	25217	"Font Carluze"	45.54083	2.34444	65	"AWI"	65	1106	1294	1236	0	0	86	0	0	1	0	41	1	1	1	0	0	1	0	22	0	2	0	0	0	38	0	0	1	1	0	0	0	0	1	0	0	1	0	1	3	37	0	35	0	5	0	0	0	3	2	0	0	1	0	0	0	2	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	70	"AWI"	70	1146	1459	1291	0	0	110	0	0	0	0	52	0	2	0	0	0	1	0	14	0	0	0	0	0	48	1	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	38	0	2	0	0	0	1	0	0	2	0	0	3	0	0	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	75	"AWI"	75	1257	1701	1464	1	0	513	0	1	0	0	150	0	0	0	0	0	0	0	10	0	0	0	0	0	55	0	2	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	29	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	80	"AWI"	80	1311	2049	1629	0	0	42	0	2	0	0	66	0	2	1	0	0	0	0	11	0	4	0	0	0	37	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	30	0	2	0	0	0	4	4	0	1	3	0	4	0	0	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	85	"AWI"	85	1539	2124	1817	1	0	39	0	1	0	0	154	0	1	0	0	0	0	0	17	0	2	0	0	0	46	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	31	0	2	0	0	0	1	3	0	0	1	0	1	0	0	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	90	"AWI"	90	1663	2276	2008	0	0	46	0	2	0	0	97	0	2	0	0	0	1	0	30	0	4	0	0	0	55	0	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	0	61	0	3	0	0	0	1	3	0	0	0	0	8	1	0	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	95	"AWI"	95	1767	2430	2129	0	0	40	0	3	0	0	76	0	0	0	0	0	0	0	19	0	3	0	0	0	64	1	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	66	0	1	0	0	0	0	0	0	1	0	0	8	0	0	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	100	"AWI"	100	1828	2719	2236	1	1	29	0	4	0	0	70	1	0	0	0	0	0	1	29	0	6	0	0	0	77	1	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	71	0	13	0	0	0	0	1	1	0	0	0	5	0	0	0	0
