"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Ligustrum"	"Liliaceae"	"Malvaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	170	"AWI"	170	2004	2664	2310	35	0	13	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	68	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	35	0	0	0	0	1	1	0	0	0	0	0	2	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	175	"AWI"	175	2170	2721	2413	37	2	11	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	54	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	34	1	0	0	0	1	1	0	0	0	1	0	8	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	180	"AWI"	180	2227	2959	2527	37	0	10	1	1	0	1	0	33	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	66	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	6	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	185	"AWI"	185	2341	3309	2756	113	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	134	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	25	1	0	0	0	0	0	0	0	0	0	1	2	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	190	"AWI"	190	2399	3868	2941	94	0	11	0	1	0	1	0	10	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	131	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	30	0	0	0	0	1	1	0	0	0	0	1	3	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	195	"AWI"	195	2555	4084	3156	85	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	130	9	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	34	0	0	0	0	1	0	0	0	0	0	0	7	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	200	"AWI"	200	2640	4470	3362	95	0	9	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	108	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	35	0	0	0	0	1	1	1	0	0	0	0	2	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	205	"AWI"	205	2821	4666	3587	94	0	9	0	1	0	0	0	12	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	96	13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	30	0	0	0	0	0	0	1	0	0	0	0	3	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	210	"AWI"	210	2934	4994	3805	87	0	12	0	2	0	1	0	15	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	122	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	46	0	1	0	0	1	1	2	0	0	0	0	2	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	215	"AWI"	215	3141	5167	4034	104	1	11	1	0	0	3	0	9	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	104	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	45	0	0	0	0	0	0	0	0	0	0	0	5	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	220	"AWI"	220	3255	5475	4255	91	1	14	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	15	0	0	0	3	0	0	108	7	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	32	0	3	0	0	0	4	0	0	0	0	0	7	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	225	"AWI"	225	3476	5642	4483	98	0	16	0	0	0	1	0	10	0	0	0	0	0	0	0	1	0	20	0	0	0	3	0	0	101	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	30	0	1	0	0	1	1	0	0	0	0	1	6	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	230	"AWI"	230	3605	5889	4709	86	1	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	92	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	40	1	0	0	0	1	2	0	1	0	0	0	3	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	235	"AWI"	235	3815	6025	4926	128	0	8	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	99	8	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	29	0	1	0	0	0	1	0	0	0	0	3	4	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	240	"AWI"	240	3966	6273	5152	93	0	15	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	95	8	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	24	0	0	0	0	0	3	0	0	0	0	0	1	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	245	"AWI"	245	4221	6406	5380	80	0	13	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	100	9	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	46	1	0	0	0	0	0	0	0	0	0	0	3	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	250	"AWI"	250	4398	6623	5596	95	0	17	2	1	0	1	0	5	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	107	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	36	0	1	0	0	1	0	0	0	0	0	1	2	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	255	"AWI"	255	4688	6747	5817	56	0	13	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	115	7	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	47	1	0	1	0	0	0	3	0	0	0	2	7	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	260	"AWI"	260	4868	6933	6044	74	0	10	0	1	1	0	0	9	0	1	1	0	0	0	0	0	0	22	0	0	0	0	0	0	116	21	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	50	1	0	0	0	0	0	0	0	0	0	1	7	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	270	"AWI"	270	5372	7219	6506	75	0	17	0	0	0	2	0	15	0	0	0	0	0	1	0	0	0	20	0	0	0	0	0	0	96	9	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	6	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	275	"AWI"	275	5729	7298	6717	58	0	12	0	1	0	0	0	6	0	1	0	0	0	0	0	0	0	24	0	0	0	0	0	0	136	13	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	63	0	0	0	0	0	0	1	0	0	0	4	9	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	280	"AWI"	280	5961	7456	6943	63	1	17	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	121	24	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	64	0	0	0	0	1	0	0	0	0	0	3	13	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	285	"AWI"	285	6475	7513	7132	55	0	9	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	107	13	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	40	0	1	0	0	0	0	0	0	0	0	4	10	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	290	"AWI"	290	6746	7641	7343	29	1	15	0	1	0	1	0	9	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	102	18	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	2	87	0	0	0	0	0	0	0	0	0	0	7	9	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	295	"AWI"	295	6979	7743	7489	24	0	12	0	1	0	1	0	11	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	68	30	0	0	1	0	0	1	0	0	1	0	0	17	0	0	0	0	0	72	0	1	0	0	0	0	1	0	0	0	7	8	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	300	"AWI"	300	7125	8035	7625	12	4	9	0	1	1	2	0	17	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	20	33	1	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	107	0	1	0	0	0	0	0	0	0	0	21	22	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	302.5	"AWI"	302.5	7190	8099	7681.5	3	1	9	0	1	0	3	0	15	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	8	37	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	16	22	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	305	"AWI"	305	7240	8192	7737	2	0	8	1	1	0	1	0	13	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	5	39	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	1	99	1	0	0	0	0	1	2	0	0	0	23	22	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	310	"AWI"	310	7320	8442	7836	1	1	4	0	2	1	1	0	9	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	1	0	0	21	0	0	0	0	0	139	0	0	0	0	0	1	0	0	0	0	45	24	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	315	"AWI"	315	7435	8571	7953	0	1	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	1	69	0	2	0	0	0	0	0	0	0	0	16	23	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	320	"AWI"	320	7506	8770	8066	2	1	4	1	0	1	0	0	10	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	35	0	0	0	0	2	0	0	0	0	0	0	14	0	0	0	0	0	122	1	1	0	0	0	0	0	0	0	0	38	28	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	330	"AWI"	330	7672	9075	8300	1	0	5	0	1	0	2	0	11	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	111	0	1	0	0	0	0	1	0	0	0	31	31	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	336	"AWI"	336	7789	9239	8441	0	2	4	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	132	0	0	0	0	0	1	2	0	0	0	35	32	0
3048	3977	"Lac de Chambedaze"	45.44444	2.87528	340	"AWI"	340	7837	9371	8534	0	1	4	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	63	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	132	0	0	0	0	0	0	2	0	0	0	19	24	0
