"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Juniperus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3302	4286	"Mukkavaara"	68.91667	21	50	"AWI"	50	1015	2350	1627	3	0	0	0	0	299	0	0	0	12	0	8	10	7	91	10	0	0	0	0	0	3	1	0	0
3302	4286	"Mukkavaara"	68.91667	21	55	"AWI"	55	1166	2537	1794	0	1	0	1	0	221	0	0	0	6	0	5	10	4	58	5	0	0	0	0	0	1	1	0	0
3302	4286	"Mukkavaara"	68.91667	21	60	"AWI"	60	1317	2704	1975	3	0	0	1	1	200	0	0	0	10	0	7	8	4	59	7	0	0	0	0	0	2	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	65	"AWI"	65	1470	2858	2144	1	0	0	0	0	206	0	0	0	10	0	10	3	2	44	5	0	0	0	0	1	5	0	1	0
3302	4286	"Mukkavaara"	68.91667	21	70	"AWI"	70	1633	3020	2317	3	0	0	0	4	308	0	0	0	22	0	17	8	6	105	17	0	0	0	0	0	2	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	75	"AWI"	75	1812	3185	2492	1	0	0	0	1	204	0	0	0	13	0	9	9	5	57	5	0	0	0	0	1	3	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	80	"AWI"	80	1984	3324	2667	5	0	0	0	0	216	0	0	0	12	0	7	6	5	66	10	0	0	0	0	1	3	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	85	"AWI"	85	2174	3479	2835	3	0	0	1	0	328	0	0	0	20	0	6	8	7	121	10	1	0	0	0	3	5	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	90	"AWI"	90	2367	3635	3012	3	0	0	0	2	276	0	0	0	6	0	8	10	7	84	3	0	0	0	0	0	1	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	95	"AWI"	95	2559	3789	3185	4	0	0	1	0	290	0	0	0	10	0	7	11	5	90	7	0	0	0	0	1	2	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	100	"AWI"	100	2750	3923	3354	4	0	0	0	0	255	0	0	0	11	0	10	11	5	98	10	0	0	0	0	0	3	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	105	"AWI"	105	2968	4066	3526	2	0	0	0	0	280	0	0	0	7	0	11	8	7	88	10	0	0	0	0	1	1	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	110	"AWI"	110	3199	4207	3693	4	0	0	0	2	320	0	0	0	17	0	10	11	6	88	11	0	0	0	0	0	5	1	1	0
3302	4286	"Mukkavaara"	68.91667	21	115	"AWI"	115	3464	4339	3850	4	0	0	0	0	290	1	0	0	11	0	10	8	3	112	11	0	0	0	0	2	1	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	120	"AWI"	120	3594	4584	4036	6	0	0	0	0	306	0	0	0	6	0	3	11	7	119	7	0	0	0	0	1	4	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	125	"AWI"	125	3733	4775	4214	3	0	0	2	2	265	0	0	0	12	0	5	15	6	147	17	0	1	0	1	2	2	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	130	"AWI"	130	3877	4964	4395	4	0	0	1	0	250	0	0	0	8	0	7	10	3	120	10	1	0	0	1	0	1	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	135	"AWI"	135	4044	5158	4577	9	0	0	0	0	282	0	1	0	18	0	11	5	3	123	12	0	0	0	0	1	0	1	0	0
3302	4286	"Mukkavaara"	68.91667	21	140	"AWI"	140	4209	5335	4757	8	0	0	0	0	320	0	0	0	16	0	10	4	5	142	10	1	0	0	0	1	0	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	145	"AWI"	145	4360	5501	4941	11	0	0	0	1	341	0	0	0	11	0	16	5	0	199	19	0	0	2	0	0	3	0	0	2
3302	4286	"Mukkavaara"	68.91667	21	150	"AWI"	150	4552	5663	5121	6	0	0	1	0	324	0	0	0	13	0	13	5	3	170	16	0	0	0	0	2	0	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	155	"AWI"	155	4750	5822	5304	7	0	0	0	0	304	0	0	0	10	0	14	7	1	206	17	0	1	0	0	0	1	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	160	"AWI"	160	4946	5975	5482	12	0	0	1	0	471	0	0	0	12	0	19	7	2	259	14	1	0	0	0	1	4	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	165	"AWI"	165	5189	6117	5655	10	0	0	2	1	360	0	0	0	12	0	17	6	2	209	10	1	0	0	0	1	0	0	0	1
3302	4286	"Mukkavaara"	68.91667	21	170	"AWI"	170	5397	6306	5846	9	1	0	0	0	385	0	0	0	20	0	13	11	3	228	13	1	0	0	0	2	2	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	175	"AWI"	175	5562	6566	6044	17	0	1	0	0	387	0	0	0	10	0	8	6	1	263	12	0	0	0	0	0	2	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	180	"AWI"	180	5745	6785	6250	18	1	0	0	0	380	0	0	0	7	0	18	5	1	272	8	1	0	0	1	0	2	0	0	1
3302	4286	"Mukkavaara"	68.91667	21	185	"AWI"	185	5922	6974	6453	21	0	0	0	1	420	0	0	0	13	0	17	3	1	353	12	0	0	0	0	1	1	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	190	"AWI"	190	6129	7167	6666	16	0	0	0	0	380	0	0	0	8	0	8	1	2	380	11	0	0	0	0	0	3	0	0	1
3302	4286	"Mukkavaara"	68.91667	21	195	"AWI"	195	6356	7335	6869	16	0	0	1	0	210	0	0	0	10	0	10	1	1	259	7	0	0	0	0	1	3	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	200	"AWI"	200	6625	7500	7068	24	0	0	0	0	254	0	0	0	5	0	4	1	0	247	4	0	0	0	0	1	1	0	0	4
3302	4286	"Mukkavaara"	68.91667	21	205	"AWI"	205	6877	7751	7317	14	0	0	0	0	240	0	0	0	8	0	3	1	0	250	6	0	0	0	0	0	0	0	0	1
3302	4286	"Mukkavaara"	68.91667	21	210	"AWI"	210	7149	8073	7626	20	0	0	0	0	334	0	0	0	6	0	1	3	0	192	5	0	1	0	0	0	1	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	215	"AWI"	215	7523	8280	7941	18	0	0	0	0	354	0	0	0	4	0	3	5	0	184	4	0	1	0	0	0	1	0	0	2
3302	4286	"Mukkavaara"	68.91667	21	220	"AWI"	220	7930	8737	8291	24	0	0	0	0	368	0	0	0	4	0	2	14	0	155	10	0	0	0	0	0	4	0	0	1
3302	4286	"Mukkavaara"	68.91667	21	225	"AWI"	225	8176	9237	8696	18	0	0	0	0	420	0	0	0	8	0	3	8	0	129	11	0	2	0	0	0	2	0	0	2
3302	4286	"Mukkavaara"	68.91667	21	230	"AWI"	230	8562	9519	9106	12	0	0	0	0	389	0	0	0	10	0	0	13	0	117	7	0	1	0	0	1	2	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	235	"AWI"	235	8917	9863	9438	6	0	0	0	1	390	0	0	1	7	0	1	14	0	80	10	0	0	0	0	1	1	0	0	1
3302	4286	"Mukkavaara"	68.91667	21	240	"AWI"	240	9207	10135	9695	7	0	0	0	2	327	0	0	0	7	0	4	14	0	96	20	0	0	0	0	0	4	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	245	"AWI"	245	9534	10367	9963	13	0	0	1	0	362	0	0	0	7	0	0	7	0	62	23	0	1	0	0	1	6	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	250	"AWI"	250	9852	10785	10286	7	0	1	0	1	444	0	0	0	3	0	1	6	0	62	16	0	0	0	0	0	5	0	0	1
3302	4286	"Mukkavaara"	68.91667	21	255	"AWI"	255	10131	11307	10672	3	0	0	1	0	409	0	0	0	6	0	1	1	0	38	22	0	0	0	0	0	4	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	260	"AWI"	260	10469	11655	11106	0	0	0	0	0	485	0	0	0	3	1	4	0	0	19	13	0	0	0	0	2	5	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	265	"AWI"	265	10733	12072	11425	1	0	0	4	0	438	1	0	0	9	0	13	0	0	13	22	0	0	0	0	9	7	1	0	0
3302	4286	"Mukkavaara"	68.91667	21	270	"AWI"	270	10920	12524	11665	0	0	0	3	0	133	0	1	0	6	0	13	0	0	5	7	0	0	0	0	4	8	0	0	0
3302	4286	"Mukkavaara"	68.91667	21	275	"AWI"	275	11098	12884	11914	1	1	0	5	0	75	0	4	0	15	0	2	0	0	10	5	0	0	0	0	3	9	0	0	0
