"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16378	25477	"Lac de Praver"	45.07361	5.85639	245	"AWI"	245	1139	1698	1446	235	1	0	1	0	0	4	0	0	21	0	0	1	0	0	0	0	0	18	0	9	0	0	0	0	0	143	0	4	0	0	0	5	2	0	0	0	0	0	0	8	0	0	0	23	0	0	0	0	0	34	0	2	0	0	1	3	1	0	0	0	0	0	0	2	2	2	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	250	"AWI"	250	1171	1752	1484	272	2	0	0	2	0	2	0	0	21	0	0	1	0	0	0	0	0	23	0	2	0	0	0	0	0	129	0	1	0	0	0	4	1	1	0	0	1	0	0	5	0	0	0	32	0	0	0	0	0	21	4	0	0	0	1	8	2	1	0	0	0	2	0	1	6	21	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	260	"AWI"	260	1252	1845	1560	223	4	0	0	0	0	2	0	0	24	0	0	0	0	0	0	0	0	31	0	6	0	0	0	0	0	153	0	4	0	0	0	5	1	0	0	0	0	0	0	3	0	0	0	17	0	0	0	0	0	28	2	1	0	0	0	2	3	0	0	0	0	0	0	2	3	14	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	270	"AWI"	270	1323	1946	1636	227	0	0	1	1	0	2	0	0	30	0	0	1	0	0	0	0	0	25	0	2	1	0	2	0	0	157	0	2	0	0	0	4	1	0	0	0	0	0	0	3	0	0	0	19	0	0	0	0	0	45	1	0	0	0	0	3	0	0	0	0	0	0	0	4	7	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	280	"AWI"	280	1400	2021	1715	201	0	0	1	0	0	3	0	0	13	0	0	0	0	0	0	0	0	16	0	2	0	0	0	0	0	200	0	1	0	0	0	4	2	1	0	0	0	0	0	5	0	0	0	18	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	290	"AWI"	290	1492	2095	1794	196	0	0	1	3	0	0	0	0	28	0	0	0	0	0	0	2	0	19	0	6	0	0	1	0	0	199	0	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	17	0	0	0	0	0	50	1	0	0	0	0	3	1	0	0	0	0	0	0	5	7	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	300	"AWI"	300	1578	2173	1874	129	2	30	0	0	1	1	0	0	25	0	0	2	0	0	0	0	0	29	0	4	0	0	0	0	0	175	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	42	1	2	0	0	0	2	2	0	0	0	0	1	0	1	7	0	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	310	"AWI"	310	1676	2230	1954	154	2	0	0	0	0	1	0	0	26	0	0	1	1	0	0	0	0	25	0	2	0	0	0	0	0	252	0	5	0	1	1	1	0	1	0	0	0	0	0	5	0	0	0	16	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	1	0	0	0	3	9	0	1	0
16378	25477	"Lac de Praver"	45.07361	5.85639	320	"AWI"	320	1788	2286	2028	108	0	0	0	0	0	0	0	0	20	0	0	1	0	0	1	0	0	19	0	4	0	0	0	0	0	271	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	23	0	0	0	0	0	75	1	0	0	0	1	3	0	0	0	0	0	0	0	1	27	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	325	"AWI"	325	1832	2317	2066	131	2	0	1	1	0	0	0	0	21	0	1	1	0	0	0	0	0	17	0	5	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	3	0	0	0	4	24	0	0	0	0	0	0	0	0	77	0	1	0	0	1	1	0	0	0	0	0	0	0	0	17	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	330	"AWI"	330	1876	2369	2113	220	3	0	0	0	0	1	0	0	30	0	1	0	0	0	0	0	0	17	0	9	0	0	0	0	0	162	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	73	1	0	0	0	1	1	1	0	0	0	0	0	0	2	8	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	335	"AWI"	335	1923	2470	2170	199	2	0	1	1	0	4	0	0	19	0	0	1	0	0	0	0	0	36	0	1	0	0	0	0	0	137	0	4	0	0	0	0	0	0	0	1	0	0	0	9	11	0	13	0	1	0	0	0	0	93	1	1	0	0	0	3	2	0	0	0	2	1	0	1	9	1	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	340	"AWI"	340	1952	2595	2230	243	2	0	0	1	0	3	0	0	30	0	0	1	0	0	0	0	0	19	0	13	0	0	0	0	0	134	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	30	0	3	0	0	1	0	1	1	0	0	0	0	0	2	3	2	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	350	"AWI"	350	2025	2775	2344	264	4	0	1	3	0	1	0	0	46	0	0	1	0	0	1	0	0	32	0	15	0	0	0	0	0	162	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	3	0	0	0	0	2	0	0	0	0	1	0	4	11	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	360	"AWI"	360	2091	2964	2454	277	5	0	2	2	0	2	0	0	41	0	0	0	0	0	2	0	0	36	0	4	0	0	0	0	0	113	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	37	0	2	0	0	2	1	0	0	0	0	2	0	0	4	10	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	370	"AWI"	370	2166	3110	2571	255	2	0	1	3	0	2	0	1	43	0	0	0	0	0	0	0	0	35	0	4	0	0	1	0	0	146	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	6	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	380	"AWI"	380	2263	3240	2686	221	5	0	0	0	0	1	0	0	44	0	0	0	0	2	0	0	0	36	0	5	0	1	2	0	0	119	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	38	0	1	0	0	0	0	1	0	0	0	0	0	0	5	9	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	390	"AWI"	390	2345	3377	2803	284	1	0	0	3	2	2	0	0	56	0	1	0	1	0	0	0	0	51	0	7	0	0	0	0	0	178	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	2	3	0	0	0	1	1	0	0	0	0	1	0	5	12	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	400	"AWI"	400	2432	3508	2921	229	5	0	0	2	0	3	0	1	40	0	0	0	0	0	0	0	0	40	0	5	0	0	2	0	0	127	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	1	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	410	"AWI"	410	2526	3626	3035	269	4	0	0	0	0	1	0	0	49	0	1	0	1	0	0	0	0	38	0	16	0	0	0	0	0	174	0	10	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	45	0	4	0	0	0	0	0	0	2	0	1	0	0	2	13	2	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	420	"AWI"	420	2616	3769	3144	224	2	0	0	2	0	1	0	0	48	0	0	0	0	0	0	0	0	34	0	8	0	0	0	0	0	117	0	6	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	50	0	3	0	0	0	0	0	0	0	0	0	1	0	1	7	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	430	"AWI"	430	2711	3885	3272	198	0	0	0	1	1	2	0	0	48	0	0	0	0	0	0	0	0	35	0	6	0	0	0	0	0	147	0	12	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	3	0	0	0	2	3	0	0	0	1	0	0	3	9	0	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	440	"AWI"	440	2815	3990	3389	220	2	0	1	1	0	1	0	0	33	0	0	0	0	0	1	0	0	28	0	3	0	0	0	0	0	144	0	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	49	0	1	0	0	0	0	1	0	0	0	1	0	0	3	11	0	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	450	"AWI"	450	2924	4119	3503	248	1	0	0	1	0	0	0	0	49	0	1	0	0	0	0	0	0	39	0	10	0	0	0	0	0	141	0	8	0	0	0	0	0	0	0	0	1	0	0	2	19	0	2	0	0	1	0	0	0	24	0	3	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	460	"AWI"	460	3024	4231	3620	271	2	0	0	1	0	1	0	0	38	0	0	0	0	0	0	0	0	27	0	4	0	0	1	0	0	138	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	36	0	4	0	0	0	1	0	0	0	0	0	0	0	4	7	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	470	"AWI"	470	3137	4337	3737	303	5	0	0	1	0	1	0	0	52	0	1	0	0	0	0	0	0	38	0	2	0	0	0	0	0	169	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	3	0	0	0	0	0	0	1	0	0	0	0	6	19	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	480	"AWI"	480	3234	4449	3857	256	1	0	0	1	1	0	0	0	25	0	0	0	0	0	0	0	0	26	0	1	0	0	0	0	0	106	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	24	0	2	0	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	490	"AWI"	490	3345	4563	3976	212	2	0	0	1	0	1	0	0	38	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	113	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	36	0	1	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	500	"AWI"	500	3464	4663	4092	241	5	0	2	0	0	2	0	0	33	0	1	0	0	0	0	0	0	41	0	4	0	0	1	0	0	141	0	15	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	74	2	0	0	0	0	0	2	1	0	0	0	0	0	0	18	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	505	"AWI"	505	3517	4715	4147	267	4	0	0	2	0	1	0	0	40	0	1	0	0	0	0	0	0	23	0	1	0	0	0	0	0	185	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	2	0	0	0	0	2	0	0	0	0	0	0	1	12	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	510	"AWI"	510	3580	4766	4206	226	1	0	1	1	0	0	0	0	25	0	1	0	0	0	0	0	0	31	0	2	0	0	0	0	0	109	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	45	3	1	0	0	0	0	1	0	0	0	0	0	0	1	15	1	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	515	"AWI"	515	3646	4807	4266	221	4	0	0	0	1	1	0	0	33	0	0	0	0	0	0	0	0	30	0	3	0	0	0	0	0	112	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	3	0	0	0	1	2	0	0	0	0	0	0	4	16	0	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	520	"AWI"	520	3693	4860	4321	191	2	0	0	0	0	1	0	0	34	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	142	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	2	1	0	0	1	1	1	0	0	0	0	0	0	6	22	0	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	525	"AWI"	525	3762	4904	4376	242	2	0	0	1	0	0	0	0	29	0	1	0	1	0	0	0	0	28	0	0	0	0	1	0	0	85	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	1	1	0	1	1	2	0	0	0	0	0	0	2	16	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	530	"AWI"	530	3839	4950	4432	297	4	0	0	1	1	1	0	0	38	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	91	0	9	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	1	2	0	0	0	0	0	0	1	0	0	0	0	2	18	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	535	"AWI"	535	3896	5004	4494	309	4	0	0	1	1	0	0	0	31	0	0	0	0	0	0	0	0	26	0	1	0	0	0	0	0	72	0	7	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	1	0	0	0	0	1	0	0	0	0	0	0	2	22	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	540	"AWI"	540	3954	5049	4547	334	2	31	0	2	0	0	0	0	33	0	0	0	0	0	0	0	0	34	0	2	0	0	0	0	0	61	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31	0	1	0	0	0	0	0	0	0	0	0	0	0	3	12	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	545	"AWI"	545	4033	5088	4602	280	4	0	0	1	1	0	0	0	37	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	60	0	7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	1	0	0	0	1	0	0	0	0	0	0	0	5	18	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	550	"AWI"	550	4090	5141	4655	366	4	0	0	1	0	2	0	0	44	0	0	0	0	0	0	0	0	24	0	2	0	0	0	0	0	53	0	10	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	1	0	0	0	0	0	0	0	0	0	0	1	0	1	13	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	555	"AWI"	555	4157	5184	4715	302	2	0	0	1	0	2	0	0	45	0	1	0	0	0	0	0	0	22	0	2	0	0	1	0	0	50	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	31	0	1	0	0	0	0	0	0	0	0	0	2	0	4	18	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	560	"AWI"	560	4248	5218	4772	369	2	0	1	2	1	0	0	0	34	0	0	0	0	0	0	0	0	32	0	2	0	0	1	0	0	59	0	8	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	1	0	0	0	0	1	0	0	0	0	0	0	6	18	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	565	"AWI"	565	4305	5269	4831	336	2	0	0	2	1	3	0	0	56	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	68	0	3	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	1	1	0	0	1	2	1	0	0	0	0	0	0	4	23	1	0	1
16378	25477	"Lac de Praver"	45.07361	5.85639	570	"AWI"	570	4394	5306	4885	311	5	0	0	2	1	0	0	0	60	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	59	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	1	0	0	0	0	0	0	5	29	2	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	575	"AWI"	575	4480	5338	4939	374	6	0	0	2	1	1	0	0	54	0	0	0	0	0	0	0	0	24	0	5	0	0	0	0	0	83	0	10	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	38	1	0	0	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	580	"AWI"	580	4554	5382	4997	350	3	0	0	3	2	2	0	0	46	0	0	0	1	0	0	0	0	34	0	0	0	0	0	0	0	51	0	9	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	30	0	1	0	0	0	1	1	0	0	0	0	1	0	5	30	0	0	2
16378	25477	"Lac de Praver"	45.07361	5.85639	585	"AWI"	585	4649	5419	5051	316	1	0	1	1	0	1	4	0	48	0	0	0	0	0	0	0	0	31	0	3	0	0	0	0	0	39	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	1	1	0	0	0	1	1	0	0	0	0	0	0	7	32	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	590	"AWI"	590	4743	5454	5107	317	0	36	0	2	0	2	0	0	39	0	0	0	0	0	0	0	0	24	0	1	0	0	1	0	0	22	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	3	0	0	0	0	1	0	0	0	0	0	0	2	27	0	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	595	"AWI"	595	4819	5496	5164	395	1	0	0	2	1	0	0	0	34	0	1	0	0	0	0	0	0	35	0	0	0	0	1	0	0	13	0	13	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	42	1	1	0	0	2	3	0	0	0	0	0	0	0	6	16	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	600	"AWI"	600	4918	5541	5230	332	1	0	0	0	1	2	0	0	41	0	0	0	0	0	0	0	0	57	0	1	0	0	0	0	0	28	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	36	0	0	0	0	0	1	1	0	0	0	0	1	0	6	18	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	605	"AWI"	605	4998	5616	5303	313	3	0	0	0	1	1	0	0	27	0	0	0	0	0	0	0	0	35	0	3	0	0	0	0	0	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	43	3	1	0	0	0	0	2	0	0	0	0	0	0	8	19	1	0	0
16378	25477	"Lac de Praver"	45.07361	5.85639	610	"AWI"	610	5042	5761	5374	329	0	0	0	0	0	1	0	0	34	0	0	0	0	0	0	0	0	39	0	1	0	0	1	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1	1	0	0	1	1	0	0	0	0	0	0	0	6	10	0	0	1
