"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Tilia"	"Ulmus"
11578	17336	"Borheen Lough"	52.372314	-8.152038	470	"AWI"	470	4213	5119	4696	47	2	0	1	0	0	31	0	0	0	0	97	26	0	0	0	11	0	71	0	0	0	0	0	0	16	7	0	0	0	164	3	0	0	0	16	0	0	0	1	0	14
11578	17336	"Borheen Lough"	52.372314	-8.152038	500	"AWI"	500	4829	5491	5260	32	0	0	1	1	0	21	0	0	0	0	102	11	0	0	0	13	0	107	0	0	0	0	0	0	12	6	0	0	0	241	0	0	0	0	6	0	1	0	6	0	6
11578	17336	"Borheen Lough"	52.372314	-8.152038	520	"AWI"	520	5373	5999	5588	36	0	1	0	0	0	51	0	1	0	0	115	1	0	0	0	24	0	55	0	0	0	0	0	0	78	0	0	0	0	203	0	0	0	0	5	0	0	0	2	1	47
11578	17336	"Borheen Lough"	52.372314	-8.152038	540	"AWI"	540	5607	6531	6019	30	0	1	0	0	0	50	0	0	0	0	92	0	0	0	0	5	0	60	0	0	0	1	0	0	135	0	0	0	0	220	0	0	0	0	4	0	0	0	1	0	42
11578	17336	"Borheen Lough"	52.372314	-8.152038	570	"AWI"	570	6134	7094	6666	52	0	0	0	0	0	42	0	0	0	0	133	3	0	0	0	2	0	57	0	0	0	0	0	0	70	3	0	0	0	218	0	0	0	0	10	0	0	0	1	0	18
11578	17336	"Borheen Lough"	52.372314	-8.152038	600	"AWI"	600	7175	7425	7327	28	0	2	1	0	0	34	0	0	0	0	95	3	0	0	0	7	0	66	0	0	0	0	1	0	165	0	0	0	0	169	0	0	0	0	5	0	0	0	0	0	57
11578	17336	"Borheen Lough"	52.372314	-8.152038	620	"AWI"	620	7444	8494	7831	10	0	0	0	0	0	70	0	0	0	0	149	1	0	0	0	2	0	44	0	0	0	0	0	0	202	0	0	0	0	126	0	0	0	0	9	0	0	0	0	1	54
11578	17336	"Borheen Lough"	52.372314	-8.152038	640	"AWI"	640	7810	9140	8405	5	0	1	0	0	0	54	0	0	0	0	139	0	0	0	0	0	0	50	0	1	0	0	0	0	186	0	0	0	0	124	0	0	0	0	7	0	0	0	0	0	61
11578	17336	"Borheen Lough"	52.372314	-8.152038	670	"AWI"	670	8543	9862	9269	1	0	0	1	0	0	32	0	0	1	0	165	1	0	0	0	0	0	54	0	1	0	0	0	0	242	0	0	0	0	82	0	0	0	0	7	0	0	0	1	0	45
11578	17336	"Borheen Lough"	52.372314	-8.152038	700	"AWI"	700	9790	10329	10155	1	1	2	2	1	0	34	0	0	0	0	162	2	0	0	0	0	0	59	0	1	0	0	0	0	165	0	0	0	0	129	0	0	0	0	4	0	0	0	0	0	71
11578	17336	"Borheen Lough"	52.372314	-8.152038	720	"AWI"	720	10087	11008	10512	0	1	0	1	0	0	36	0	1	0	0	202	0	0	0	0	0	0	49	0	0	0	0	0	0	145	0	0	0	0	129	0	0	0	0	5	0	0	0	0	0	74
11578	17336	"Borheen Lough"	52.372314	-8.152038	740	"AWI"	740	10460	11444	10951	1	0	0	2	0	0	44	0	0	0	0	222	0	0	0	0	0	0	52	0	0	0	0	0	0	125	0	0	0	1	106	0	0	0	0	4	0	0	0	0	0	63
11578	17336	"Borheen Lough"	52.372314	-8.152038	770	"AWI"	770	11133	11916	11580	0	0	0	0	0	0	25	0	0	0	0	262	0	0	0	0	0	0	48	0	1	0	0	0	0	186	0	0	0	0	56	0	0	0	0	5	0	0	0	0	0	22
11578	17336	"Borheen Lough"	52.372314	-8.152038	800	"AWI"	800	11802	12396	12108	0	0	0	0	0	0	317	0	0	0	0	28	8	8	0	0	0	0	27	1	2	0	0	0	0	8	0	0	0	0	5	0	0	0	0	72	0	0	0	0	0	0
11578	17336	"Borheen Lough"	52.372314	-8.152038	810	"AWI"	810	11941	12519	12262	0	0	2	0	0	0	238	0	0	0	0	21	14	10	0	0	0	0	59	36	0	0	1	0	0	16	0	0	0	0	4	0	0	1	0	82	0	0	0	0	0	0
11578	17336	"Borheen Lough"	52.372314	-8.152038	820	"AWI"	820	12081	12624	12416	0	2	2	0	1	0	69	0	0	0	2	3	9	32	0	0	0	0	82	356	0	0	1	0	0	16	0	0	0	0	5	0	0	1	0	17	0	0	0	0	0	0
11578	17336	"Borheen Lough"	52.372314	-8.152038	830	"AWI"	830	12251	12695	12570	0	3	2	0	6	0	53	0	0	0	11	16	130	17	0	0	0	0	181	8	0	0	0	0	0	21	0	0	0	0	4	38	0	4	0	17	0	1	0	0	0	0
11578	17336	"Borheen Lough"	52.372314	-8.152038	835	"AWI"	835	12307	12833	12641	2	13	5	1	27	21	24	0	3	0	22	76	362	12	0	0	0	0	342	0	0	0	1	0	0	93	0	0	0	0	26	0	0	5	0	30	0	0	0	0	0	6
11578	17336	"Borheen Lough"	52.372314	-8.152038	837	"AWI"	837	12327	12915	12665	13	5	1	0	8	0	39	0	0	0	16	129	92	0	0	0	0	0	145	0	0	0	0	0	0	131	0	1	0	0	88	2	0	0	0	9	1	0	0	0	0	29
